"CODI_CAPA","CAPA_GENERICA","NOM_CAPA","ED50_COORD_X","ED50_COORD_Y","ETRS89_COORD_X","ETRS89_COORD_Y","LONGITUD","LATITUD","EQUIPAMENT","DISTRICTE","BARRI","NOM_DISTRICTE","NOM_BARRI","ADRECA","TELEFON"
"K014","Transports i serveis relacionats","Autobusos diürns",431037.18299999996,4588734.3780000005,430945.24799999996,4588533.383,2.173326,41.445409000000005,"BUS -127--",8,50,"Nou Barris","les Roquetes","",""
"K014","Transports i serveis relacionats","Autobusos diürns",426940.893,4576205.715,426848.992,4576004.838,2.1258060000000003,41.332207000000004,"BUS -21--",3,12,"Sants-Montjuïc","la Marina del Prat Vermell","",""
"K014","Transports i serveis relacionats","Autobusos diürns",425706.406,4576173.515,425614.516,4575972.638,2.111059,41.331804,"BUS -21--",3,12,"Sants-Montjuïc","la Marina del Prat Vermell","",""
"K014","Transports i serveis relacionats","Autobusos diürns",425721.85,4576169.804,425629.96,4575968.927,2.1112439999999997,41.331771999999994,"BUS -21--",3,12,"Sants-Montjuïc","la Marina del Prat Vermell","",""
"K014","Transports i serveis relacionats","Autobusos diürns",429733.593,4579970.429,429641.667,4579769.516,2.1587400000000003,41.366363,"BUS -55-150--",3,11,"Sants-Montjuïc","el Poble-sec","",""
"K014","Transports i serveis relacionats","Autobusos diürns",433657.323,4587299.749,433565.36299999995,4587098.767,2.204846,41.432709,"BUS -60--",9,59,"Sant Andreu","el Bon Pastor","",""
"K014","Transports i serveis relacionats","Autobusos diürns",427751.899,4578847.651000001,427659.99100000004,4578646.749,2.135182,41.356075,"BUS -125--",3,13,"Sants-Montjuïc","la Marina de Port","",""
"K014","Transports i serveis relacionats","Autobusos diürns",430939.06899999996,4590407.887,430847.135,4590206.877,2.171959,41.460473,"BUS -62-76-83--",8,55,"Nou Barris","Ciutat Meridiana","",""
"K014","Transports i serveis relacionats","Autobusos diürns",431250.994,4580894.726,431159.054,4580693.804,2.176777,41.374819,"BUS -D20-H14--",1,1,"Ciutat Vella","el Raval","",""
"K014","Transports i serveis relacionats","Autobusos diürns",431228.69399999996,4589027.893,431136.75700000004,4588826.896000001,2.175584,41.448069,"BUS -127-81--",8,50,"Nou Barris","les Roquetes","",""
"K014","Transports i serveis relacionats","Autobusos diürns",432125.81,4589418.114,432033.865,4589217.113,2.1862790000000003,41.45166,"BUS -127-80-81--",8,53,"Nou Barris","la Trinitat Nova","",""
"K014","Transports i serveis relacionats","Autobusos diürns",430417.976,4585534.86,430326.045,4585333.895,2.166282,41.416539,"BUS -114--",7,34,"Horta-Guinardó","Can Baró","",""
"K014","Transports i serveis relacionats","Autobusos diürns",434001.095,4585920.017,433909.13200000004,4585719.047,2.209111,41.420311,"BUS -60-H12--",10,73,"Sant Martí","la Verneda i la Pau","",""
"K014","Transports i serveis relacionats","Autobusos diürns",429517.399,4585045.613,429425.477,4584844.653,2.155564,41.412054,"BUS -116--",6,30,"Gràcia","la Salut","",""
"K014","Transports i serveis relacionats","Autobusos diürns",427250.95700000005,4584288.7360000005,427159.055,4584087.784,2.12854,41.405035,"BUS -123--",5,25,"Sarrià-Sant Gervasi","Sant Gervasi - la Bonanova","",""
"K014","Transports i serveis relacionats","Autobusos diürns",424103.875,4586426.815,424012.00299999997,4586225.844,2.090625,41.424,"BUS -118--",5,22,"Sarrià-Sant Gervasi","Vallvidrera, el Tibidabo i les Planes","",""
"K014","Transports i serveis relacionats","Autobusos diürns",424058.065,4586600.619,423966.19299999997,4586399.646000001,2.090055,41.425561,"BUS -118--",5,22,"Sarrià-Sant Gervasi","Vallvidrera, el Tibidabo i les Planes","",""
"K014","Transports i serveis relacionats","Autobusos diürns",430182.185,4586788.2530000005,430090.25700000004,4586587.277,2.163316,41.427807,"BUS -19-102-87-H2-V23--",7,43,"Horta-Guinardó","Horta","",""
"K014","Transports i serveis relacionats","Autobusos diürns",430487.4,4588354.261,430395.47,4588153.27,2.166788,41.441938,"BUS -27-47-60-122-127-V27--",8,49,"Nou Barris","Canyelles","",""
"K015","Transports i serveis relacionats","Autobusos nocturns",432839.49299999996,4584254.988,432747.54,4584054.034,2.1953970000000003,41.405218,"NITBUS -N7--",10,68,"Sant Martí","el Poblenou","",""
"K014","Transports i serveis relacionats","Autobusos diürns",424490.38700000005,4586511.62,424398.511,4586310.648,2.09524,41.4248,"BUS -128--",5,22,"Sarrià-Sant Gervasi","Vallvidrera, el Tibidabo i les Planes","",""
"K015","Transports i serveis relacionats","Autobusos nocturns",430183.51399999997,4586856.166,430091.586,4586655.188999999,2.1633240000000002,41.428419,"NITBUS -N4--",7,43,"Horta-Guinardó","Horta","",""
