"DISTRICTE","CODI_ILLA","SECC_CENS","BARRI","NOM_DISTRICTE","NOM_BARRI","AEB","HABITANTS","NUM_PARC","NUM_LOCALS","NUM_VIVENDES","NUM_PARKINGS","NUM_ALTRES","SUP_CONS","SUP_SOBRE_RASANT","SUP_SOTA_RASANT","SUP_LOCALS","SUP_SERVEIS","SUP_SOL","DATA_DADES"
10,6530,"066","68","Sant Martí","el Poblenou","214",270,125,1780,1292,120,297,138133,133621,4512,"","",28206,"02/04/2021 00:07:11"
10,6541,"064","68","Sant Martí","el Poblenou","214",366,160,2661,1945,0,92,202711,202192,519,"","",44942,"02/04/2021 00:07:11"
10,6542,"064","68","Sant Martí","el Poblenou","214",243,104,1207,740,0,106,89868,89868,0,"","",22303,"02/04/2021 00:07:11"
10,6551,"058","68","Sant Martí","el Poblenou","212",347,161,13236,4143,4559,3832,737654,575367,162287,"","",111009,"02/04/2021 00:07:11"
10,6552,"064","68","Sant Martí","el Poblenou","214",289,108,25053,6339,17579,1135,1316793,880899,435894,"","",232116,"02/04/2021 00:07:11"
10,6560,"058","68","Sant Martí","el Poblenou","212",252,126,1099,816,27,214,87512,87239,273,"","",33525,"02/04/2021 00:07:11"
10,6570,"056","68","Sant Martí","el Poblenou","212",570,237,4657,1161,0,546,386971,386788,183,"","",106060,"02/04/2021 00:07:11"
10,6580,"056","68","Sant Martí","el Poblenou","212",0,6,27,0,0,27,17865,17865,0,"","",12949,"02/04/2021 00:07:11"
10,6591,"057","68","Sant Martí","el Poblenou","212",165,72,1528,662,366,376,103946,95258,8688,"","",32424,"02/04/2021 00:07:11"
10,6592,"057","68","Sant Martí","el Poblenou","212",146,75,602,236,0,116,43990,43981,9,"","",15441,"02/04/2021 00:07:11"
10,6601,"058","68","Sant Martí","el Poblenou","212",106,56,461,333,6,106,38084,38084,0,"","",14142,"02/04/2021 00:07:11"
10,6602,"058","68","Sant Martí","el Poblenou","212",195,100,1461,827,0,169,97967,97367,600,"","",25809,"02/04/2021 00:07:11"
10,6610,"064","68","Sant Martí","el Poblenou","214",510,226,4476,2766,448,615,346477,329601,16876,"","",77261,"02/04/2021 00:07:11"
10,6621,"064","68","Sant Martí","el Poblenou","214",300,118,1331,634,133,194,106449,103159,3290,"","",30028,"02/04/2021 00:07:11"
10,6622,"063","68","Sant Martí","el Poblenou","214",373,139,1722,1083,144,339,139333,136771,2562,"","",33885,"02/04/2021 00:07:11"
10,6630,"062","68","Sant Martí","el Poblenou","213",924,370,12203,9928,1325,475,1164591,1124844,39747,"","",205427,"02/04/2021 00:07:11"
10,6640,"061","68","Sant Martí","el Poblenou","213",542,228,20304,6342,10799,3106,983516,762553,220963,"","",199346,"02/04/2021 00:07:11"
10,6650,"057","68","Sant Martí","el Poblenou","212",0,6,193,0,167,26,21439,14648,6791,"","",12344,"02/04/2021 00:07:11"
10,6661,"057","68","Sant Martí","el Poblenou","212",117,47,424,244,3,151,44453,44453,0,"","",13700,"02/04/2021 00:07:11"
10,6662,"057","68","Sant Martí","el Poblenou","212",86,40,414,235,36,89,54884,51332,3552,"","",17759,"02/04/2021 00:07:11"
10,6670,"056","68","Sant Martí","el Poblenou","212",40,22,194,56,8,114,32834,32684,150,"","",15686,"02/04/2021 00:07:11"
10,6681,"056","68","Sant Martí","el Poblenou","212",186,80,1156,705,0,91,90354,90354,0,"","",33487,"02/04/2021 00:07:11"
10,6682,"056","68","Sant Martí","el Poblenou","212",173,80,672,359,165,90,41890,38037,3853,"","",13491,"02/04/2021 00:07:11"
10,6691,"057","68","Sant Martí","el Poblenou","212",160,69,497,293,9,141,42495,42495,0,"","",18315,"02/04/2021 00:07:11"
10,6692,"057","68","Sant Martí","el Poblenou","212",64,37,1845,1343,404,94,146643,138771,7872,"","",45933,"02/04/2021 00:07:11"
10,6701,"057","68","Sant Martí","el Poblenou","212",69,37,875,722,18,134,63955,63684,271,"","",15320,"02/04/2021 00:07:11"
10,6702,"057","68","Sant Martí","el Poblenou","212",59,37,465,391,0,74,33976,33575,401,"","",12526,"02/04/2021 00:07:11"
10,6710,"061","68","Sant Martí","el Poblenou","213",492,207,16591,12962,2377,1252,1446762,1333979,112783,"","",198606,"02/04/2021 00:07:11"
10,6721,"061","68","Sant Martí","el Poblenou","213",472,205,8456,3710,4067,489,535374,453427,81947,"","",98620,"02/04/2021 00:07:11"
10,6722,"061","68","Sant Martí","el Poblenou","213",255,100,4024,1576,2032,224,246026,202087,43939,"","",26543,"02/04/2021 00:07:11"
10,6723,"061","68","Sant Martí","el Poblenou","213",0,1,2,0,0,2,542,542,0,"","",617,"02/04/2021 00:07:11"
10,6724,"061","68","Sant Martí","el Poblenou","213",0,1,0,0,0,0,0,0,0,"","",344,"02/04/2021 00:07:11"
10,6730,"060","68","Sant Martí","el Poblenou","213",129,49,605,237,135,142,34178,29165,5013,"","",12035,"02/04/2021 00:07:11"
10,6740,"060","68","Sant Martí","el Poblenou","213",231,96,2168,1244,450,332,142691,128287,14404,"","",34153,"02/04/2021 00:07:11"
10,6750,"060","68","Sant Martí","el Poblenou","213",250,116,1913,808,567,295,111418,90118,21300,"","",32020,"02/04/2021 00:07:11"
10,6760,"057","68","Sant Martí","el Poblenou","212",131,63,519,127,0,69,40375,40375,0,"","",16146,"02/04/2021 00:07:11"
10,6770,"057","68","Sant Martí","el Poblenou","212",462,220,8179,7115,1,1021,520229,519716,513,"","",75219,"02/04/2021 00:07:11"
10,6780,"056","68","Sant Martí","el Poblenou","212",346,159,3206,1991,588,210,209546,188287,21259,"","",68513,"02/04/2021 00:07:11"
10,6800,"059","68","Sant Martí","el Poblenou","213",4,1,3,0,0,3,864,864,0,"","",52418,"02/04/2021 00:07:11"
10,6810,"059","68","Sant Martí","el Poblenou","213",13,12,49,8,0,21,4236,4236,0,"","",3275,"02/04/2021 00:07:11"
10,6820,"059","68","Sant Martí","el Poblenou","213",189,85,3013,2521,300,167,210234,201312,8922,"","",35011,"02/04/2021 00:07:11"
10,6830,"059","68","Sant Martí","el Poblenou","213",118,52,1474,667,486,321,65122,48922,16200,"","",17239,"02/04/2021 00:07:11"
10,6840,"059","68","Sant Martí","el Poblenou","213",170,70,748,510,0,97,54150,54150,0,"","",21754,"02/04/2021 00:07:11"
10,6850,"059","68","Sant Martí","el Poblenou","213",118,52,1115,556,309,229,64880,52354,12694,"","",17286,"02/04/2021 00:07:11"
10,6860,"059","68","Sant Martí","el Poblenou","213",81,38,816,436,312,68,51052,41404,9648,"","",14998,"02/04/2021 00:07:11"
10,6871,"059","68","Sant Martí","el Poblenou","213",243,78,1870,398,564,552,462772,400053,62719,"","",69957,"02/04/2021 00:07:11"
10,6872,"059","68","Sant Martí","el Poblenou","213",119,56,1155,1155,0,0,75920,75920,0,"","",12761,"02/04/2021 00:07:11"
10,6883,"059","68","Sant Martí","el Poblenou","213",0,5,7,0,2,5,3019,3019,0,"","",6215,"02/04/2021 00:07:11"
10,6894,"059","68","Sant Martí","el Poblenou","213",174,85,1724,1723,0,0,112903,112903,0,"","",56880,"02/04/2021 00:07:11"
10,6900,"059","68","Sant Martí","el Poblenou","213",1,1,0,0,0,0,0,0,0,"","",56917,"02/04/2021 00:07:11"
10,6901,"055","67","Sant Martí","la Vila Olímpica del Poblenou","211",0,1,0,0,0,0,0,0,0,"","",3124,"02/04/2021 00:07:11"
10,6902,"059","68","Sant Martí","el Poblenou","213",0,1,0,0,0,0,0,0,0,"","",1609,"02/04/2021 00:07:11"
10,6903,"059","68","Sant Martí","el Poblenou","213",0,1,0,0,0,0,0,0,0,"","",1702,"02/04/2021 00:07:11"
10,6904,"059","68","Sant Martí","el Poblenou","213",0,1,0,0,0,0,0,0,0,"","",683,"02/04/2021 00:07:11"
10,6905,"078","69","Sant Martí","Diagonal Mar i el Front Marítim del Poblenou","217",0,1,6,0,0,6,29430,23157,6273,"","",45989,"02/04/2021 00:07:11"
10,6906,"059","68","Sant Martí","el Poblenou","213",0,1,0,0,0,0,0,0,0,"","",28422,"02/04/2021 00:07:11"
10,6907,"078","69","Sant Martí","Diagonal Mar i el Front Marítim del Poblenou","217",0,1,0,0,0,0,0,0,0,"","",5661,"02/04/2021 00:07:11"
10,6908,"078","69","Sant Martí","Diagonal Mar i el Front Marítim del Poblenou","217",0,1,3,0,0,3,3672,3672,0,"","",41577,"02/04/2021 00:07:11"
10,6910,"026","65","Sant Martí","el Clot","205",338,124,3075,1306,618,808,220653,190740,29913,"","",41392,"02/04/2021 00:07:11"
10,6911,"078","69","Sant Martí","Diagonal Mar i el Front Marítim del Poblenou","217",0,1,0,0,0,0,0,0,0,"","",13212,"02/04/2021 00:07:11"
10,6912,"078","69","Sant Martí","Diagonal Mar i el Front Marítim del Poblenou","217",0,1,5,0,0,5,6867,6867,0,"","",58844,"02/04/2021 00:07:11"
10,6913,"??","69","Sant Martí","Diagonal Mar i el Front Marítim del Poblenou","??",0,4,1,0,1,0,16206,0,16206,"","",30626,"02/04/2021 00:07:11"
10,6914,"080","69","Sant Martí","Diagonal Mar i el Front Marítim del Poblenou","218",0,1,0,0,0,0,0,0,0,"","",34705,"02/04/2021 00:07:11"
10,6916,"078","69","Sant Martí","Diagonal Mar i el Front Marítim del Poblenou","217",0,1,0,0,0,0,0,0,0,"","",2351,"02/04/2021 00:07:11"
10,6917,"081","70","Sant Martí","el Besòs i el Maresme","219",0,2,45,0,3,42,325277,78110,247167,"","",300962,"02/04/2021 00:07:11"
10,6920,"031","65","Sant Martí","el Clot","205",591,251,8175,7073,88,746,626560,623408,3152,"","",92413,"02/04/2021 00:07:11"
10,6931,"031","65","Sant Martí","el Clot","205",940,435,31678,19087,8390,1850,1777452,1605029,172423,"","",227299,"02/04/2021 00:07:11"
10,6932,"038","65","Sant Martí","el Clot","207",211,78,6249,3126,2669,454,384598,384598,0,"","",63331,"02/04/2021 00:07:11"
10,6940,"031","65","Sant Martí","el Clot","205",0,5,20,0,0,20,12916,11897,1019,"","",10589,"02/04/2021 00:07:11"
10,6950,"030","65","Sant Martí","el Clot","205",992,396,22566,15293,6114,1159,1624634,1442822,181812,"","",218036,"02/04/2021 00:07:11"
10,6960,"032","65","Sant Martí","el Clot","206",22,14,58,7,0,23,4936,4936,0,"","",9685,"02/04/2021 00:07:11"
10,6970,"034","65","Sant Martí","el Clot","206",1725,689,120867,67243,50390,3111,7176980,6264104,912876,"","",792783,"02/04/2021 00:07:11"
10,6980,"033","65","Sant Martí","el Clot","206",415,194,64854,19812,41537,3505,4043384,2877479,1165905,"","",808689,"02/04/2021 00:07:11"
10,6991,"032","65","Sant Martí","el Clot","206",672,275,25161,15648,8657,560,1571210,1456380,114830,"","",228198,"02/04/2021 00:07:11"
10,6992,"033","65","Sant Martí","el Clot","206",446,197,61267,43537,16745,197,4142516,4142516,0,"","",709988,"02/04/2021 00:07:11"
10,7000,"038","65","Sant Martí","el Clot","207",212,104,5501,2771,2314,331,283807,231387,52420,"","",38266,"02/04/2021 00:07:11"
10,7011,"035","65","Sant Martí","el Clot","206",0,2,3,0,0,3,7461,7461,0,"","",26225,"02/04/2021 00:07:11"
10,7012,"035","65","Sant Martí","el Clot","206",1998,739,86664,43350,35837,7477,5704324,4618011,1086313,"","",713189,"02/04/2021 00:07:11"
10,7013,"036","65","Sant Martí","el Clot","206",839,286,19022,7461,9617,1453,1127431,875203,252228,"","",206431,"02/04/2021 00:07:11"
10,7020,"032","65","Sant Martí","el Clot","206",147,53,1244,460,542,29,68995,54475,14520,"","",12510,"02/04/2021 00:07:11"
10,7030,"032","65","Sant Martí","el Clot","206",114,51,604,213,4,59,37198,37003,195,"","",11377,"02/04/2021 00:07:11"
10,7040,"036","65","Sant Martí","el Clot","206",401,185,2496,1581,245,140,162058,154488,7570,"","",40204,"02/04/2021 00:07:11"
10,7050,"036","65","Sant Martí","el Clot","206",205,79,5095,2293,1782,468,276428,231152,45276,"","",56810,"02/04/2021 00:07:11"
10,7060,"036","65","Sant Martí","el Clot","206",0,1,0,0,0,0,0,0,0,"","",869,"02/04/2021 00:07:11"
10,7070,"098","71","Sant Martí","Provençals del Poblenou","224",917,330,25593,17478,6848,1267,2313107,1988001,325106,"","",261877,"02/04/2021 00:07:11"
10,7091,"099","71","Sant Martí","Provençals del Poblenou","224",1144,424,61888,37632,22927,1329,4089640,3740808,348832,"","",487776,"02/04/2021 00:07:11"
10,7102,"096","71","Sant Martí","Provençals del Poblenou","224",0,1,1,0,0,1,607,607,0,"","",21702,"02/04/2021 00:07:11"
10,7103,"100","71","Sant Martí","Provençals del Poblenou","224",731,321,7910,6372,210,990,706645,688473,18172,"","",181450,"02/04/2021 00:07:11"
10,7105,"069","68","Sant Martí","el Poblenou","215",323,101,55247,12524,22220,20503,3372289,3105952,266337,"","",366024,"02/04/2021 00:07:11"
10,7106,"069","68","Sant Martí","el Poblenou","215",0,1,0,0,0,0,0,0,0,"","",2644,"02/04/2021 00:07:11"
10,7110,"097","71","Sant Martí","Provençals del Poblenou","224",0,16,41,0,0,41,17882,17882,0,"","",12788,"02/04/2021 00:07:11"
10,7122,"068","68","Sant Martí","el Poblenou","214",389,164,33048,14520,16302,2226,1734876,1535148,199728,"","",404505,"02/04/2021 00:07:11"
10,7123,"097","71","Sant Martí","Provençals del Poblenou","224",420,163,10450,4778,4074,1476,606154,503874,102280,"","",104754,"02/04/2021 00:07:11"
10,7124,"096","71","Sant Martí","Provençals del Poblenou","224",212,89,15186,4571,6679,3936,750594,541867,208727,"","",115949,"02/04/2021 00:07:11"
10,7125,"097","71","Sant Martí","Provençals del Poblenou","224",0,1,0,0,0,0,0,0,0,"","",1416,"02/04/2021 00:07:11"
10,7126,"066","68","Sant Martí","el Poblenou","214",866,305,56897,24827,28524,3369,3737760,3021639,716121,"","",878553,"02/04/2021 00:07:11"
10,7127,"067","68","Sant Martí","el Poblenou","214",284,108,7807,3615,3681,474,550455,465253,85202,"","",103071,"02/04/2021 00:07:11"
10,7130,"096","71","Sant Martí","Provençals del Poblenou","224",1146,432,118146,101664,13978,2504,10130482,9308098,822384,"","",1978995,"02/04/2021 00:07:11"
10,7141,"068","68","Sant Martí","el Poblenou","214",837,301,33228,12484,15484,5188,2047280,1524730,522550,"","",344491,"02/04/2021 00:07:11"
10,7142,"068","68","Sant Martí","el Poblenou","214",0,1,0,0,0,0,0,0,0,"","",1900,"02/04/2021 00:07:11"
10,7143,"096","71","Sant Martí","Provençals del Poblenou","224",0,1,0,0,0,0,0,0,0,"","",297,"02/04/2021 00:07:11"
10,7151,"063","68","Sant Martí","el Poblenou","214",513,202,8669,5800,2451,371,620045,610967,9078,"","",99879,"02/04/2021 00:07:11"
10,7152,"063","68","Sant Martí","el Poblenou","214",287,119,11679,4724,5952,929,929538,632310,297228,"","",174438,"02/04/2021 00:07:11"
10,7161,"070","68","Sant Martí","el Poblenou","215",586,249,10420,5888,3709,485,647305,628605,18700,"","",102787,"02/04/2021 00:07:11"
10,7162,"071","68","Sant Martí","el Poblenou","215",743,294,24001,14702,7726,1282,1621637,1579643,41994,"","",232511,"02/04/2021 00:07:11"
10,7170,"074","68","Sant Martí","el Poblenou","215",0,5,9,0,0,9,4286,3544,742,"","",13394,"02/04/2021 00:07:11"
10,7181,"075","68","Sant Martí","el Poblenou","215",409,165,4006,2337,981,259,238453,234247,4206,"","",51720,"02/04/2021 00:07:11"
10,7182,"074","68","Sant Martí","el Poblenou","215",678,293,17662,7367,5872,2027,1095455,982680,112775,"","",167742,"02/04/2021 00:07:11"
10,7190,"076","69","Sant Martí","Diagonal Mar i el Front Marítim del Poblenou","216",238,146,2753,143,288,463,2070157,1754337,315820,"","",163347,"02/04/2021 00:07:11"
10,7201,"077","69","Sant Martí","Diagonal Mar i el Front Marítim del Poblenou","217",668,229,64182,27360,34086,2736,4402224,3601374,800850,"","",1273832,"02/04/2021 00:07:11"
10,7202,"077","69","Sant Martí","Diagonal Mar i el Front Marítim del Poblenou","217",677,236,82838,28905,37835,4936,4156939,3358454,798485,"","",1312664,"02/04/2021 00:07:11"
10,7210,"073","68","Sant Martí","el Poblenou","215",0,1,0,0,0,0,0,0,0,"","",12103,"02/04/2021 00:07:11"
