"﻿""Any""","Trimestre","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Superfície_mitjana","Nombre"
2020,3,8,"Nou Barris",46,"el Turó de la Peira","m2_construïts",61.7
2020,3,8,"Nou Barris",47,"Can Peguera","m2_construïts",""
2020,3,8,"Nou Barris",48,"la Guineueta","m2_construïts",69.9
2020,3,8,"Nou Barris",49,"Canyelles","m2_construïts",81.9
2020,3,8,"Nou Barris",50,"les Roquetes","m2_construïts",56.3
2020,3,8,"Nou Barris",51,"Verdun","m2_construïts",56.8
2020,3,8,"Nou Barris",52,"la Prosperitat","m2_construïts",59.1
2020,3,8,"Nou Barris",53,"la Trinitat Nova","m2_construïts",54.6
2020,3,8,"Nou Barris",54,"Torre Baró","m2_construïts",73.5
2020,3,8,"Nou Barris",55,"Ciutat Meridiana","m2_construïts",58.1
2020,3,8,"Nou Barris",56,"Vallbona","m2_construïts",75.5
2020,3,9,"Sant Andreu",57,"la Trinitat Vella","m2_construïts",63.8
2020,3,9,"Sant Andreu",58,"Baró de Viver","m2_construïts",81.3
2020,3,9,"Sant Andreu",59,"el Bon Pastor","m2_construïts",61.9
2020,3,9,"Sant Andreu",60,"Sant Andreu","m2_construïts",67.8
2020,3,9,"Sant Andreu",61,"la Sagrera","m2_construïts",66.3
2020,3,9,"Sant Andreu",62,"el Congrés i els Indians","m2_construïts",69.4
2020,3,9,"Sant Andreu",63,"Navas","m2_construïts",70.5
2020,3,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","m2_construïts",68.6
2020,3,10,"Sant Martí",65,"el Clot","m2_construïts",68.3
2020,3,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","m2_construïts",70.4
2020,3,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","m2_construïts",89.4
2020,3,10,"Sant Martí",68,"el Poblenou","m2_construïts",68.0
2020,3,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","m2_construïts",83.6
2020,3,10,"Sant Martí",70,"el Besòs i el Maresme","m2_construïts",66.2
2020,3,10,"Sant Martí",71,"Provençals del Poblenou","m2_construïts",69.8
2020,3,10,"Sant Martí",72,"Sant Martí de Provençals","m2_construïts",72.2
2020,3,10,"Sant Martí",73,"la Verneda i la Pau","m2_construïts",68.6
2020,4,1,"Ciutat Vella",1,"el Raval","m2_construïts",64.8
2020,4,1,"Ciutat Vella",2,"el Barri Gòtic","m2_construïts",81.8
2020,4,1,"Ciutat Vella",3,"la Barceloneta","m2_construïts",55.2
2020,4,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","m2_construïts",67.9
2020,4,2,"Eixample",5,"el Fort Pienc","m2_construïts",74.3
2020,4,2,"Eixample",6,"la Sagrada Família","m2_construïts",69.5
2020,4,2,"Eixample",7,"la Dreta de l'Eixample","m2_construïts",98.5
2020,4,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","m2_construïts",86.1
2020,4,2,"Eixample",9,"la Nova Esquerra de l'Eixample","m2_construïts",75.1
2020,4,2,"Eixample",10,"Sant Antoni","m2_construïts",73.0
2020,4,3,"Sants-Montjuïc",11,"el Poble Sec","m2_construïts",59.8
2020,4,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","m2_construïts",""
2020,4,3,"Sants-Montjuïc",13,"la Marina de Port","m2_construïts",71.7
2020,4,3,"Sants-Montjuïc",14,"la Font de la Guatlla","m2_construïts",64.4
2020,4,3,"Sants-Montjuïc",15,"Hostafrancs","m2_construïts",63.6
2020,4,3,"Sants-Montjuïc",16,"la Bordeta","m2_construïts",67.1
2020,4,3,"Sants-Montjuïc",17,"Sants - Badal","m2_construïts",63.3
2020,4,3,"Sants-Montjuïc",18,"Sants","m2_construïts",66.2
