"Any","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Seccio_censal","Desc_locals","Nombre"
2020,1,"Ciutat Vella",1,"el Raval",21,"cap",1
2020,1,"Ciutat Vella",1,"el Raval",21,"1 local",24
2020,1,"Ciutat Vella",1,"el Raval",21,"2 locals",14
2020,1,"Ciutat Vella",1,"el Raval",21,"de 3 a 5",25
2020,1,"Ciutat Vella",1,"el Raval",21,"de 6 a 10",57
2020,1,"Ciutat Vella",1,"el Raval",21,"d'11 a 20",87
2020,1,"Ciutat Vella",1,"el Raval",21,"de 21 a 50",12
2020,1,"Ciutat Vella",1,"el Raval",21,"de 51 a 100",3
2020,1,"Ciutat Vella",1,"el Raval",21,"més de 100",2
2020,1,"Ciutat Vella",2,"el Gòtic",22,"1 local",19
2020,1,"Ciutat Vella",2,"el Gòtic",22,"2 locals",12
2020,1,"Ciutat Vella",2,"el Gòtic",22,"de 3 a 5",31
2020,1,"Ciutat Vella",2,"el Gòtic",22,"de 6 a 10",66
2020,1,"Ciutat Vella",2,"el Gòtic",22,"d'11 a 20",48
2020,1,"Ciutat Vella",2,"el Gòtic",22,"de 21 a 50",8
2020,1,"Ciutat Vella",2,"el Gòtic",22,"de 51 a 100",2
2020,1,"Ciutat Vella",2,"el Gòtic",23,"cap",3
2020,1,"Ciutat Vella",2,"el Gòtic",23,"1 local",23
2020,1,"Ciutat Vella",2,"el Gòtic",23,"2 locals",20
2020,1,"Ciutat Vella",2,"el Gòtic",23,"de 3 a 5",44
2020,1,"Ciutat Vella",2,"el Gòtic",23,"de 6 a 10",107
2020,1,"Ciutat Vella",2,"el Gòtic",23,"d'11 a 20",72
2020,1,"Ciutat Vella",2,"el Gòtic",23,"de 21 a 50",15
2020,1,"Ciutat Vella",2,"el Gòtic",23,"més de 100",1
2020,1,"Ciutat Vella",2,"el Gòtic",25,"cap",1
2020,1,"Ciutat Vella",2,"el Gòtic",25,"1 local",18
2020,1,"Ciutat Vella",2,"el Gòtic",25,"2 locals",10
2020,1,"Ciutat Vella",2,"el Gòtic",25,"de 3 a 5",35
2020,1,"Ciutat Vella",2,"el Gòtic",25,"de 6 a 10",68
2020,1,"Ciutat Vella",2,"el Gòtic",25,"d'11 a 20",49
2020,1,"Ciutat Vella",2,"el Gòtic",25,"de 21 a 50",8
