"dcAccrualPeriodicity","dccontributorauthor","dccontributorother","dccoveragespatial","dccoveragetemporal","dccoveragevigencia","dcdatecreated","dcdateissued","dcdatereview","dcdescription","dcdescriptionabstract","dcdescriptionsponsorship","dcdescriptiontableofcontents","dcformat","dcformatextent","dcidentifierBG","dcidentifierab","dcidentifiercitation","dcidentifierentitat","dcidentifiermandat","dcidentifieruri","dclanguage","dcpublisher","dcrelation","dcrelationhaspart","dcrelationhasversion","dcrelationisbasedon","dcrelationisbasisfor","dcrelationisformatof","dcrelationispartof","dcrelationisreferencedby","dcrelationisversionof","dcrelationreferences","dcrelationrequires","dcrights","dcrightsaccessrights","dcrightsnotes","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dcsubjectprogramme","dctitle","dctitlealternative","dctype","Unnamed: 46"
"","Àrea de Cultura, Coneixement, Creativitat i Innovació. Consorci d'Educació de Barcelona","","Barcelona. Districte 5. Sarrià-Sant Gervasi","2014. 2015. 2016","","2015","2015","","","","","","application/pdf","32 p.","","","","districtes","Mandat 2011-2015","http://hdl.handle.net/11703/85156","cat","Consorci d'Educació de Barcelona","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona. Consorci d'Educació de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Rendiment escolar. Educació. Fracàs escolar","Educació","plans estratègics","Pla d'Educació per a l'èxit escolar 2014-2016 Sarrià-Sant Gervasi (Barcelona)","Pla d'educació per a l'èxit escolar 2014-2016 : Sarrià-Sant Gervasi","","text",""
"","Àrea d'Habitatge, Urbanisme i Règim Interior","","Barcelona","2008","","2008","2008","","","","","","application/pdf","11 p.","","","","","Mandat 2007-2011","http://hdl.handle.net/11703/84973","cat","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Administració electrònica","Sector públic","plans estratègics","Pla d'e-Administració de Barcelona","Pla d'e-Administració de Barcelona","","text",""
"","Àrea de Medi Ambient","","Barcelona","1998. 1999. 2000. 2001. 2002. 2003. 2004. 2005. 2006. 2007. 2008","","2009-05","2009","","","","","","application/pdf","164 p.","4979","","","","Mandat 2007-2011","http://hdl.handle.net/11703/86293","cat","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Aigües subterrànies. Aigua. Aigües residuals","Medi ambient","plans estratègics","Pla Tècnic per l'Aprofitament dels Recursos Hídrics Alternatius a Barcelona (1998-2008)","Pla Tècnic per l'Aprofitament dels Recursos Hídrics Alternatius a Barcelona : vol II/III Doc. Núm. 2: Plànols","","text",""
"","Districte 5. Sarrià-Sant Gervasi","","Barcelona. Districte 5. Sarrià-Sant Gervasi","2012","","2012-10","2012","","","","","","application/pdf","9 p.","12274","","","districtes","Mandat 2011-2015","http://hdl.handle.net/11703/86322","cat","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Alcoholisme. Drogoaddicció. Salut","Salut","plans estratègics","Pla d'Actuació sobre el consum d'alcohol i altres substàncies addictives al Districte de Sarrià-Sant Gervasi (Barcelona)","Pla d'Actuació per a la prevenció del consum d'alcohol i altres substàncies addictives al Districte de Sarrià-Sant Gervasi","Pla prevenció consum alcohol i altres substàncies addictives","text",""
"","Institut de Cultura de Barcelona. Museu d'Història de la Ciutat (Barcelona)","","Barcelona","2008. 2009. 2010. 2011","","2008","2008","","Podeu consultar la versió en català a: http://hdl.handle.net/11703/86314. Podeu consultar la versió en anglès a: http://hdl.handle.net/11703/86315","","","","application/pdf","33 p.","6514","","","entitats públiques empresarials","Mandat 2007-2011","http://hdl.handle.net/11703/86316","ger","Ajuntament de Barcelona. Institut de Cultura de Barcelona","http://hdl.handle.net/11703/86314. http://hdl.handle.net/11703/86315","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Museu d'Història de la Ciutat (Barcelona). Museus","Cultura i oci","plans estratègics","Pla Estratègic del Museu d'Història de Barcelona 2008-2011","MUHBA : Museum für Geschichte in Barcelona : ""Das museum der Stadt als Spiegel von Barcelona"" : Zusammenfassung des neuen Strategieplans für das Museum","","text",""
"","Direcció d'Espais Verds i Biodiversitat. Àrea d'Hàbitat Urbà","","Barcelona","2011. 2012. 2013. 2014. 2015. 2016. 2017. 2018. 2019. 2020","","2013","2013","","Títol obtingut de la coberta","","","","application/pdf","42 p.","","","","","Mandat 2011-2015","http://hdl.handle.net/11703/85101","eng","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Zones verdes. Parcs. Jardins","Medi ambient","plans estratègics","Pla del Verd i la Biodiversitat de Barcelona 2012-2020","Barcelona green infraestructure and biodiversity plan 2020: summary","","text",""
"","Agència d'Ecologia Urbana de Barcelona. Àrea de Presidència, Règim Interior, Seguretat i Mobilitat","","Barcelona","2013. 2014. 2015. 2016. 2017. 2018","","2015","2015-01","","","","","","application/pdf","356 p.","","","","consorcis","Mandat 2011-2015","http://hdl.handle.net/11703/85164","cat","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona. Agència d'Ecologia Urbana de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Mobilitat urbana. Circulació urbana","Transport","plans estratègics","Pla de Mobilitat Urbana de Barcelona 2013-2018","Pla de Mobilitat Urbana de Barcelona 2013-2018 : proposta de desenvolupament d'actuacions : gener 2015","Pla de Mobilitat Urbana de Barcelona PMU: 2013-2018","text",""
"","Ajuntament de Barcelona","","Barcelona","2016. 2017","","2016-05-05","2016-07-10","","Aprovat pel Plenari del Consell Municipal de 05-05-2016","","","","application/pdf","38 p.","","Exp. F-1603","","","Mandat 2015-","http://hdl.handle.net/11703/97731","cat","","","","","","","","","","","","","Domini públic","openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Política econòmica. Política fiscal","Economia","plans estratègics","Pla Econòmic i Financer 2016-2017 (Barcelona)","Pla econòmic i financer consolidat 2016-2017 de l'Ajuntament de Barcelona","","text",""
"","Foment de Ciutat, S.A.","","Besòs i el Maresme (Barcelona : Barri). Barcelona. Districte 10. Sant Martí","2016. 2017. 2018. 2019. 2020","","2016","2016-07","","Es basa en la Mesura de govern per a la implementació del programa de Pla de Barris contra la desigualtat [http://hdl.handle.net/11703/97374]. Es basa en el document Transformar la ciutat amb la ciutadania : criteris i reflexions per al Pla de Barris de Barcelona [http://hdl.handle.net/11703/101848]. Podeu consultar la versió en format fitxa a: http://hdl.handle.net/11703/99083","","","","application/pdf","105 p.","","","","societats mercantils","Mandat 2015-","http://hdl.handle.net/11703/98096","cat","","","","http://hdl.handle.net/11703/99083","http://hdl.handle.net/11703/97374. http://hdl.handle.net/11703/101848","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Infraestructures urbanes. Equipaments col·lectius. Barris","Habitatge. Societat i benestar. Urbanisme i infraestructures. Educació","plans estratègics","Pla de Barris del Besòs i el Maresme 2016-2020 (Barcelona). Pla de Barris 2016-2026 (Barcelona)","Pla de Barris del Besòs i el Maresme","","text",""
"","Àrea d'Habitatge, Urbanisme i Règim Interior. Gerència de Serveis Generals i Coordinació Territorial","","Sant Genís dels Agudells (Barcelona : Barri)","2010. 2011. 2012. 2013. 2014. 2015. 2016. 2017. 2018. 2019. 2020","","2010","2010","","","","","","application/pdf","45 p.","","","","","Mandat 2007-2011","http://hdl.handle.net/11703/85004","cat","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Equipaments col·lectius. Infraestructures urbanes. Barris","Sector públic","plans estratègics","Pla de Futur del Barri de Sant Genís dels Agudells 2010-2020 (Barcelona)","Pla de futur del barri de Sant Genís dels Agudells : 2010-2020","","text",""
"","Pla Estratègic Barcelona 2000. Associació","","Barcelona","1990","","1989","1990","","","","Digitalitzat pel SEDAC","","application/pdf","57 p.","","","","","Mandat 1987-1991","http://hdl.handle.net/11703/85167","cat","Associació Pla Estratègic Barcelona 2000","","","","","","Reproducció digital del document en suport original","","","","","","CC-BY","openAccess","","Associació Pla Estratègic Barcelona 2000","http://creativecommons.org/licenses/by/4.0/deed.ca","Política econòmica. Política fiscal. Benestar social","Economia. Societat i benestar","plans estratègics. documents digitalitzats","Pla Estratègic Econòmic i Social Barcelona 2000","Pla Estratègic Econòmic i Social Barcelona 2000","I Pla Estratègic Econòmic i Social Barcelona 2000","text",""
"","Fira Internacional de Barcelona. Verde, Xavi","","Barcelona","2007","No","2007","2007-03-13","","","","","","application/pdf","15 p.","","","","consorcis","Mandat 2007-2011","http://hdl.handle.net/11703/108711","eng","","","","","","","","","","","","","CC-BY","openAccess","","Fira Internacional de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Seguretat informàtica. Protecció de dades. Fira Internacional de Barcelona","Ciència i tecnologia","plans estratègics","Pla de Recuperació de Desastre de la Fira Internacional de Barcelona 2007","Fira Barcelona : disaster recovery plan : procedures","","text",""
"","Institut Municipal d'Educació (Barcelona)","","Barcelona","2004. 2005. 2006. 2007","","2003","2003","","","","","","application/pdf","97 p.","","","","organismes autònoms","Mandat 2003-2007","http://hdl.handle.net/11703/84938","cat","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Educació. Política educativa","Educació","plans estratègics","Projecte Educatiu de Ciutat (Barcelona). Projecte Educatiu de Ciutat. Pla d'Acció 2004-2007 (Barcelona)","Projecte Educatiu de Ciutat : Pla d'Acció 2004-2007","","text",""
"","Àrea de Qualitat de Vida, Igualtat i Esports. Direcció de Serveis d'Immigració i Interculturalitat. Xarxa BCN Antirumors","","Barcelona","2012. 2013. 2014","","2012","2012","","","","","","application/pdf","42 p.","","","","","Mandat 2011-2015","http://hdl.handle.net/11703/42959","cat","Ajuntament de Barcelona","","","","","","","","","","","","CC-BY","openAccess","","Drets de les imatges: D-CAS i Direcció d'Imatge i Serveis Editorials. Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Multiculturalisme. Integració social","Societat i benestar","plans estratègics","Pla d'Acció Xarxa BCN Antirumors 2012-2014 (Barcelona)","Pla d'acció Xarxa BCN Antirumors 2012-2014","","text",""
"","Gerència Municipal. Direcció d'Inversions","","Barcelona","2008. 2009. 2010. 2011","","2008","2008","","","","","","application/pdf","9 p.","14123","","","","Mandat 2007-2011","http://hdl.handle.net/11703/86327","cat","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Política econòmica. Inversions públiques","Economia","plans estratègics","Programa d'Inversions Municipals 2008-2011 (Barcelona)","Programa d'Inversions Municipal : 2008-2011","","text",""
"","Comissions Obreres del Barcelonès. PIMEC. Foment del Treball Nacional. Unió General de Treballadors de Catalunya. Generalitat de Catalunya. Departament de Treball. Ajuntament de Barcelona","","Barcelona","2008. 2009. 2010. 2011","","2008","2008","","","","","","application/pdf","66 p.","POQB2008-2011_3ID","","","","Mandat 2007-2011","http://hdl.handle.net/11703/96381","cat. cas. eng","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Treball. Ocupació","Ocupació","plans estratègics","Pacte per a l'Ocupació de Qualitat a Barcelona 2008-2011","Pacte per a l'ocupació de qualitat a Barcelona 2008-2011 [versió en català, castellà i anglès]","Pacto para el empleo de calidad en Barcelona 2008-2011. Agreement for qualitty employment in Barcelona 2008-2011","text",""
"","Àrea d'Habitatge, Urbanisme i Règim Interior. Gerència de Serveis Generals i Coordinació Territorial","","Antiga Esquerra de l'Eixample (Barcelona : Barri)","2010. 2011. 2012. 2013. 2014. 2015. 2016. 2017. 2018. 2019. 2020","","2010","2010","","","","","","application/pdf","14 p.","","","","","Mandat 2007-2011","http://hdl.handle.net/11703/84984","cat","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Equipaments col·lectius. Infraestructures urbanes. Barris","Sector públic","plans estratègics","Pla de Futur del Barri de l'Antiga Esquerra de l'Eixample 2010-2020 (Barcelona)","Pla de futur del barri de l'Antiga Esquerra de l'Eixample : 2010-2020 : Districte de l'Eixample","","text",""
"","Ajuntament de Barcelona","","Barcelona","2004. 2005. 2006. 2007","No","2004","2004","","","","","","application/pdf","9 p.","PAM2004-2007_ECO","","","","Mandat 2003-2007","http://hdl.handle.net/11703/96331","cat","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Planificació estratègica. Finances municipals. Inversions públiques","Sector públic. Economia","plans estratègics","Programa d'Actuació Municipal (PAM) 2004-2007 (Barcelona). Programa d'Inversions Municipals 2004-2007 (Barcelona)","Programa d'Actuació Municipal 2004-2007 : marc econòmic i pressupostari","","text",""
"","Consorci de Biblioteques de Barcelona","","Barcelona","2003","","2002-12","2003","","","","","","application/pdf","44 p.","","CBB_PA_2003","","consorcis","Mandat 1999-2003","http://hdl.handle.net/11703/86385","cat","","","","","","","","","","","","","CC-BY","openAccess","","Consorci de Biblioteques de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Biblioteques","Cultura i oci","plans estratègics","Pla de Biblioteques 1998-2010 (Barcelona)","Pla d'acció 2003 : Biblioteques de Barcelona","Pla d'actuació 2013","text",""
"","Institut de Cultura de Barcelona","","Barcelona","2016. 2017. 2018. 2019. 2020","Si","2016-03","2016-03","","","","","","application/pdf","54 p.","","","","organismes autònoms","Mandat 2015-","http://hdl.handle.net/11703/99600","cat","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Política econòmica. Cultura catalana","Economia. Cultura i oci","plans estratègics","Pla de Sostenibilitat de l'ICUB 2016-2020 (Barcelona)","Pla de sostenibilitat de l'ICUB : producció i manteniment ICUB","","text",""
"","ROS Development & Planning S.L. Direcció de Promoció Territorial i Turisme. Àrea d'Hisenda i Promoció Econòmica. Districte 4. Les Corts","","Barcelona. Districte 4. Les Corts","2011. 2012. 2013. 2014. 2015. 2016","","2011","2011","","","","","","application/pdf","181 p.","12262","","","districtes","Mandat 2011-2015","http://hdl.handle.net/11703/86321","cat","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Turisme urbà. Política turística","Turisme","plans estratègics","Pla de Turisme del Districte de Les Corts 2013-2016 (Barcelona). Desconcentració Territorial de l'Activitat Turística 2013-2016 (Barcelona)","Pla de Turisme de Districte de les Corts","","text",""
"","Districte 5. Sarrià-Sant Gervasi","","Barcelona. Districte 5. Sarrià-Sant Gervasi","2008. 2009. 2010. 2011","","2008","2008","","Aprovat per la Comissió de Govern","","","","application/pdf","32 p.","","","","districtes","Mandat 2007-2011","http://hdl.handle.net/11703/102225","cat","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Planificació estratègica. Política social. Mobilitat urbana. Seguretat ciutadana. Equipaments col·lectius. Espais públics","Sector públic","plans estratègics","Programa d'Actuació del Districte de Sarrià-Sant Gervasi (PAD) 2008-2011 (Barcelona)","Pla d'Actuació del Districte 2008-2011: Sarrià-Sant Gervasi","","text",""
"","Ajuntament de Barcelona","","Barcelona. Barcelona. Districte 1. Ciutat Vella. Barcelona. Districte 2. Eixample. Barcelona. Districte 3. Sants-Montjuïc. Barcelona. Districte 4. Les Corts. Barcelona. Districte 5. Sarrià-Sant Gervasi. Barcelona. Districte 6. Gràcia. Barcelona. Districte 7. Horta-Guinardó. Barcelona. Districte 8. Nou Barris. Barcelona. Districte 9. Sant Andreu. Barcelona. Districte 10. Sant Martí. Barcelona (Àrea metropolitana)","2004. 2005. 2006. 2007","","2004-04-06","2004-04-06","","Aprovat definitivament al Plenari del Consell Municipal de 06-04-2004.","","","","application/pdf","294 p.","PAM2004-2007_CAT","","","districtes","Mandat 2003-2007","http://hdl.handle.net/11703/96346","cat","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Planificació estratègica. Civisme. Política de l'habitatge. Seguretat ciutadana. Espais públics. Política social. Participació ciutadana. Política ambiental. Política d'ocupació. Dret municipal. Carta Municipal de Barcelona. Fòrum Universal de les Cultures Barcelona 2004, S.A.. Finances municipals","Sector públic","plans estratègics","Programa d'Actuació Municipal (PAM) 2004-2007 (Barcelona). Programa d'Actuació dels Districtes (PADs) 2004-2007 (Barcelona). Programa d'Actuació del Districte de Ciutat Vella (PAD) 2004-2007 (Barcelona). Programa d'Actuació del Districte de l'Eixample (PAD) 2004-2007 (Barcelona). Programa d'Actuació del Districte d'Horta-Guinardó (PAD) 2004-2007 (Barcelona). Programa d'Actuació del Districte de Gràcia (PAD) 2004-2007 (Barcelona). Programa d'Actuació del Districte de Les Corts (PAD) 2004-2007 (Barcelona). Programa d'Actuació del Districte de Nou Barris (PAD) 2004-2007 (Barcelona). Programa d'Actuació del Districte de Sant Andreu (PAD) 2004-2007 (Barcelona). Programa d'Actuació del Districte de Sant Martí (PAD) 2004-2007 (Barcelona). Programa d'Actuació del Districte de Sants-Montjuïc (PAD) 2004-2007 (Barcelona). Programa d'Actuació del Districte de Sarrià-Sant Gervasi (PAD) 2004-2007 (Barcelona). Pla Estratègic Metropolità de Barcelona 2006-2010","Programa d'Actuació Municipal 2004-2007: document aprovat definitivament al Plenari del Consell Municipal de 6 d'abril de 2004","","text",""
"","Àrea d'Urbanisme, Infraestructures, Habitatge, Medi Ambient i Sistemes d'Informació i Telecomunicacions","","Barcelona","2012. 2013. 2014. 2015. 2016. 2017. 2018. 2019. 2020. 2021. 2022","","2012","2012","","","","","","application/pdf","42 p.","BAB_13757","","","","Mandat 2011-2015","http://hdl.handle.net/11703/96400","cas","Ajuntament de Barcelona","http://hdl.handle.net/11703/85076. http://hdl.handle.net/11703/96401","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Desenvolupament sostenible. Participació ciutadana","Educació. Medi ambient","plans estratègics","Agenda 21 BCN. Compromís Ciutadà per la Sostenibilitat 2012-2022 (Barcelona)","Compromiso ciudadano por la sostenibilidad 2012-2022 : por una Barcelona más equitativa, próspera y autosuficiente","","text",""
"","Consorci Barcelona Mobile World Capital","","Barcelona","2014. 2015","No","2014-07-10","2014","","Aprovat pel Consell d'Administració de 10-07-2014","","","","application/pdf","2 documents","","","","consorcis","Mandat 2011-2015","http://hdl.handle.net/11703/108709","eng","","","","","","","","","","","","","CC-BY","openAccess","","Consorci Barcelona Mobile World Capital","http://creativecommons.org/licenses/by/4.0/deed.ca","Innovacions tecnològiques. Emprenedoria. Telefonia mòbil. Consorci Barcelona Mobile World Capital","Ciència i tecnologia","plans estratègics","Pla d'Activitat del Consorci Barcelona Mobile World Capital 2014-2015","Barcelona Mobile World Capital : activity plan for 2014-2015 [versió presentació]","","text",""
"","Sector de Via Pública","","Barcelona","2000. 2001. 2002. 2003","","2000","2000","","","","","","application/pdf","19 p.","","","","","Mandat 1999-2003","http://hdl.handle.net/11703/84930","cat","Sector de la Via Pública. Ajuntament de Barcelona","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Vianants. Transport públic. Aparcaments. Política de transports. Circulació urbana","Transport","plans estratègics","Pacte per la Mobilitat 1998-2002 (Barcelona)","Pacte per la Mobilitat Barcelona","","text",""
"","Districte 10. Sant Martí","","Barcelona. Districte 10. Sant Martí","2004. 2005. 2006. 2007","","2003-12","2003-12","","","","","","application/pdf","18 p.","","","","districtes","Mandat 2003-2007","http://hdl.handle.net/11703/102240","cat","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Planificació estratègica","Sector públic","plans estratègics","Programa d'Actuació del Districte de Sant Martí (PAD) 2004-2007 (Barcelona)","Programa d'Actuació Districte 2004-2007: Districte de Sant Martí","","text",""
"","Consorci d'Educació de Barcelona. Àrea de Cultura, Coneixement, Creativitat i Innovació","","Barcelona. Districte 10. Sant Martí","2014. 2015. 2016","","2015","2015","","","","","","application/pdf","32 p.","","","","districtes","Mandat 2011-2015","http://hdl.handle.net/11703/85161","cat","Consorci d'Educació de Barcelona","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona. Consorci d'Educació de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Rendiment escolar. Educació. Fracàs escolar","Educació","plans estratègics","Pla d'Educació per a l'èxit escolar 2014-2016 Sant Martí (Barcelona)","Pla d'Educació per a l'èxit escolar 2014-2016 : Sant Martí","","text",""
"","Comissió de Presidència, Drets de Ciutadania, Participació, Seguretat i Prevenció (Consell Municipal de Barcelona). Àrea de Drets de Ciutadania, Participació i Transparència","","Barcelona","2016. 2017. 2018. 2019","","2016-03-23","2016","","Presentada a la Comissió de Presidència, Drets de Ciutadania, Participació, Seguretat i Prevenció de 23-03-2016. Citada a la Gaseta Municipal de Barcelona, núm. 15 (20-05-2016), p. 2841-2845","","","","application/pdf","34 p.","","","","","Mandat 2015-","http://hdl.handle.net/11703/97364","cat","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Seguretat ciutadana. Gestió de conflictes. Convivència","Sector públic. Seguretat. Societat i benestar","mesures de govern. plans estratègics. plans estratègics","Pla Local de Prevenció i de Seguretat Ciutadana de Barcelona 2016-2019","Pla Local de Prevenció i de Seguretat Ciutadana de Barcelona 2016-2019 : mesura de govern","","text",""
"","Àrea de Drets de Ciutadania, Participació i Transparència. Direcció de Serveis de Feminismes i LGTBI. Grup d'Estudis de Gènere: Traducció, Literatura, Història i Comunicació (GETLIHC). Coll-Planas, Gerard. Missé Sánchez, Miquel. Barrientos, Sara","","Barcelona","2016. 2017. 2018. 2019. 2020","Si","2016-10-28","2016","","Mesura de govern presentada al Plenari del Consell Municipal de 28-10-2016. Podeu consultar una altra versió del document en català a: http://hdl.handle.net/11703/98748","","","","application/pdf","108 p.","","","","","Mandat 2015-","http://hdl.handle.net/11703/105921","eng","","http://hdl.handle.net/11703/98748","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Igualtat entre els sexes. Drets socials","Societat i benestar","plans estratègics. mesures de govern","Pla Municipal per la Diversitat Sexual i de Gènere 2016-2020 (Barcelona)","Municipal Plan for Sexual and Gender diversity : Measures for LGTBI Equality for 2016-2020","","text",""
"","Consorci del Museu de Ciències Naturals de Barcelona","","Barcelona","2013. 2014. 2015. 2016. 2017","","2013","2013-02","","","","","","application/pdf","43","","","","","Mandat 2011-2015","http://hdl.handle.net/11703/84379","cat","","","","","","","","","","","","","CC-BY","openAccess","","Consorci del Museu de Ciències Naturals de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Ciències naturals","Ciència i tecnologia","plans estratègics","Pla Estratègic del Museu de Ciències Naturals de Barcelona 2013-2017","Pla estratègic 2013-2017 [Museu de Ciències Naturals de Barcelona]","","text",""
"","Àrea d'Acció Social i Ciutadania. Agència de Salut Pública de Barcelona","","Barcelona","2009. 2010. 2011. 2012","","2009","2009","","Aprovat pel Plenari del Consell Municipal de l'Ajuntament de Barcelona en sessió del dia 29 de juliol de 2009","","","","application/pdf","83 p.","","","","","Mandat 2007-2011","http://hdl.handle.net/11703/85054","cat","Agència de Salut Pública de Barcelona","","","","","","","","","","","","CC-BY","openAccess","","Agència de Salut Pública de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Drogoaddicció. Salut","Salut","plans estratègics","Pla d'Acció sobre Drogues de Barcelona 2009-2012","Pla d'acció sobre drogues de Barcelona : 2009-2012","","text",""
"","Àrea d'Hàbitat Urbà","","Barcelona","2011. 2012. 2013. 2014. 2015","","2013","2013","","","","","","application/pdf","95 p.","","","","","Mandat 2011-2015","http://hdl.handle.net/11703/85098","cat","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Contaminació atmosfèrica. Política ambiental","Medi ambient","plans estratègics","Pla per a la Millora de la Qualitat de l'Aire a Barcelona","Pla per a la Millora de la Qualitat de l'Aire a Barcelona : document de síntesi","","text",""
"","Sector de Serveis Urbans i Medi Ambient. Parcs i Jardins de Barcelona, Institut Municipal","","Barcelona","2006","","2006","2007","","","","","","application/pdf","71 p.","3450","","","entitats públiques empresarials","Mandat 2003-2007","http://hdl.handle.net/11703/86304","cat","Parcs i Jardins de Barcelona, Institut Municipal","","","","","","","","","","","","CC-BY","openAccess","","Parcs i Jardins de Barcelona, Institut Municipal","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbres en les ciutats","Medi ambient","plans estratègics","Pla de Gestió de l'Arbrat Viari de Barcelona","Pla de gestió de l'arbrat viari de Barcelona 2006","","text",""
"","Àrea de Qualitat de Vida, Igualtat i Esports","","Barcelona","2013. 2014. 2015","","2013","2013","","","","","","application/pdf","135 p.","","","","","Mandat 2011-2015","http://hdl.handle.net/11703/85126","cat","Ajuntament de Barcelona","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Integració social. Serveis socials","Societat i benestar","plans estratègics","Pla per a la Inclusió Social de Barcelona 2012-2015","Pla per a la Inclusió Social de Barcelona : 2012-2015","","text",""
"","Àrea de Presidència, Règim Interior, Seguretat i Mobilitat","","Barcelona","2013. 2014. 2015. 2016. 2017. 2018","","2013","2013","","","","","","application/pdf","28 p.","","","","","Mandat 2011-2015","http://hdl.handle.net/11703/85081","cat","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Mobilitat urbana. Circulació urbana","Seguretat. Transport","plans estratègics","Pla de Mobilitat Urbana de Barcelona 2013-2018","Pla de Mobilitat Urbana de Barcelona 2013-2018 : actuacions","","text",""
"","Gerència de Serveis Generals i Coordinació Territorial. Àrea d'Habitatge, Urbanisme i Règim Interior","","Sant Gervasi-Galvany (Barcelona : Barri)","2010. 2011. 2012. 2013. 2014. 2015. 2016. 2017. 2018. 2019. 2020","","2011","2011","","","","","","application/pdf","13 p.","","","","","Mandat 2007-2011","http://hdl.handle.net/11703/84996","cat","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Equipaments col·lectius. Infraestructures urbanes. Barris","Sector públic","plans estratègics","Pla de Futur del Barri de Sant Gervasi-Galvany 2010-2020 (Barcelona)","Pla de futur del barri de Sant Gervasi-Galvany : 2010-2020","","text",""
"","Comissionat de Seguretat. Gerència de Seguretat i Prevenció. Consell Municipal de Barcelona. Plenari","","Barcelona","2016. 2017. 2018. 2019","","2016-05-27","2016","","Presentada al Consell Plenari del 27-05-2016","","","","application/pdf","134 p.","","","","","Mandat 2015-","http://hdl.handle.net/11703/97370","cat","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Policia local","Sector públic. Seguretat","mesures de govern. plans estratègics","Pla Director de la Guàrdia Urbana de Barcelona 2016-2019","Pla Director de la Guàrdia Urbana de Barcelona : mesura de govern","","text",""
