"dcAccrualPeriodicity","dccontributorauthor","dccontributorother","dccoveragespatial","dccoveragetemporal","dccoveragevigencia","dcdatecreated","dcdateissued","dcdatereview","dcdescription","dcdescriptionabstract","dcdescriptionsponsorship","dcdescriptiontableofcontents","dcformat","dcformatextent","dcidentifierBG","dcidentifierab","dcidentifiercitation","dcidentifierentitat","dcidentifiermandat","dcidentifieruri","dclanguage","dcpublisher","dcrelation","dcrelationhaspart","dcrelationhasversion","dcrelationisbasedon","dcrelationisbasisfor","dcrelationisformatof","dcrelationispartof","dcrelationisreferencedby","dcrelationisversionof","dcrelationreferences","dcrelationrequires","dcrights","dcrightsaccessrights","dcrightsnotes","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dcsubjectprogramme","dctitle","dctitlealternative","dctype","Unnamed: 46"
"","Àrea d'Habitatge, Urbanisme i Règim Interior","","Barcelona","2009. 2010. 2011. 2012. 2013. 2014. 2015. 2016. 2017. 2018","","2010-04-30","2010","","Presentada al Plenari del Consell Municipal de 30-04-2010. Citada a la Gaseta Municipal núm. 21 (10-07-2010)","","Digitalitzada pel SEDAC","","application/pdf","14 p.","13626","","","","Mandat 2007-2011","http://hdl.handle.net/11703/86275","cat","Ajuntament de Barcelona","","","","","","Reproducció digital del document en suport original","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Transport públic","Transport","mesures de govern. plans estratègics. documents digitalitzats","Pla Director d'Infraestructures 2009-2018 (Regió Metropolitana de Barcelona)","Pla Director Infraestructures del transport públic col·lectiu de la Regió Metropolitana de Barcelona, 2009-2018 : mesura de govern","","text",""
"","Districte 10. Sant Martí","","Barcelona. Districte 10. Sant Martí","2008. 2009. 2010. 2011","","2008-06","2008-06","","","","","","application/pdf","38 p.","PAD2008_2012_SMA_DEF","","","districtes","Mandat 2007-2011","http://hdl.handle.net/11703/96376","cat","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Planificació estratègica. Política social. Política educativa. Política cultural. Política ambiental. Política econòmica. Ordenació del territori. Rehabilitació urbana. Espais públics. Mobilitat urbana. Civisme","Sector públic","plans estratègics","Programa d'Actuació del Districte de Sant Martí (PAD) 2008-2011 (Barcelona)","Programa d'Actuació del Districte de Sant Martí: 2008-2011: proposta de Programa d'Actuació del Districte informat favorablement pel Consell Plenari del Districte","","text",""
"","Comissió de Drets Socials, Cultura i Esports (Consell Municipal de Barcelona). Àrea de Drets Socials","","Barcelona","2017","","2017-06-20","2017-06","","Presentada a la Comissió de Drets Socials, Cultura i Esports de 20-06-2017","","","","application/pdf","23 p.","","","","","Mandat 2015-","http://hdl.handle.net/11703/102845","cat","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Asil, Dret d'. Emigració i immigració. Refugiats. Trasllats de població. Integració social. Esports","Esport. Societat i benestar","mesures de govern. plans estratègics","Programa d'Esports per a Persones Refugiades a Barcelona 2017-","Programa d'esports per a persones refugiades a Barcelona : mesura de govern","","text",""
"","Àrea de Medi Ambient","","Barcelona","2010. 2011","","2010","2010","","","","","","application/pdf","5 p.","","","","","Mandat 2007-2011","http://hdl.handle.net/11703/84975","cat","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Contaminació acústica. Soroll","Medi ambient","plans estratègics","Pla per a la Reducció de la Contaminació Acústica 2010-2020 (Barcelona)","Pla d'Acció per a la reducció de la contaminació acústica de la ciutat de Barcelona : 2010-2011","","text",""
"","Àrea de Presidència, Règim Interior, Seguretat i Mobilitat","","Barcelona","2013. 2014","","2012","2012","","","","","","application/pdf","13 p.","","","","","Mandat 2011-2015","http://hdl.handle.net/11703/85077","cat","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Seguretat viària i infants. Circulació urbana","Seguretat. Transport","plans estratègics","Pla de Millora de la Mobilitat i la Seguretat Viària als Entorns Escolars 2013-2014 (Barcelona)","Pla de millora de la mobilitat i la seguretat viària als entorns escolars : 2013-2014","","text",""
"","Districte 3. Sants-Montjuïc","","Barcelona. Districte 3. Sants-Montjuïc","2004. 2005. 2006. 2007. 2008. 2009. 2010. 2011","","2005","2005","","A la portada: Aprovat per la sessió plenària del Consell de Districte l'1 de març de 2005.","","","","application/pdf","68 p.","PEB2004_2011_SM","","","districtes","Mandat 2003-2007","http://hdl.handle.net/11703/96349","cat","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Equipaments col·lectius. Urbanisme","Urbanisme i infraestructures","plans estratègics","Pla d'Equipaments del Districte de Sants-Montjuïc 2004-2011 (Barcelona)","Pla d'equipaments 2004-2011 : Districte de Sants-Montjuïc.","","text",""
"","Ajuntament de Barcelona","","Barcelona","2008. 2009. 2010. 2011","","2008-10-31","2008-10-31","","Document per a l'aprovació definitiva al Consell Plenari de l'Ajuntament de Barcelona 31-10-2008","","","","application/pdf","147 p.","PAM2008_DEF","","","","Mandat 2007-2011","http://hdl.handle.net/11703/96377","cat","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Planificació estratègica","Sector públic","plans estratègics","Programa d'Actuació Municipal (PAM) 2008-2011 (Barcelona)","PAM, Programa d'Actuació Municipal Ajuntament de Barcelona 2008-2011","","text",""
"","Districte 2. Eixample","","Barcelona. Districte 2. Eixample","2008. 2009. 2010. 2011","","2008","2008","","","","","","application/pdf","40 p.","PAD2008_2012_EI_PRO","","","districtes","Mandat 2007-2011","http://hdl.handle.net/11703/96384","cat","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Planificació estratègica. Espais públics. Convivència. Ordenació del territori. Rehabilitació urbana. Equipaments col·lectius. Mobilitat urbana. Política de l'habitatge. Comerç. Política social","Sector públic","plans estratègics","Programa d'Actuació del Districte de l'Eixample (PAD) 2008-2011 (Barcelona)","Proposta del Pla d'Actuació del Districte de l'Eixample 2008-2011","","text",""
"","Consorci d'Educació de Barcelona. Àrea de Cultura, Coneixement, Creativitat i Innovació","","Barcelona. Districte 8. Nou Barris","2013. 2014. 2015","","2015","2015","","","","","","application/pdf","32 p.","","","","districtes","Mandat 2011-2015","http://hdl.handle.net/11703/85160","cat","Consorci d'Educació de Barcelona","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona. Consorci d'Educació de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Rendiment escolar. Educació. Fracàs escolar","Educació","plans estratègics","Pla d'Educació per a l'èxit escolar 2013-2015 Nou Barris (Barcelona)","Pla d'educació per a l'èxit escolar 2013-2015 : Nou Barris","","text",""
"","Àrea de Cultura, Coneixement, Creativitat i Innovació. Consorci d'Educació de Barcelona","","Barcelona. Districte 1. Ciutat Vella","2013. 2014. 2015. 2016. 2017. 2018","","2013-11","2013-11","","","","","","application/pdf","15 p.","","","","districtes","Mandat 2011-2015","http://hdl.handle.net/11703/85092","cat","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Política educativa","Educació","plans estratègics","Pla d'Educació de Ciutat Vella 2013-2018 (Barcelona)","Pla d'Educació de Ciutat Vella 2013-2018 : Ciutat Vella, una escola","","text",""
"","Districte 1. Ciutat Vella","","Barcelona. Districte 1. Ciutat Vella. Gòtic (Barcelona : Barri)","Raval (Barcelona : Barri). 2016. 2017. 2018. 2019. 2020","","2017-03-16","2017","","Presentada al Consell Plenari del Districte de Ciutat Vella de 16-03-2017","","","","application/pdf","28 p.","","","","districtes","Mandat 2015-","http://hdl.handle.net/11703/108067","cat","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Integració social. Habitatge públic. Salut pública. Educació. Desenvolupament econòmic. Espais públics","Societat i benestar. Habitatge. Salut. Educació. Economia","mesures de govern. plans estratègics","Pla de Barris de Raval Sud i Gòtic Sud 2016-2020 (Barcelona). Pla de Barris 2016-2026 (Barcelona)","Mesura de govern per al desenvolupament del Pla de Barris contra les desigualtats al Raval Sud i Gòtic Sud","","text",""
