"dcAccrualPeriodicity","dcAccrualPolicy","dccontributorauthor","dccontributorother","dccoveragespatial","dccoveragetemporal","dccoveragevigencia","dcdatecreated","dcdateissued","dcdatevalidfinal","dcdatevalidinici","dcdescription","dcdescriptiontableofcontents","dcformat","dcformatextent","dcidentifierBG","dcidentifierab","dcidentifiercitation","dcidentifierentitat","dcidentifieruri","dclanguage","dcrelation","dcrelationisreplacedby","dcrelationisrequiredby","dcrelationreplaces","dcrelationrequires","dcrights","dcrightsaccessrights","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dcsubjectprogramme","dctitle","dctitlealternative","dctype","Unnamed: 36"
"","","Institut de Cultura de Barcelona","","Barcelona","2014","","2013-08-26","2014-06-10","","","Aprovació inicial pel President de l'Institut de Cultura de Barcelona el 26-08-2013. No s'ha presentat cap al·legació, per tant, estan definitivament aprovades","","application/pdf","","14272","","Butlletí Oficial de la Província de Barcelona (10-06-2014)","entitats públiques empresarials","http://hdl.handle.net/11703/86969","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Concurs Fotomercè. Festes de la Mercè (Barcelona)","Cultura i oci. Ciència i tecnologia","premis","","Concurs Fotomercè 2014 : convocatòria","","text",""
"","","Districte 6. Gràcia","","Barcelona. Districte 6. Gràcia","2016","Si","2017","2017-02","","","","","application/pdf","2 p.","","","","districtes","http://hdl.handle.net/11703/100839","cat","","","","","","CC-BY","openAccess","http://creativecommons.org/licenses/by/4.0/deed.ca","Premis Vila de Gràcia. Qualitat de vida. Acció social","Societat i benestar","premis","","XXII Premis Vila de Gràcia 2016 : bases","","text",""
"","","Ajuntament de Barcelona","","Bon Pastor (Barcelona : Barri). Baró de Viver (Barcelona : Barri). Trinitat Vella (Barcelona : Barri). Barcelona. Districte 9. Sant Andreu. Barcelona. Districte 10. Sant Martí","2015","","2015-11-19","2015-11-26","","2015-11-27","","","application/pdf","3 p.","","","Butlletí Oficial de la Província de Barcelona (26-11-2015)","","http://hdl.handle.net/11703/84208","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Concurs per a l'Ornamentació Nadalenca d'aparadors dels comerços","Cultura i oci","premis","","Concurs per a l'ornamentació nadalenca d'aparadors dels comerços de diferents barris de la ciutat de Barcelona (Bon Pastor, Baró de Viver, Trinitat Vella, Zona Nord, Roquetes i Besòs-Maresme)","","text",""
"","","Ajuntament de Barcelona","","Barcelona","2014","","2014-09-05","2014-09-16","","","Aprovat per Decret de l'Alcaldia de 05-09-2014","","application/pdf","","14090","","Butlletí Oficial de la Província de Barcelona (16-09-2014)","","http://hdl.handle.net/11703/86965","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premi Barcelona Empresa Innovadora en Conciliació i Temps","Ocupació","premis","","Premi Barcelona a l'Empresa Innovadora en Conciliació i Temps 2014 : convocatòria i bases","","text",""
"","","Ajuntament de Barcelona","","Barcelona","2014","","2014-05-15","2014-06-10","","","Aprovat per Decret de l'Alcaldia de 15-05-2014","","application/pdf","","13804","","Butlletí Oficial de la Província de Barcelona (10-06-2014)","","http://hdl.handle.net/11703/86961","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premi Consell Municipal d'Immigració de Barcelona","Demografia","premis","","Premi Consell Municipal d'Immigració de Barcelona 2014 : convocatòria i bases","","text",""
"Anual","","Ajuntament de Barcelona","","Barcelona","2016","No","2016-06-09","2016-07-05","","2016-07-06","Aprovades inicialment per la Comissió de Govern de 09-06-2016. No s'ha presentat cap al·legació, per tant, estan definitivament aprovades. Es modifiquen les bases Primera, Segona, Quarta, Setena Vuitena, Desena i Setzena.","","application/pdf","4 p.","","","Butlletí Oficial de la Província de Barcelona (05-07-2016)","","http://hdl.handle.net/11703/97583","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premi Barcelona VisualSound. Festival Barcelona VisualSound. Audiovisuals. Joves. Creativitat","Cultura i oci","premis","","Premi Barcelona Visualsound, Festival audiovisual de creació jove 2017:  bases modificació","","text",""
"","","Ajuntament de Barcelona","","Barcelona","2010","","2010-09-14","2010-09-22","","","Aprovat per Decret de l'Alcaldia de 14-09-2014","","application/pdf","","12315","","Butlletí Oficial de la Província de Barcelona (22-09-2010)","","http://hdl.handle.net/11703/86928","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premi 25 de novembre - Dia Internacional per a l'eliminació de la violència vers les dones. Violència envers les dones","Societat i benestar","premis","","Premi 25 de Novembre - Dia Internacional per a l'eliminació de la violència vers les dones 2010 : convocatòria i bases","","text",""
"","","Institut de Cultura de Barcelona","","Barcelona","2015","","2015-04-15","2015-04-30","","","Aprovat per la Presidència de l'Institut de Cultura de Barcelona el 15-04-2015","","application/pdf","","18660","","Butlletí Oficial de la Província de Barcelona (30-04-2015)","entitats públiques empresarials","http://hdl.handle.net/11703/86979","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premis Future internet - Performing arts","Ciència i tecnologia","premis","","Premis Future internet - Performing arts 2015 : convocatòria i bases","","text",""
"Anual","Obert","Àrea de Treball, Economia i Planificació Estratègica. Gerència de Política Econòmica i Desenvolupament Local","","Barcelona","2017","Si","2017","2017-10-26","","2017-10-27","Correcció d'errades aprovada pel Comissionat d'Economia Social, Desenvolupament i Consum Local de l'Ajuntament de Barcelona el 31-10-2017","Conté: Correcció d'errades","application/pdf","2 documents","","","Butlletí Oficial de la Província de Barcelona (26-10-2017). Correcció d'errades: Butlletí Oficial de la Província de Barcelona (17-11-2017)","","http://hdl.handle.net/11703/106078","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premi Barcelona Empresa Innovadora en Conciliació i Temps. Conciliació de la vida personal i laboral. Empreses","Ocupació","premis","","Premi Barcelona Empresa Innovadora en Conciliació i Temps 2017 : bases","","text",""
"","","Ajuntament de Barcelona","","Barcelona","2012","","2012-10-16","2012-11-10","","","Aprovat per Decret de l'Alcaldia de 16-10-2012","","application/pdf","","12478","","Publicat també a la: Gaseta Municipal de Barcelona, núm. 30 (10-11-2012), p. 4705. Butlletí Oficial de la Província de Barcelona  29-10-2012","","http://hdl.handle.net/11703/86949","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premi Consell Municipal d'Immigració de Barcelona","Demografia","premis","","Premi Consell Municipal d'Immigració de Barcelona 2012 : convocatòria i bases","","text",""
"","","Ajuntament de Barcelona","","Barcelona","2010","","2010-03-08","2010-03-13","","","Aprovat per Decret de l'Alcaldia de 08-03-2010. Les bases van ser aprovades per DA de 21-07-2006","","application/pdf","","12448","","Butlletí Oficial de la Província de Barcelona, núm. 62 (13-03-2010)","","http://hdl.handle.net/11703/89338","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premi Barcelona Associacions","Societat i benestar","premis","","Premi Barcelona Associacions 2010 : convocatòria i bases","","text",""
"","","Ajuntament de Barcelona","","Barcelona","2004","","2004-01-23","2004-04-28","","","Aprovat per Decret de l'Alcaldia de 23-01-2004","","application/pdf","","12341","","Butlletí Oficial de la Província de Barcelona, núm. 102 (28-04-2004)","","http://hdl.handle.net/11703/89309","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premi Consell Municipal de Benestar Social als Mitjans de Comunicació","Societat i benestar","premis","","Premi Consell Municipal de Benestar Social als Mitjans de Comunicació 2004 : convocatòria","","text",""
"","","Districte 10. Sant Martí","","Barcelona. Districte 10. Sant Martí","2012","","2012-11-14","2012-11-27","","","Aprovades per la Comissió de Govern el 14-11-2012.. Atès que dins del termini d'informació pública no s'han presentat al·legacions, han quedat aprovades definitivament.   Es publica el text íntegre de les bases que regeixen la convocatòria.","","application/pdf","","12231","","Butlletí Oficial de la Província de Barcelona (27-11-2012)","districtes","http://hdl.handle.net/11703/86925","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Certamen Literari Paraules a Icària. Certàmens literaris","Cultura i oci","premis","","Certamen literari Paraules a Icària 2012 : convocatòria i bases","","text",""
"","","Ajuntament de Barcelona","","Barcelona","2013","","2013-06-07","2013-06-20","","","Aprovat per Decret de l'Alcaldia de 07-06-2013","","application/pdf","","11475","","Butlletí Oficial de la Província de Barcelona (20-06-2013). Publicat també a la Gaseta Municipal de Barcelona, núm. 19 (20-06-2013), p. 2979-2982. Butlletí Oficial de la Província de Barcelona  20-06-2013","","http://hdl.handle.net/11703/86915","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premi Consell Municipal d'Immigració de Barcelona","Societat i benestar","premis","","Premis del Premi Consell Municipal d'Immigració de Barcelona 2013 : convocatòria i bases","","text",""
"","","Institut Barcelona Esports","","Barcelona","2015","","2015-02-26","2015-03-02","","","Aprovada per la presidenta de l'Institut Barcelona Esport el 26-02-2015","","application/pdf","","18063","","Butlletí Oficial de la Província de Barcelona (02-03-2015)","organismes autònoms","http://hdl.handle.net/11703/86978","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premi Joan Serra a la dansa educativa","Cultura i oci","premis","","Premi Joan Serra a la dansa educativa 2015 : convocatòria","","text",""
"","","Ajuntament de Barcelona","","Barcelona","2015","No","2015-09-23","2015-10-01","","2015-10-02","","","application/pdf","3 p.","","","Butlletí Oficial de la Província de Barcelona (01-10-2015)","","http://hdl.handle.net/11703/83950","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premi Consell Municipal d'Immigració de Barcelona","Demografia. Societat i benestar","premis","","Premi Consell Municipal d'Immigració de Barcelona 2015: bases i convocatòria","","text",""
"","","Districte 10. Sant Martí","","Barcelona. Districte 10. Sant Martí","2012","","2012-06-11","2012-12-24","2013-01-08","2012-12-25","Aprovat  per la Comissió de Govern de 14-11-2012. Aprovació definitiva de les bases que regeixen aquesta convocatòria en no haver-se presentat al·legacions.","","application/pdf","","10318","","Butlletí Oficial de la Província de Barcelona (24-12-2012 )","districtes","http://hdl.handle.net/11703/86910","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Certamen Literari Paraules a Icària. Certàmens literaris","Cultura i oci","premis","","Certamen literari Paraules a Icària 2012 : convocatòria","","text",""
"","","Consorci de les Drassanes Reials i Museu Marítim de Barcelona","","Barcelona","2017","Si","2017-04-27","2017-05-29","","2017-05-30","Aprovat per resolució de la direcció general del Consorci de les Drassanes Reials i Museu Marítim de Barcelona de 27-04-2017","","application/pdf","3 p.","","","Butlletí Oficial de la Província de Barcelona (29-05-2017)","consorcis","http://hdl.handle.net/11703/102415","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premi de Recerca del Museu Marítim de Barcelona ""Josep Ricart i Giralt"". Patrimoni marítim","Ciència i tecnologia","premis","","Premi de Recerca Josep Ricart i Giralt 2017 : convocatòria i bases","","text",""
"","","Departament de Joventut. Àrea de Drets Socials","","Barcelona","2018","","2017-09-28","2017-10-06","","2017-09-29","Aprovat per la Comissió de Govern de 28-09-2017","","application/pdf","5 p.","","","Butlletí Oficial de la Província de Barcelona (06-10-2017)","","http://hdl.handle.net/11703/105927","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Concurs de Cartells dels Festivals per a Joves. Cartells. Festivals de música. Festivals de dansa. Festival Brot (Barcelona). Festival Barcelona VisualSound. Rough Diamonds BCN","Cultura i oci","premis","","Concurs de Cartells dels Festivals per a Joves 2018 : convocatòria i bases","","text",""
"","","Institut de Cultura de Barcelona","","Barcelona","2013","","2013-08-26","2013-09-04","","","Aprovació inicial pel President de l'Institut de Cultura de Barcelona el 26-08-2013. No s'ha presentat cap al·legació, per tant, estan definitivament aprovades","","application/pdf","","12438","","Butlletí Oficial de la Província de Barcelona (04-09-2013)","entitats públiques empresarials","http://hdl.handle.net/11703/86941","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Concurs Fotomercè. Festes de la Mercè (Barcelona)","Cultura i oci","premis","","Concurs Fotomercè 2013 : convocatòria","","text",""
"","","Districte 10. Sant Martí","","Barcelona","2008","","2008-11-07","2008-12-08","","","Aprovat per Decret de l'Alcaldia de 07-11-2008","","application/pdf","","12095","","Butlletí Oficial de la Província de Barcelona, núm.  294 (08-12-2008)","districtes","http://hdl.handle.net/11703/89304","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Certamen Literari Paraules a Icària. Certàmens literaris","Cultura i oci","premis","","Certamen literari Paraules a Icària 2008 : convocatòria i bases","","text",""
"","","Ajuntament de Barcelona","Consell Assessor de Salut Laboral de Barcelona","Barcelona","2014","","2014-04-09","2014-04-23","","","Aprovat per Decret de l'Alcaldia de 09-04-2014","","application/pdf","","13563","","Butlletí Oficial de la Província de Barcelona (23-04-2014)","consells","http://hdl.handle.net/11703/86959","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premi Ignasi Fina de Salut Laboral","Ocupació. Salut","premis","","Premi Ignasi Fina de Salut Laboral 2014 : convocatòria","","text",""
"","","Institut de Cultura de Barcelona","","Barcelona","2007","","2007-05-31","2007-07-03","","","Aprovades pel President de l'Institut de Cultura de Barcelona el 31-05-2007","","application/pdf","","12436","","Butlletí Oficial de la Província de Barcelona, núm. 158 (03-07-2007)","entitats públiques empresarials","http://hdl.handle.net/11703/89328","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Concurs Fotomercè. Festes de la Mercè (Barcelona)","Cultura i oci","premis","","Concurs Fotomercè 2007 : convocatòria i bases","","text",""
"","","Institut de Cultura de Barcelona. Xarxa de Centres Cívics (Barcelona)","","Barcelona","2016","","2016-09-02","2016-10-10","","2016-10-11","Aprovades pel President de l'Institut de Cultura de Barcelona el 02-09-2016","","application/pdf","2 p.","","","Butlletí Oficial de la Província de Barcelona (10-10-2016)","entitats públiques empresarials","http://hdl.handle.net/11703/98455","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Xarxes socials. Concursos","Cultura i oci. Ciència i tecnologia","premis","","Concursos convocats per l'Institut de Cultura de Barcelona a les seves xarxes socials en relació a la xarxa de Centres Cívics 2016 : bases","","text",""
"","","Ajuntament de Barcelona","","Barcelona","2015","","2015-09-14","2015-09-21","","2015-09-22","","","application/pdf","3 p.","","","Butlletí Oficial de la Província de Barcelona (21-09-2015)","","http://hdl.handle.net/11703/83791","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premi Barcelona Empresa Innovadora en Conciliació i Temps. Conciliació de la vida personal i laboral. Empreses","Economia","premis","","Premi Barcelona Empresa Innovadora en Conciliació i Temps 2015 : convocatòria i bases","","text",""
"","","Ajuntament de Barcelona","Consell Assessor de Salut Laboral de Barcelona","Barcelona","2010","","2010-02-18","2010-02-22","","","Aprovat per Decret de l'Alcaldia de 18-02-2010","","application/pdf","","12453","","Butlletí Oficial de la Província de Barcelona, núm. 45 (22-02-2010)","consells","http://hdl.handle.net/11703/89325","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premi Ignasi Fina de Salut Laboral","Ocupació. Salut","premis","","Premi Ignasi Fina de Salut Laboral 2010 :  convocatòria i bases","","text",""
"","","Ajuntament de Barcelona","","Barcelona","2014","","2014-09-09","2014-09-18","","","Aprovat per Decret de l'Alcaldia de 09-09-2014","","application/pdf","","14073","","Butlletí Oficial de la Província de Barcelona (18-09-2014)","","http://hdl.handle.net/11703/86964","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premi 25 de novembre - Dia Internacional per a l'eliminació de la violència vers les dones","Societat i benestar","premis","","Premi 25 de Novembre - Dia Internacional per a l'eliminació de la violència vers les dones 2014 : convocatòria","","text",""
"Anual","Obert","Districte 3. Sants-Montjuïc","","Marina del Port (Barcelona : Barri). Marina del Prat Vermell (Barcelona : Barri). Barcelona. Districte 3. Sants-Montjuïc","2017","Si","2017-02-09","2017-03-27","","2017-03-28","Aprovació inicial per la Comissió de Govern de 09-02-2017. Atès que dins del termini d'informació pública de les indicades bases particulars no s'han presentat al·legacions, aquestes bases han quedat aprovades definitivament","","application/pdf","","","Núm. Exp.  20172017","Butlletí Oficial de la Província de Barcelona (27-03-2017). Aprovació inicial [inclou les Bases]: Butlletí Oficial de la Província de Barcelona (21-02-2017)","districtes","http://hdl.handle.net/11703/101550","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Concursos. Festes majors. Concurs de Cartells de la Festa Major de la Marina. Cartells","Cultura i oci","premis","","VII Concurs de Cartells de la Festa Major de la Marina 2017 : convocatòria i bases","","text",""
"","","Ajuntament de Barcelona","","Barcelona","2008","","2008-07-08","2008-07-26","","","Aprovat per Decret de l'Alcaldia 08-07-2008","","application/pdf","","12398","","Butlletí Oficial de la Província de Barcelona, núm. 179 (26-07-2008)","","http://hdl.handle.net/11703/89320","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premi Barcelona VisualSound. Festival Barcelona VisualSound. Joves. Creativitat. Audiovisuals","Cultura i oci","premis","","Premi Barcelona Visualsound, Festival audiovisual de creació jove 2008 : convocatòria","","text",""
"Anual","","Districte 10. Sant Martí","","Barcelona. Districte 10. Sant Martí","2017","Si","2017-07-20","2017-10-10","","","Aprovació inicial per la Comissió de Govern el 20-07-2017. Inclou el text íntegre de les bases","","application/pdf","3 documents","","Núm. Exp. SJ-17-039","Aprovació inicial [inclou les Bases]:  Butlletí oficial de la Província de Barcelona (02-08-2017). Aprovació definitiva [no inclou les Bases]: Butlletí Oficial de la Província de Barcelona (10-10-2017)","districtes","http://hdl.handle.net/11703/105932","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Certamen Literari Paraules a Icària. Certàmens literaris","Cultura i oci","premis","","Certamen literari Paraules a Icària 2017 : convocatòria i bases","","text",""
"","","Ajuntament de Barcelona","","Barcelona","2016","","2015-12-21","2015-12-30","","","","","application/pdf","11 p.","","","Butlletí Oficial de la Província de Barcelona (30-12-2015)","","http://hdl.handle.net/11703/86390","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premi Barcelona VisualSound. Festival Barcelona VisualSound. Audiovisuals. Joves. Creativitat","Cultura i oci","premis","","Premi Barcelona Visualsound, Festival audiovisual de creació jove 2016 : convocatòria i bases","","text",""
"","","Institut Barcelona Esports","","Barcelona","2015","","2015-06-08","2015-06-09","","","Convocatòria aprovada per la Presidència de l'Institut Barcelona Esports el 08-06-2015. Bases aprovades inicialment per la Presidència de l'Institut Barcelona Esports el 14-04-2015 . No s'ha presentat cap al·legació, per tant, estan definitivament aprovades","","application/pdf","","19018","","Butlletí Oficial de la Província de Barcelona (09-06-2015). Aprovació inicial [inclou les Bases]: Butlletí Oficial de la Província de Barcelona (23-06-2015)","organismes autònoms","http://hdl.handle.net/11703/86981","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premis compta fins a tres. Competicions esportives. Esports escolars","Esport. Educació","premis","","Premis compta fins a tres 2015 : convocatòria i bases","","text",""
"","","Ajuntament de Barcelona","","Barcelona","2011","","2011-05-12","2011-07-06","","","Aprovat per Decret de l'Alcaldia de 12-05-2011","","application/pdf","","12360","","Butlletí Oficial de la Província de Barcelona (06-07-2011)","","http://hdl.handle.net/11703/86931","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premi Consell Municipal de Benestar Social als Mitjans de Comunicació","Societat i benestar","premis","","Premi Consell Municipal de Benestar Social als Mitjans de Comunicació 2011 : convocatòria","","text",""
"","","Ajuntament de Barcelona","Consell Assessor de Salut Laboral de Barcelona","Barcelona","2008","","2008-01-28","2008-02-06","","","Aprovat per Decret de l'Alcaldia de 28-01-2008. Continua com a: Premi Ignasi Fina de Salut Laboral","","application/pdf","","12420","","Butlletí Oficial de la Província de Barcelona, núm. 32 (06-02-2008)","consells","http://hdl.handle.net/11703/89323","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premi Barcelona de Salut Laboral","Ocupació. Salut","premis","","Premi Barcelona de Salut Laboral 2008 : convocatòria","Premi Ignasi Fina de Salut Laboral","text",""
"","","Ajuntament de Barcelona","","Barcelona","2012","","2012-01-26","2012-02-07","","","Aprovada pel Gerent de Qualitat de Vida, Igualtat i Esports el 26-01-2012","","application/pdf","","12092","","Butlletí Oficial de la Província de Barcelona (07-02-2012)","","http://hdl.handle.net/11703/86922","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premi 8 de març - Maria Aurèlia Capmany","Societat i benestar","premis","","Premi 8 de març -Maria Aurèlia Capmany 2012 : convocatòria i bases","","text",""
"","","Institut Municipal d'Educació (Barcelona)","","Barcelona","2018","","2018-03-20","2018-04-05","","2018-04-06","Aprovat per la Presidència de l'Institut Municipal d'Educació de Barcelona el 20-03-2018","","application/pdf","3 p.","","","Gaseta Municipal de Barcelona (05-04-2018)","organismes autònoms","http://hdl.handle.net/11703/108641","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Innovacions educatives. Premi Barcelona Innovació Educativa","Educació","premis","","Premi Barcelona Innovació Educativa 2018 : convocatòria i bases","Premis de reconeixement Barcelona Innovació Educativa","text",""
"Anual","","Institut de Cultura de Barcelona","","Barcelona","2018","Si","2017-10-25","2017-11-07","","2017-11-08","Aprovació inicial pel President de l'Institut de Cultura de Barcelona el 25-10-2017. No s'ha presentat cap al·legació, per tant, estan definitivament aprovades","","application/pdf","3 p.","","","Butlletí Oficial de la Província de Barcleona (07-11-2017)","entitats públiques empresarials","http://hdl.handle.net/11703/106913","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premi Jocs Florals de Barcelona. Jocs Florals","Cultura i oci","premis","","Premis Jocs Florals de Barcelona 2018 : convocatòria i bases","","text",""
"Anual","Obert","Districte 3. Sants-Montjuïc","","Hostafrancs (Barcelona : Barri). Barcelona. Districte 3. Sants-Montjuïc","2017","","2017-02-09","2017-02-21","","2017-02-22","Aprovació inicial per la Comissió de Govern de 09-02-2017. Atès que dins del termini d'informació pública de les indicades bases particulars no s'han presentat al·legacions, aquestes bases han quedat aprovades definitivament","","application/pdf","","","Exp. núm. 20172019","Butlletí Oficial de la Província de Barcelona (21-02-2017). Correccions d'errades: Butlletí Oficial de la Província de Barcelona (17-03-2017)","districtes","http://hdl.handle.net/11703/101450","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Cartells. Concursos. Festes majors. Concurs de Cartells de la Festa Major d'Hostafrancs","Cultura i oci","premis","","XV Concurs de cartells de la Festa Major d'Hostafrancs 2017 :  convocatòria i bases","","text",""
"Anual","","Gerència de Drets Socials","","Barcelona","2018","","2017-12-14","2017-12-27","","2017-12-28","Aprovades per la Comissió de Govern de 14-12-2017","","application/pdf","6 p.","","","Butlletí Oficial de la Província de Barcleona (27-12-2017)","","http://hdl.handle.net/11703/106894","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premis Brot. Festival Brot (Barcelona). Festivals de música","Cultura i oci","premis","","Premis El Brot 2018 : convocatòria i bases","","text",""
"Anual","","Districte 10. Sant Martí","","Barcelona. Districte 10. Sant Martí","2016","","2016-06-16","2016-09-16","","","Aprovació inicial per la Comissió de govern de 16-06-2016.  Inclou el text íntegre de les Bases","","application/pdf","","","","Aprovació inicial [inclou les Bases]: Butlletí Oficial de la Província de Barcelona (07-07-2016). Butlletí Oficial de la Província de Barcelona (04-07-2016)","districtes","http://hdl.handle.net/11703/98158","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Certamen Literari Paraules a Icària. Certàmens literaris","Cultura i oci","premis","","Certamen literari Paraules a Icària 2016 : convocatòria i bases","","text",""
"Anual","","Institut Barcelona Esports","","Barcelona","2015","","2015-09-28","2015-10-05","","2015-10-06","Aprovades inicialment  pel President de l'Institut de Cultura Esports el 28-09-2016. Havent passat el termini de 20 dies hàbils d'exposició pública es donen per aprovades definitivament","","application/pdf","3 p.","","","Butlletí Oficial de la Província de Barcelona (05-10-2015)","organismes autònoms","http://hdl.handle.net/11703/84109","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premi Córrer per Compromís. Solidaritat. Esports","Esport. Societat i benestar","premis","","Premis Córrer per Compromís 2015 : bases","","text",""
"","","Ajuntament de Barcelona","","Barcelona","2009","","2009-09-01","2009-10-09","","","Aprovat per Decret de l'Alcaldia de 01-09-2009","","application/pdf","","12452","","Butlletí Oficial de la Província de Barcelona, núm. 242 (09-10-2009)","","http://hdl.handle.net/11703/89339","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premi Consell Municipal d'Immigració de Barcelona","Demografia","premis","","Premi Consell Municipal d'Immigració de Barcelona 2009 : convocatòria i bases","","text",""
"","","Ajuntament de Barcelona","","Barcelona","2007","","2007-06-05","2007-06-14","","","Aprovada per la Gerent del Sector de Serveis Personals el 05-06-2007","","application/pdf","","12396","","Butlletí Oficial de la Província de Barcelona, núm. 142 (14-06-2007)","","http://hdl.handle.net/11703/89319","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premi Barcelona VisualSound. Festival Barcelona VisualSound. Joves. Creativitat. Audiovisuals","Cultura i oci","premis","","Premi Barcelona Visualsound, Festival audiovisual de creació jove 2007 : convocatòria","","text",""
"","","Institut de Cultura de Barcelona","","Barcelona","2008","","2008-06-27","2008-07-02","","","Aprovat per Decret de Presidència de l'Institut de Cultura de Barcelona el 27-06-2008","","application/pdf","","12437","","Butlletí Oficial de la Província de Barcelona, núm. 158 (02-07-2008)","entitats públiques empresarials","http://hdl.handle.net/11703/89329","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Concurs Fotomercè. Festes de la Mercè (Barcelona)","Cultura i oci","premis","","Concurs Fotomercè 2008 : convocatòria i bases","","text",""
"","","Districte 10. Sant Martí","","Barcelona","2013","","2013-10-09","2013-11-07","","","Aprovades per la Comissió de Govern el 09-10-2013, en cas de no presentar-se al·legacions queden aprovades definitivament","","application/pdf","","12233","","Butlletí Oficial de la Província de Barcelona (07-11-2013)","districtes","http://hdl.handle.net/11703/86927","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Certamen Literari Paraules a Icària. Certàmens literaris","Cultura i oci","premis","","Certamen literari Paraules a Icària 2013 : bases","","text",""
