"dccontributorauthor","dccoveragespatial","dccoveragetemporal","dccoveragevigencia","dcdatecreated","dcdateissued","dcdatevalidfinal","dcdatevalidinici","dcdescription","dcdescriptionLegislationChangedBy","dcdescriptionLegislationChanges","dcdescriptionsponsorship","dcdescriptiontableofcontents","dcdisposal","dcformat","dcformatextent","dcformatmimetype","dcidentifierBG","dcidentifierab","dcidentifiercitation","dcidentifierentitat","dcidentifiermandat","dcidentifieruri","dclanguage","dcpublisher","dcrelation","dcrelationhasformat","dcrelationhasversion","dcrelationisbasedon","dcrelationisbasisfor","dcrelationisformatof","dcrelationisreferencedby","dcrelationisreplacedby","dcrelationisrequiredby","dcrelationisversionof","dcrelationreplaces","dcrelationrequires","dcrights","dcrightsaccessrights","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dcsubjectprogramme","dctitle","dctitlealternative","dctype","dctypedriver","Unnamed: 49"
"Consell de Ciutat de Barcelona","Barcelona | Barcelona | Barcelona","","No","2005-04-29","2005","2014-11-24","","Aprovat pel Plenari del Consell Municipal de 29-04-2005","","","","","","application/pdf","11 p.","application/pdf","4288","","","consells","","http://hdl.handle.net/11703/91668","spa","","<a href=""http://hdl.handle.net/11703/91667"">Versió en català</a>","","","","","","","<a href=""http://hdl.handle.net/11703/86361"">Reglament intern del Consell de Ciutat [2014]</a>","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Organització i organigrames | Consell de Ciutat de Barcelona | Organization and flowcharts | Consell de Ciutat de Barcelona | Organización y organigramas | Consell de Ciutat de Barcelona","Sector públic","reglaments","","Reglamento interno del Consejo de Ciudad [2005] [versió en castellà]","Reglament intern del Consell de Ciutat","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","1997-04-25","1997-06-30","2005-11-22","1997-07-01","Aprovades pel Plenari del Consell Municipal de 25-04-1997","","","","","","application/pdf","2 p.","application/pdf","13961","","Gaseta Municipal de Barcelona, núm. 19 (30-06-1997)","consells","","http://hdl.handle.net/11703/91721","cat","","","","","","","","","<a href=""http://hdl.handle.net/11703/84888"">Reglament Intern de Funcionament del Consell de Cent Joves de Barcelona [2005]</a>","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Organització i organigrames | Consell de Cent Joves de Barcelona | Organization and flowcharts | Consell de Cent Joves de Barcelona | Organización y organigramas | Consell de Cent Joves de Barcelona","Sector públic | Societat i benestar","reglaments","","Normes reguladores del Consell de Cent Joves de Barcelona [1997]","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Zona Franca (Barcelona : Barri) | Zona Franca (Barcelona : Barrio) | Zona Franca (Barcelona : Neighborhood)","","No","1991-12-19","1991","","","Aprovat pel Plenari del Consorci de 19-12-1991","","","","","","application/pdf","5 p.","application/pdf","13962","","","","","http://hdl.handle.net/11703/111810","spa","","","","","","","Reproducció digital del document en suport original","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Organització i organigrames | Consorci de la Zona Franca de Barcelona | Personal | Consorci de la Zona Franca de Barcelona | Employees | Organización y organigramas | Organization and flowcharts | Consorci de la Zona Franca de Barcelona | Personal","Legislació i justícia | Ocupació","monografies | reglaments | documents digitalitzats","","Reglamento de régimen interior del personal del Consorcio de la Zona Franca de Barcelona [1991]","","text","info:eu-repo/semantics/book",""
"Districte 3. Sants-Montjuïc | Ajuntament de Barcelona","Barcelona. Districte 3. Sants-Montjuïc | Barcelona. District 3. Sants-Montjuïc | Barcelona. Distrito 3. Sants-Montjuïc","","No","2001-12-12","2002","2012-01-31","2001-12-17","Aprovat pel Plenari del consell Municipal de 17-12-2001 | Inclou les modificacions aprovades pel Consell Plenari de 12-03-2002 i  de 28-01-2003","","","","","","application/pdf","22 p.","application/pdf","","","","districtes","","http://hdl.handle.net/11703/96688","cat","","","","","","","","","<a href=""http://hdl.handle.net/11703/96851""> Reglament Intern d'Organització i Funcionament del Districte Sants-Montjuïc [2009]</a>","","","","<a href=""http://hdl.handle.net/11703/84856"" target=""_blank"">Reglament Intern d'Organització i Funcionament del Districte Sants-Montjuïc [2009] : modificació [2012-01-31]</a>","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Districte 3. Sants-Montjuïc | Organització i organigrames | Districte 3. Sants-Montjuïc | Organization and flowcharts | Districte 3. Sants-Montjuïc | Organización y organigramas","Sector públic","reglaments","","Reglament intern d’organització i funcionament del districte Sants-Montjuïc [2001]","Reglament de funcionament intern del districte Sants-Montjuïc","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona. Districte 1. Ciutat Vella | Barcelona. Districte 2. Eixample | Barcelona. Districte 3. Sants-Montjuïc | Barcelona. Districte 4. Les Corts | Barcelona. Districte 5. Sarrià-Sant Gervasi | Barcelona. Districte 6. Gràcia | Barcelona. Districte 7. Horta-Guinardó | Barcelona. Districte 8. Nou Barris | Barcelona. Districte 9. Sant Andreu | Barcelona. Districte 10. Sant Martí | Barcelona. District 1. Ciutat Vella | Barcelona. District 2. Eixample | Barcelona. District 3. Sants-Montjuïc | Barcelona. District 4. Les Corts | Barcelona. District 5. Sarrià-Sant Gervasi | Barcelona. District 6. Gràcia | Barcelona. District 7. Horta-Guinardó | Barcelona. District 8. Nou Barris | Barcelona. District 9. Sant Andreu | Barcelona. District 10. Sant Martí | Barcelona. Distrito 1. Ciutat Vella | Barcelona. Distrito 2. Eixample | Barcelona. Distrito 3. Sants-Montjuïc | Barcelona. Distrito 4. Les Corts | Barcelona. Distrito 5. Sarrià-Sant Gervasi | Barcelona. Distrito 6. Gràcia | Barcelona. Distrito 7. Horta-Guinardó | Barcelona. Distrito 8. Nou Barris | Barcelona. Distrito 9. Sant Andreu | Barcelona. Distrito 10. Sant Martí","","No","1990-12-10","1991-02-10","2010-12-01","1991-02-11","Aprovada per Decret de l'Alcaldia  de 10-12-1990","","","Digitalitzat pel SEDAC","","","application/pdf","3 p.","application/pdf","8039","","Gaseta Municipal de Barcelona, núm. 4 (10-02-1991)","","","http://hdl.handle.net/11703/91690","cat","","","","","","","Reproducció digital del document en suport original","","<a href=""http://hdl.handle.net/11703/83461"">Reglament del Sistema Municipal d'Arxius [2010]</a>","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Organització i organigrames | Arxius municipals | Organization and flowcharts | Municipal archives | Organización y organigramas | Archivos municipales","Cultura i oci","reglaments | documents digitalitzats","","Normes reguladores de l'organització i funcionament del sistema municipal d'arxius [1990]","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","2002-02-14","2002-03-01","2015-07-09","2002-03-02","Aprovada per Decret de l'Alcaldia de 14-02-2002","","","","","","application/pdf","","application/pdf","9916","","Butlletí Oficial de la Província de Barcelona, núm. 52, Annex I (01-03-2002)","","","http://hdl.handle.net/11703/91697","cat","","","","","","","","","<a href=""http://hdl.handle.net/11703/83416"">Derogació de les disposicions municipals obsoletes [2015]</a>","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Vacances | Vacations | Vacaciones","Cultura i oci","reglaments","","Marc normatiu del Programa de vacances per a infants i adolescents, per a la promoció d'activitats de vacances per a nois i noies fins a 17 anys [2002]","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","1930-06-11","1930-06-16","","","Aprovades per la Comisión Municipal Permanente de 11-06-1930","","","","","","application/pdf","1 p.","application/pdf","","","Gaceta municipal de Barcelona, núm. 24 (16 jun. 1930), p. 416","","","http://hdl.handle.net/11703/106943","spa","","","","","","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Espectacles i passatemps | Aïllament acústic | Games | Soundproofing | Espectáculos | Aislamiento acústico","Comerç | Cultura i oci","reglaments | documents digitalitzats","","Reglas relativas a la concesión de permisos para la instalación de altavoces [1930]","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","1992-03-03","1992-04-30","","1992-05-01","Aprovada pel Plenari del Consell Municipal de 03-03-1992","","","Digitalitzat pel SEDAC","","","application/pdf","","application/pdf","6388","","Gaseta Municipal de Barcelona, núm. 15 (30-04-1992), p. 514-515","","","http://hdl.handle.net/11703/91677","cat","","","","","","","Reproducció digital del document en suport original","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Finances municipals | Municipal finance | Finanzas municipales","Economia","reglaments | documents digitalitzats","","Normes bàsiques d'intervenció municipal [1992]","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","1987-02-12","1987-03-10","2012-07-13","1987-03-11","Aprovades pel Plenari del Consell Municipal de 12-02-1987","","","Digitalitzat pel SEDAC","","","application/pdf","1 p.","application/pdf","5494","","Gaseta Municipal de Barcelona, núm. 7 (10-03-1987)","","","http://hdl.handle.net/11703/91660","cat","","","","","","","Reproducció digital del document en suport original","","<a href=""http://hdl.handle.net/11703/91763"">Reglament d'honors i distincions de l'Ajuntament de Barcelona [2012]</a>","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Condecoracions | Medalles | Decorations of honor | Medals | Condecoraciones | Medallas","Cultura i oci","reglaments | documents digitalitzats","","Normes per a l'atorgament del títol honorífic d'Amic de Barcelona [1987]","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","1930-06-11","1930-07-16","","","Aprovada per la Comisión Municipal Permanente de 11-06-1930","","","","","","application/pdf","2 p.","application/pdf","","","Gaceta municipal de Barcelona, núm. 24 (16-06-1930), p. 414-415","","","http://hdl.handle.net/11703/106944","spa","","","","","","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Transport públic | Taxis | Local transit | Taxicabs | Transporte público | Taxis","Transport","reglaments | documents digitalitzats","","Reglamentación para el servicio de automóviles de plaza en el término municipal de barcelona [1930]","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","1988-02-02","1988-02-10","2006-07-13","1988-02-11","Aprovada pel Consell Municipal Permanent de 29-01-1988 i ratificada pel Plenari del Consell Municipal de 02-02-1988","","","","","","application/pdf","3 p.","application/pdf","13889","","Gaseta Municipal de Barcelona, núm.76 (10-02-1988)","","","http://hdl.handle.net/11703/96419","cat","","","","","","","","","<a href=""http://hdl.handle.net/11703/97217"">Acord del Plenari del Consell Municipal de 28-04-2006 (Modificació de diverses directrius...) (</a>","<a href=""http://hdl.handle.net/11703/91726"">Reglament de funcionament del Mercat Central de la Flor de la Unitat Alimentària de Barcelona [1984]</a>","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Organització i organigrames | Mercats | Organization and flowcharts | Markets | Organización y organigramas | Mercados","Comerç","reglaments","","Reglament de funcionament del Mercat Municipal de la Flor [1984] : modificació [1988-01-29]","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","1949-07-08","1949-11-14","","","Aprovat pel Plenari del Consell Municipal de 08-07-1949","","","","","","application/pdf","3 p.","application/pdf","","","Gaceta municipal de Barcelona, núm. 46 (14-11-1949), p. 1309-1311","","","http://hdl.handle.net/11703/107111","spa","","","","","","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Mercats | Transport de mercaderies | Organització i organigrames | Markets | Freight transportation | Organization and flowcharts | Mercados | Transporte de mercancías | Organización y organigramas","Comerç | Urbanisme i infraestructures","reglaments | documents digitalitzats","","Reglamento para el Servicio municipalizado del transporte del mercado Central de Pescado a los Mercados y demás centros detallistas [1949]","Reglamento para el servicio municipalizado del transporte del Mercado Central de Pescado a los Mercados y demás centros detallistas, así como de los muelles y estaciones a dicho Mercado Central","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","1928-01-31","1928-02-06","","","Aprovat per la Comissió Municipal Permanent de 31-01-1928 | Podeu consultar una altre versió a: http://hdl.handle.net/11703/90402 (ed. 1928 en castellà)","","","","","","application/pdf","4 p.","application/pdf","","","Gaceta municipal de Barcelona. núm. 5 (06-02-1928), p.101-104","","","http://hdl.handle.net/11703/106657","spa","","http://hdl.handle.net/11703/90402","","","","","","","<a href=""http://hdl.handle.net/11703/106658"">Reglamento del Mercado Central de Frutas y Verduras [1940]</a>","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Organització i organigrames | Mercats | Organization and flowcharts | Markets | Organización y organigramas | Mercados","Comerç","reglaments | documents digitalitzats","","Reglamento del Mercado Central de Frutas y Verduras [1928]","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","1952-07-28","1952","2004","1997-06-27","Aprovat pel Plenari del Consell Municipal de 28-07-1952 | Informe favorable de la Junta de Letrados del 13-11-1952","","","Digitalitzat pel SEDAC","","","application/pdf","2 p.","application/pdf","6902","","","","","http://hdl.handle.net/11703/96865","spa","","","","","","","Reproducció digital del document en suport original","","<a href=""http://hdl.handle.net/11703/106246"">Reglament de les Medalles al Mèrit Artístic i Científic [1997]</a>","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Condecoracions | Medalles d'Honor de Barcelona | Medalles | Decorations of honor | Medalles d'Honor de Barcelona | Medals | Condecoraciones | Medalles d'Honor de Barcelona | Medallas","Cultura i oci","reglaments | documents digitalitzats","","Reglamento para la concesión de la Medalla al Mérito Artístico o Científico [1952]","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","1993-01-29","1993","","","Aprovat pel Plenari del Consell Municipal de 29-01-1993","","","","","","application/pdf","8 p.","application/pdf","","","","","","http://hdl.handle.net/11703/108778","spa","","","","","","","Reproducció digital del document en suport original","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Aparcaments | Associacions, institucions, etc. | Parking garages | Associations, institutions, etc. | Aparcamiento | Asociaciones, instituciones, etc.","Urbanisme i infraestructures | Transport","reglaments | documents digitalitzats","","Reglamentación de las comunidades de usuarios de los aparcamientos subterraneos para residentes [1993]","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona. Districte 1. Ciutat Vella | Barcelona. Districte 2. Eixample | Barcelona. Districte 3. Sants-Montjuïc | Barcelona. Districte 4. Les Corts | Barcelona. Districte 5. Sarrià-Sant Gervasi | Barcelona. Districte 6. Gràcia | Barcelona. Districte 7. Horta-Guinardó | Barcelona. Districte 8. Nou Barris | Barcelona. Districte 9. Sant Andreu | Barcelona. Districte 10. Sant Martí | Barcelona. District 1. Ciutat Vella | Barcelona. District 2. Eixample | Barcelona. District 3. Sants-Montjuïc | Barcelona. District 4. Les Corts | Barcelona. District 5. Sarrià-Sant Gervasi | Barcelona. District 6. Gràcia | Barcelona. District 7. Horta-Guinardó | Barcelona. District 8. Nou Barris | Barcelona. District 9. Sant Andreu | Barcelona. District 10. Sant Martí | Barcelona. Distrito 1. Ciutat Vella | Barcelona. Distrito 2. Eixample | Barcelona. Distrito 3. Sants-Montjuïc | Barcelona. Distrito 4. Les Corts | Barcelona. Distrito 5. Sarrià-Sant Gervasi | Barcelona. Distrito 6. Gràcia | Barcelona. Distrito 7. Horta-Guinardó | Barcelona. Distrito 8. Nou Barris | Barcelona. Distrito 9. Sant Andreu | Barcelona. Distrito 10. Sant Martí","","No","1987-10-28","1987-11-20","2015-07-08","1987-10-28","Aprovada per Decret de l'Alcaldia  de 28-10-1987","","","Digitalitzat pel SEDAC","","","application/pdf","1 p.","application/pdf","13289","Ref. NC-172","Gaseta Municipal de Barcelona, núm. 29 (20-11-1987), p. 811","districtes","","http://hdl.handle.net/11703/91685","cat","","","","","","","Reproducció digital del document en suport original","","<a href=""http://hdl.handle.net/11703/83416"">Derogació de les disposicions municipals obsoletes [2015]</a>","<a href=""http://hdl.handle.net/11703/91684"">Normes reguladores de l'estructura orgànica de l'administració executiva dels districtes [1985]</a>","","","<a href=""http://hdl.handle.net/11703/91686"" target=""_blank"">Normes reguladores de l'estructura orgànica de l'administració executiva dels districtes [1988] [text refós]</a>","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Organització i organigrames | Districtes municipals | Organization and flowcharts | Local districts | Organización y organigramas | Distritos municipales","Sector públic","reglaments | documents digitalitzats","","Normes reguladores de l'estructura orgànica de l'administració executiva dels districtes [1985] : modificació [1987-10-28]","","text","info:eu-repo/semantics/other",""
"Comissió de Govern","Barcelona | Barcelona | Barcelona","","No","1986-06-25","1986-07-30","","1986-07-31","Aquestes funcions es troben dins de la Modificació de l'Àrea de Règim Interior i Protecció Ciutadana, aprovada per la Comissió de Govern de 25-06-1986","","","","","","application/pdf","2 p.","application/pdf","","","Gaseta Municipal de Barcelona, núm. 21 (30-07-1986), p. 677-687","","","http://hdl.handle.net/11703/105900","cat","","","","","","","Reproducció digital del document en suport original","","<a href=""http://hdl.handle.net/11703/84884"">Funcions de la Biblioteca General de l'Ajuntament de Barcelona i normes de préstec i servei d'obtenció de documents [2008]</a>","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Organització i organigrames | Biblioteca General (Barcelona) | Biblioteques especialitzades | Organization and flowcharts | Biblioteca General (Barcelona) | Special libraries | Organización y organigramas | Biblioteca General (Barcelona) | Bibliotecas especializadas","Sector públic","reglaments | documents digitalitzats","","Funcions de la Biblioteca General de l'Ajuntament de Barcelona [1986]","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","1909-06-01","1909","1918-06-09","1909","Aprovat pel Plenari del Consell Municipal de 01-06-1909","","","Digitalitzat pel SEDAC","","","application/pdf","30 p.","application/pdf","7975","","","","","http://hdl.handle.net/11703/110159","spa","Imp. de Carbonell y Esteva","","","","","","Reproducció digital del document en suport original","","<a href=""http://hdl.handle.net/11703/110163"">Reglamento de los cementerios municipales de Barcelona [1909] [ed. 1923]</a>","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Cementiris | Organització i organigrames | Cemeteries | Organization and flowcharts | Cementerios | Organización y organigramas","Sector públic","monografies | reglaments | documents digitalitzats","","Reglamento de los cementerios municipales de Barcelona [1909]","","text","info:eu-repo/semantics/book",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","1982-05-27","1982-06-20","","1982-06-21","Aprovades per la Comissió Municipal Permanent del 27-05-1982","","","Digitalitzat pel SEDAC","","","application/pdf","2 p.","application/pdf","10015","","Gaseta Municipal de Barcelona, núm. 17 (20-06-1982)","","","http://hdl.handle.net/11703/91703","cat","","","","","","","Reproducció digital del document en suport original","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Funcionaris i empleats municipals | Faltes (Dret penal) | Sancions administratives | Municipal officials and employees | Default (Law) | Administrative sanctions | Funcionarios locales | Faltas (Derecho penal) | Sanciones administrativas","Sector públic","reglaments | documents digitalitzats","","Normes sobre faltes i sancions que seran aplicables als funcionaris municipals [1982]","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","1929-07-01","1929","1932-06-03","1929-07-01","Aprovat pel Plenari del Consell Municipal de 01-07-1929","","","Digitalitzat pel SEDAC","","Drets revisats. Document amb responsabilitat exclusiva de l'Ajuntament o les seves dependències i entitats autònomes.","application/pdf","41 p.","application/pdf","7971","","","","","http://hdl.handle.net/11703/91753","spa","Ajuntament de Barcelona","","","","","","Reproducció digital del document en suport original","","<a href=""http://hdl.handle.net/11703/96639"">Reglament de la Guàrdia Urbana de Barcelona [1932]</a>","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Organització i organigrames | Guàrdia Urbana de Barcelona | Organization and flowcharts | Guàrdia Urbana de Barcelona | Organización y organigramas | Guàrdia Urbana de Barcelona","Seguretat","monografies | reglaments | documents digitalitzats","","Reglamento de la Guardia Urbana de Barcelona [1929]","","text","info:eu-repo/semantics/book",""
"Consell Escolar Municipal (Barcelona)","Barcelona | Barcelona. Districte 1. Ciutat Vella | Barcelona. Districte 2. Eixample | Barcelona. Districte 3. Sants-Montjuïc | Barcelona. Districte 4. Les Corts | Barcelona. Districte 5. Sarrià-Sant Gervasi | Barcelona. Districte 6. Gràcia | Barcelona. Districte 7. Horta-Guinardó | Barcelona. Districte 8. Nou Barris | Barcelona. Districte 9. Sant Andreu | Barcelona. Districte 10. Sant Martí | Barcelona | Barcelona. District 1. Ciutat Vella | Barcelona. District 2. Eixample | Barcelona. District 3. Sants-Montjuïc | Barcelona. District 4. Les Corts | Barcelona. District 5. Sarrià-Sant Gervasi | Barcelona. District 6. Gràcia | Barcelona. District 7. Horta-Guinardó | Barcelona. District 8. Nou Barris | Barcelona. District 9. Sant Andreu | Barcelona. District 10. Sant Martí | Barcelona | Barcelona. Distrito 1. Ciutat Vella | Barcelona. Distrito 2. Eixample | Barcelona. Distrito 3. Sants-Montjuïc | Barcelona. Distrito 4. Les Corts | Barcelona. Distrito 5. Sarrià-Sant Gervasi | Barcelona. Distrito 6. Gràcia | Barcelona. Distrito 7. Horta-Guinardó | Barcelona. Distrito 8. Nou Barris | Barcelona. Distrito 9. Sant Andreu | Barcelona. Distrito 10. Sant Martí","","No","1989-04-19","1989","","","Aprovat pel Plenari del Consell Municipal de 19-04-1989 | Podeu consultar el Reglament de règim intern del Consell Escolar Municipal de Barcelona i dels Consells Escolars de Districte [1991] a: http://hdl.handle.net/11703/91666 | Podeu consultar el Reglament de règim intern del Consell Escolar Municipal de Barcelona i dels Consells Escolars Municipals de Districte [2006] a: http://hdl.handle.net/11703/84853","","","","","","application/pdf","13 p.","application/pdf","5556","","Gaseta Municipal de Barcelona, núm. 25 (20-07-1989), p. 1017-1020","consells","","http://hdl.handle.net/11703/96417","cat","Ajuntament de Barcelona","http://hdl.handle.net/11703/91666 | http://hdl.handle.net/11703/84853","","","","","","","<a href=""http://hdl.handle.net/11703/108873"">Reglament de Constitució del Consell Escolar Municipal de Barcelona i dels Consells Escolars Municipals de Districte [2018]</a>","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Organització i organigrames | Consell Escolar Municipal (Barcelona) | Consells Escolars Municipals de Districte (Barcelona) | Ensenyament | Organization and flowcharts | Consell Escolar Municipal (Barcelona) | Consells Escolars Municipals de Districte (Barcelona) | Teaching | Organización y organigramas | Consell Escolar Municipal (Barcelona) | Consells Escolars Municipals de Districte (Barcelona) | Enseñanza","Educació","reglaments","","Reglament de constitució del Consell Escolar Municipal de Barcelona i dels Consells Escolars de Districte [1989]","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","1996-09-20","1996-10-20","2013-12-18","1996-10-21","Aprovat per Decret d'Alcaldia de 20-09-1996","","","Digitalitzat pel SEDAC","","","application/pdf","2 p.","application/pdf","6014","Ref. 3369","Gaseta Municipal de Barcelona, núm. 27 (20-10-1996), p. 1094-1095","","","http://hdl.handle.net/11703/96853","cat","","","","","","","Reproducció digital del document en suport original","","<a href=""http://hdl.handle.net/11703/84425"">Instrucció reguladora del procediment d'aprovació dels convenis de pràctiques universitàries a l'Ajuntament de Barcelona i els seus organismes públics dependents [2014]</a>","","","<a href=""http://hdl.handle.net/11703/91705"">Criteris reguladors per a la contractació i desenvolupament de pràctiques en els serveis municipals per part d'estudiants i postgraduats [1990]</a>","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Formació ocupacional | Educació permanent | Estudiants universitaris | Occupational training | Continuing education | College students | Formación ocupacional | Educación permanente | Estudiantes universitarios","Educació","reglaments | documents digitalitzats","","Criteris reguladors per a l'establiment de convenis de col·laboració amb finalitat formativa o de recerca amb universitats, escoles i altres entitats del sector públic o privat [1996]","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","1998-02-27","1998-09-10","2008-08-20","1998-02-27","Aprovat pel Plenari del Consell Municipal de 27-02-1998","","","","","","application/pdf","3 p.","application/pdf","","","Gaseta Municipal de Barcelona, núm. 23  (10-09-1998) p. 1147-1149","consells","","http://hdl.handle.net/11703/97425","cat","","","","","","","","","<a href=""http://hdl.handle.net/11703/97421"">Reglament de funcionament intern del Consell Municipal de Cooperació Internacional per al Desenvolupament [2008]</a>","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Organització i organigrames | Consell Municipal de Cooperació Internacional per al Desenvolupament (Barcelona) | Cooperació internacional | Organization and flowcharts | Consell Municipal de Cooperació Internacional per al Desenvolupament (Barcelona) | International cooperation | Organización y organigramas | Consell Municipal de Cooperació Internacional per al Desenvolupament (Barcelona) | Cooperación internacional","Societat i benestar | Sector públic","reglaments","","Normes reguladores del Consell Municipal de Cooperació Internacional per al Desenvolupament [1998]","Reglament de funcionament intern del Consell Municipal de Cooperació Internacional per al Desenvolupament [2008]","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","1948-11-14","1948","","1948-11-14","Aprovat per la Comissió Municipal Permanent el 14-11-1948","","","Digitalitzat pel SEDAC","","Drets revisats. Document amb responsabilitat exclusiva de l'Ajuntament o les seves dependències i entitats autònomes.","application/pdf","15 p.","application/pdf","7597","","","","","http://hdl.handle.net/11703/96867","spa","Ajuntament de Barcelona","","","","","","Reproducció digital del document en suport original","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Organització i organigrames | Esports | Consell Municipal de l'Esport de Barcelona | Organization and flowcharts | Sports | Consell Municipal de l'Esport de Barcelona | Organización y organigramas | Deportes | Consell Municipal de l'Esport de Barcelona","Esport","monografies | reglaments | documents digitalitzats","","Reglamento de la Delegación Municipal de Deportes [1948]","","text","info:eu-repo/semantics/book",""
