"dccontributorauthor","dccoveragespatial","dccoveragetemporal","dccoveragevigencia","dcdatecreated","dcdateissued","dcdescription","dcdescriptionabstract","dcdescriptionsponsorship","dcdescriptiontableofcontents","dcformat","dcformatextent","dcformatmimetype","dcidentifierBG","dcidentifierab","dcidentifiercitation","dcidentifierentitat","dcidentifiermandat","dcidentifieruri","dcidentifiervideo","dclanguage","dcpublisher","dcrelation","dcrelationhasversion","dcrelationisbasisfor","dcrelationisformatof","dcrelationisreferencedby","dcrelationisrequiredby","dcrelationisversionof","dcrelationreferences","dcrelationuri","dcrights","dcrightsaccessrights","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dcsubjectprogramme","dctitle","dctitlealternative","dctype","dctypedriver","Unnamed: 43"
"Consell de Ciutat de Barcelona","Barcelona | Barcelona | Barcelona","","","2014-01-15","2014","Aprovada amb els vots favorables dels grups municipals del PSC, ICV-EUA, CiU i ERC, i am b el vot en contra del PP | El capítol de garanties estableix un seguiment bianual del grau d'acompliment de la Carta, amb la presentació d'aquesta avaluació al Plenari del Consell de la Ciutat | Moció per la sanció dels immobles permanentment desocupats propietat d'entitats financeres i altres grans empreses","","","","application/pdf","5 p.","application/pdf","12865","","","consells","","http://hdl.handle.net/11703/89726","","cat","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Dret a l'habitatge | Right to housing | Derecho a la vivienda","Habitatge","declaracions institucionals","","Declaració del Consell de Ciutat en suport de la moció impulsada per la Plataforma d'Afectats per la Hipoteca per a la sanció dels immobles permanentment desocupats","","text","info:eu-repo/semantics/other",""
"Consell Municipal d'Immigració (Barcelona)","Barcelona | Barcelona | Barcelona","","","2009-01-14","2009-01-14","","","","","application/pdf","2 p.","application/pdf","","","","consells","Mandat 2007-2011","http://hdl.handle.net/11703/110817","","cat","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Consell Municipal d'Immigració","http://creativecommons.org/licenses/by/4.0/deed.ca","Racisme en els esports | Partits de futbol | Racism in sports | Soccer matches | Discriminación en los deportes | Partidos de fútbol","Societat i benestar | Esport","declaracions institucionals","","El Consell Municipal d’Immigració de Barcelona condemna els actes racistes i reclama implicació d’institucions, entitats i ciutadans","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","","2011-11-30","2011","","","","","application/pdf","2 p.","application/pdf","17567","","","","Mandat 2011-2015","http://hdl.handle.net/11703/89735","","cat","","","","","Reproducció digital del document en suport original","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Sida | Malalties de transmissió sexual | Prevenció | AIDS (Disease) | Sexually transmitted diseases | Prevention | SIDA | Enfermedades de transmisión sexual | Prevención","Salut","declaracions institucionals | documents digitalitzats","","Declaració institucional en motiu del dia 1 de desembre, dia mundial de lluita contra la sida 2011","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","","2014-11-28","2014","","","","","application/pdf","2 p.","application/pdf","17537","","","","Mandat 2011-2015","http://hdl.handle.net/11703/89733","","cat","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Víctimes d'accidents de circulació | Traffic accident victims | Víctimas de accidentes de tráfico","Societat i benestar","declaracions institucionals","","Declaració institucional sobre el Dia Mundial en Memòria de les Víctimes d'Accident de Trànsit","","text","info:eu-repo/semantics/other",""
"Districte 4. Les Corts. Consell Plenari","Barcelona | Barcelona | Barcelona","","","2016-02-19","2016-02-19","Presentada al Plenari del Consell del Districte de Les Corts de 19-02-2016","","","","application/pdf","2 p.","application/pdf","","","","districtes","Mandat 2015-2019","http://hdl.handle.net/11703/97576","","cat","","","","","Reproducció digital del document en suport original","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Salons professionals | Educació | Ensenyament | Exèrcits | Trade shows | Education | Teaching | Armies | Salones profesionales | Educación | Enseñanza | Ejércitos","Educació","declaracions institucionals | documents digitalitzats","","Declaració institucional. Saló de l'educació de Barcelona lliure d'exercits, per uns espais educatius sense armes","","text","info:eu-repo/semantics/other",""
"Projecte Educatiu de Ciutat (Barcelona). Consell Directiu","Barcelona | Barcelona | Barcelona","","","2011-02-14","2011","","","","","application/pdf","4 p.","application/pdf","7139","","","consells","Mandat 2007-2011","http://hdl.handle.net/11703/89719","","cat","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Política educativa | Educació cívica | Educational policy | Civics education | Política educativa | Educación cívica","Educació","declaracions institucionals","Projecte Educatiu de Ciutat (Barcelona)","Barcelona ciutat educadora, ciutat responsable","","text","info:eu-repo/semantics/other",""
"Districte 4. Les Corts. Consell Plenari","Barcelona. Districte 4. Les Corts | Barcelona. District 4. Les Corts | Barcelona. Distrito 4. Les Corts","","","2018-05-08","2018-05-08","Presentada al Plenari del Consell del Districte de Les Corts de 08-05-2018","","Digitalitzat pel Districte de Les Corts","","application/pdf","3 p.","application/pdf","","","","districtes","Mandat 2015-2019","http://hdl.handle.net/11703/109142","","cat","","","","","Reproducció digital del document  en suport original","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Llibertat d'expressió | Freedom of speech | Libertad de expresión","Legislació i justícia | Societat i benestar","declaracions institucionals | documents digitalitzats","","Declaració institucional des de la Candidatura Unitat Popular - Poble Actiu de Les Corts (Comitès en Defensa de la República)","","text","info:eu-repo/semantics/other",""
"Àrea de Drets de Ciutadania, Participació i Transparència | Direcció de Serveis de Drets de Ciutadania i Immigració | Consell Municipal d'Immigració (Barcelona) | Gerència de Drets de Ciutadania, Participació i Transparència","Barcelona | Barcelona | Barcelona","","","2015-12-14","2015-12-14","","","","","application/pdf","2 p.","application/pdf","","","","consells","Mandat 2015-2019","http://hdl.handle.net/11703/110819","","cat","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Consell Municipal d'Immigració","http://creativecommons.org/licenses/by/4.0/deed.ca","Immigrants | Asil, Dret d' | Oficina d’Estrangers de Barcelona | Immigrants | Asylum, Right of | Oficina d’Estrangers de Barcelona | Emigrantes | Derecho de asilo | Oficina d’Estrangers de Barcelona","","declaracions institucionals","","Comunicat del Consell Municipal d'Immigració de Barcelona sobre la situació de col·lapse de les cites prèvies a l'Oficina d'Estrangeria, l’obtenció del TIE i per a la sol·licitud d'asil","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona | Ayuntamiento de Madrid | Ajuntament de València | Ayuntamiento de Sevilla | Ayuntamiento de Zaragoza | Ayuntamiento de Málaga | Ayuntamiento de Murcia","Barcelona | Barcelona | Barcelona | Madrid | Madrid (Spain) | Madrid (España) | València (País Valencià) | Valencia (Spain) | Valencia (Comunidad Valenciana) | Sevilla (Andalusia) | Sevilla (Spain) | Sevilla (Andalucía) | Saragossa (Aragó) | Zaragoza (Spain) | Zaragoza | Màlaga (Andalusia) | Málaga (Spain) | Málaga | Múrcia (Múrcia) | Murcia (Spain) | Murcia","2020","","2020-04-14","2020-04-14","","","","","application/pdf","8 p.","application/pdf","","","","","Mandat 2019-","http://hdl.handle.net/11703/118473","","spa","","","","","","<a href=""http://hdl.handle.net/11703/118468"">Dossier de premsa</a>","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona | Ayuntamiento de Madrid | Ajuntament de València | Ayuntamiento de Sevilla | Ayuntamiento de Zaragoza | Ayuntamiento de Málaga | Ayuntamiento de Murcia","http://creativecommons.org/licenses/by/4.0/deed.ca","Alcaldes | Alcaldesses | Subvencions estatals a l'administració local | Coronavirus | Salut pública | Mayors | Women mayors | Grants-in-aid | Coronaviruses | Public health | Alcaldes | Alcaldesas | Subvenciones estatales a la administración local | Coronavirus | Salud pública","Economia | Salut | Sector públic | Societat i benestar","declaracions institucionals","","Declaración de las 7 grandes ciudades de España ante la crisis sanitaria y socioeconómica del coronavirus","Ciudades fuertes, cívicas y solidarias para salir de la crisis","text","info:eu-repo/semantics/other",""
"Districte 4. Les Corts. Consell Plenari","Barcelona. Districte 4. Les Corts | Barcelona. District 4. Les Corts | Barcelona. Distrito 4. Les Corts","","","2015-11-25","2015-11-25","Presentada al Plenari del Consell del Districte de Les Corts de 25-11-2015","","","","application/pdf","","application/pdf","","","","districtes","Mandat 2015-2019","http://hdl.handle.net/11703/97561","","cat","","","","","Reproducció digital del document en suport original","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Discapacitats | Integració social | People with disabilities | Social integration | Personas con discapacidad | Integración social","Societat i benestar","declaracions institucionals | documents digitalitzats","","Declaració institucional  sobre els drets de les persones amb diversitat funcional","","text","info:eu-repo/semantics/other",""
"Consell Municipal d'Immigració (Barcelona)","Barcelona | Barcelona | Barcelona","","","2012-05-03","2012-05-03","","","","","application/pdf","2 p.","application/pdf","","","","consells","Mandat 2011-2015","http://hdl.handle.net/11703/110949","","cat","","","","","","","","","Real Decreto-ley 16/2012. Medidas urgentes para garantizar la sostenibilidad del Sistema Nacional de Salud y mejorar la calidad y seguridad de sus prestaciones","","CC-BY","info:eu-repo/semantics/openAccess","Consell Municipal d'Immigració","http://creativecommons.org/licenses/by/4.0/deed.ca","Immigrants | Assistència mèdica | Immigrants | Medical care | Emigrantes | Asistencia sanitaria","Societat i benestar | Salut","declaracions institucionals","","Comunicat del Consell Municipal d’Immigració de Barcelona sobre Real Decreto-ley 16/2012 de 20 de abril de medidas urgentes para garantizar la sostenibilidad del Sistema Nacional de Salud","","text","info:eu-repo/semantics/other",""
"Consell Municipal d'Immigració (Barcelona)","Barcelona | Barcelona | Barcelona","2020","","2020-04-03","2020-04-03","Presentat pel Consell Municipal d'Immigració de Barcelona de 03-04-2020","Comunicat elaborat en el context de confinament davant l’emergència provocada per la COVID-19. | Statement prepared in the context of confinement to the emergency caused by COVID-19. | Comunicado elaborado en el contexto de confinamiento ante la emergencia provocada por la COVID-19.","","","application/pdf","2 p.","application/pdf","","","","consells","Mandat 2019-","http://hdl.handle.net/11703/118700","","cat","","","","","","","","<a href=""http://hdl.handle.net/11703/118699"">Comunicat complet</a>","","","CC-BY","info:eu-repo/semantics/openAccess","Consell Municipal d'Immigració (Barcelona)","http://creativecommons.org/licenses/by/4.0/deed.ca","Coronavirus | Coronaviruses | Coronavirus | Immigrants | Immigrants | Emigrantes | Drets socials | Social rights | Derechos civiles y políticos | Contractes de treball | Labor contract | Contratos de trabajo | Salut pública | Public health | Salud pública | Racisme | Racism | Racismo | Subvencions | Subsidies | Subvenciones públicas","Ocupació | Salut | Sector públic | Societat i benestar","declaracions institucionals","","Comunicat del Consell Municipal d'Immigració de Barcelona enfront l'emergència per Coronavirus : COVID-19 : síntesi","","text","info:eu-repo/semantics/other",""
"Àrea de Drets de Ciutadania, Participació i Transparència | Direcció de Serveis de Drets de Ciutadania i Immigració | Consell Municipal d'Immigració (Barcelona) | Gerència de Drets de Ciutadania, Participació i Transparència","Barcelona | Barcelona | Barcelona","","","2015-11-30","2015-11-30","","","","","application/pdf","2 p.","application/pdf","","","","consells","Mandat 2015-2019","http://hdl.handle.net/11703/110823","","cat","","","","","","","","","Ley 19/2015. Medidas de Reforma Administrativa en el ámbito de la Administración de Justicia y el Registro Civil","","CC-BY","info:eu-repo/semantics/openAccess","Consell Municipal d'Immigració","http://creativecommons.org/licenses/by/4.0/deed.ca","Immigrants | Nacionalitat | Immigrants | Citizenship | Emigrantes | Nacionalidad","Sector públic | Societat i benestar","declaracions institucionals","","Manifest del Consell Municipal d'Immigració de Barcelona i entitats de la Xarxa d'Acollida a Persones Immigrades en relació al procediment de concessió de Nacionalitat Espanyola per residència","","text","info:eu-repo/semantics/other",""
"Consorci de l'Habitatge de Barcelona","Barcelona | Barcelona | Barcelona","","","2012-12-10","2012","","","","","application/pdf","1 p.","application/pdf","10392","","","consorcis","Mandat 2011-2015","http://hdl.handle.net/11703/89724","","cat","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Habitatge públic | Public housing | Viviendas de protección oficial","Habitatge","declaracions institucionals","","Declaració en defensa de les polítiques socials d'habitatge","","text","info:eu-repo/semantics/other",""
"Àrea de Drets de Ciutadania, Participació i Transparència | Direcció de Serveis de Drets de Ciutadania i Diversitat | Consell Municipal d'Immigració (Barcelona) | Gerència de Drets de Ciutadania, Participació i Transparència","Barcelona | Barcelona | Barcelona","","","2017-10-22","2017-10-22","Podeu consultar la versió en castellà a: http://hdl.handle.net/11703/110835 | You can see spanish version at: http://hdl.handle.net/11703/110835 | Pueden consultar la versión en castellano en: http://hdl.handle.net/11703/110835","","","","application/pdf","2 p.","application/pdf","","","","consells","Mandat 2015-2019","http://hdl.handle.net/11703/110833","","cat","","http://hdl.handle.net/11703/110835","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Consell Municipal d'Immigració","http://creativecommons.org/licenses/by/4.0/deed.ca","Treball domèstic | Cura de malalts | Housekeeping | Care of the sick | Tareas domésticas | Cuidados a los enfermos","Societat i benestar","declaracions institucionals","","Manifest del Consell Municipal d'Immigració de Barcelona per la dignificació del treball de la llar i les cures","","text","info:eu-repo/semantics/other",""
"Àrea de Drets de Ciutadania, Participació i Transparència | Direcció de Serveis de Drets de Ciutadania i Immigració | Consell Municipal d'Immigració (Barcelona) | Gerència de Drets de Ciutadania, Participació i Transparència","Barcelona | Barcelona | Barcelona","2015","","2015-12-18","2015-12-18","","","","","application/pdf","2 p.","application/pdf","","","","consells","Mandat 2015-2019","http://hdl.handle.net/11703/110822","","cat","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Consell Municipal d'Immigració","http://creativecommons.org/licenses/by/4.0/deed.ca","Immigrants | Drets civils | Immigrants | Civil rights | Emigrantes | Derechos políticos y civiles","Societat i benestar","declaracions institucionals","","Comunicat del Consell Municipal d'Immigració de Barcelona : 18 de desembre, Dia Internacional del Migrant","","text","info:eu-repo/semantics/other",""
"Consell de Ciutat de Barcelona","Barcelona | Barcelona | Barcelona","","","2012-06-29","2012","","","","","application/pdf","2 p.","application/pdf","17387","","","consells","Mandat 2011-2015","http://hdl.handle.net/11703/89732","","cat","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Dret a l'habitatge | Right to housing | Derecho a la vivienda","Habitatge","declaracions institucionals","","Declaració institucional de recolzament a la iniciativa legislativa popular de la regulació de la dació en pagament, de paralització dels desnonament i de lloguer social","","text","info:eu-repo/semantics/other",""
"Districte 4. Les Corts. Consell Plenari","Barcelona. Districte 4. Les Corts | Barcelona. District 4. Les Corts | Barcelona. Distrito 4. Les Corts","","","2019-03-06","2019-03-11","","","","","application/pdf","2 p.","application/pdf","","Declaració institucional en suport i adhesió a la vaga feminista convocada pel 8 de març del 2019","","","Mandat 2015-2019","http://hdl.handle.net/11703/112705","","cat","","","","","Reproducció digital del document en suport original","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Dret de vaga | Dones | Right to strike | Women | Derecho de huelga | Mujeres","","declaracions institucionalsdocuments digitalitzats","","Declaració institucional en suport i adhesió a la vaga feminista convocada pel 8 de març del 2019","","text","info:eu-repo/semantics/other",""
"Districte 4. Les Corts. Consell Plenari","Barcelona. Districte 4. Les Corts | Barcelona. District 4. Les Corts | Barcelona. Distrito 4. Les Corts","","","2016-04-20","2016-04-20","Presentada al Plenari del Consell del Districte de Les Corts de 20-04-2016","","Digitalitzat pel Districte de Les Corts","","application/pdf","3 p.","application/pdf","","","","districtes","Mandat 2015-2019","http://hdl.handle.net/11703/102349","","cat","","","","","Reproducció digital del document en suport original","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Drets civils | Drets polítics | Municipis | Referèndum | Civil rights | Political rights | Municipal corporations | Referendum | Derechos políticos y civiles | Derechos políticos | Municipios | Referéndum","Legislació i justícia","declaracions institucionals | documents digitalitzats","","Declaració lnstitucional de suport als Ajuntaments investigats per I'Audiéncia Nacional i al Dret a Decidir","","text","info:eu-repo/semantics/other",""
"Consell Municipal d'Immigració (Barcelona) | Consell Municipal d'Immigració (Barcelona) | Consell Municipal d'Immigració (Barcelona)","Barcelona","","","2000-01-28 | 2000-01-28 | 2000-01-28","2000-01-28 | 2000-01-28 | 2000-01-28 | 2000-01-28","","","","","application/pdf","1 p. | 1 p. | 1 p.","application/pdf","","","","","Mandat 1999-2003 | Mandat 1999-2003 | Mandat 1999-2003","http://hdl.handle.net/11703/110789","","cat | cat | cat","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","","declaracions institucionals","","Transcripció dels acords de la sessió del 28 de gener de l’any 2000 del Consell Municipal de Barcelona: Transcripció de la moció aprovada en motiu de la sol·licitud del dret a vot a les eleccions municipals de les persones estrangeres residents a Barcelona | Transcripció dels acords de la sessió del 28 de gener de l’any 2000 del Consell Municipal de Barcelona: Transcripció de la moció aprovada en motiu de la sol·licitud del dret a vot a les eleccions municipals de les persones estrangeres residents a Barcelona | Transcripció dels acords de la sessió del 28 de gener de l’any 2000 del Consell Municipal de Barcelona: Transcripció de la moció aprovada en motiu de la sol·licitud del dret a vot a les eleccions municipals de les persones estrangeres residents a Barcelona","","text","info:eu-repo/semantics/other",""
"Consell Municipal d'Immigració (Barcelona)","Barcelona | Barcelona | Barcelona","","","2018-11-04","2018-11-04","Podeu consultar la versió en català : http://hdl.handle.net/11703/112653 | Presentada a la trobada BCN Ciutat Diversa del CMIB de 04-11-2018","","","","application/pdf","4 p.","application/pdf","","","","consells","Mandat 2015-2019","http://hdl.handle.net/11703/112654","","spa","","http://hdl.handle.net/11703/112653","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Dret a l'habitatge | Igualtat | Right to housing | Equality | Derecho a la vivienda | Igualdad","Societat i benestar | Habitatge","declaracions institucionals","","Manifiesto : Por el derecho a una vivienda digna y sin discriminaciones. En Barcelona cabemos todas","","text","info:eu-repo/semantics/other",""
"Consell Municipal d'Immigració (Barcelona)","Barcelona | Barcelona | Barcelona","","","2000-01-28","2000-01-28","Moció aprovada per tots els grups polítics de l'Ajuntament de Barcelona","","","","application/pdf","1 p.","application/pdf","","","","consells","Mandat 1999-2003","http://hdl.handle.net/11703/110790","","cat","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Consell Municipal d'Immigració (Barcelona)","http://creativecommons.org/licenses/by/4.0/deed.ca","Eleccions locals | Sufragi | Estrangers | Local elections | Suffrage | Foreigner | Elecciones locales | Sufragio | Extranjeros","Sector públic","declaracions institucionals","","Transcripció de la moció aprovada en motiu de la sol·licitud del dret a vot a les eleccions municipals de les persones estrangeres residents a Barcelona","Transcripció dels acords de la sessió del 28 de gener de l’any 2000 del Consell Municipal de Barcelona","text","info:eu-repo/semantics/other",""
