"dccontributorauthor","dccoveragespatial","dccoveragetemporal","dccoveragevigencia","dcdatecreated","dcdateissued","dcdescription","dcdescriptionabstract","dcdescriptionsponsorship","dcdescriptiontableofcontents","dcformat","dcformatextent","dcformatmimetype","dcidentifierBG","dcidentifierab","dcidentifiercitation","dcidentifierentitat","dcidentifiermandat","dcidentifieruri","dcidentifiervideo","dclanguage","dcpublisher","dcrelation","dcrelationhasversion","dcrelationisbasisfor","dcrelationisformatof","dcrelationisreferencedby","dcrelationisrequiredby","dcrelationisversionof","dcrelationreferences","dcrelationuri","dcrights","dcrightsaccessrights","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dcsubjectprogramme","dctitle","dctitlealternative","dctype","dctypedriver","Unnamed: 43"
"Consell Municipal d'Immigració (Barcelona) | Taula de Ciutadania i Immigració (Catalunya)","Barcelona. Districte 1. Ciutat Vella | Rambla, La (Barcelona) | Cambrils (Catalunya) | Barcelona. District 1. Ciutat Vella | Rambla, La (Barcelona) | Cambrils (Catalonia) | Barcelona. Distrito 1. Ciutat Vella | Rambla, La (Barcelona) | Cambrils (Cataluña)","2017","","2017-08-21","2017-08-21","","","","","application/pdf","1 p.","application/pdf","","","","consells","Mandat 2015-2019","http://hdl.handle.net/11703/110836","","cat","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Consell Municipal d'Immigració","http://creativecommons.org/licenses/by/4.0/deed.ca","Atemptats | Terrorisme | Attacks | Terrorism | Atentados | Terrorismo","Societat i benestar","declaracions institucionals","","Comunicat conjunt de la Taula de Ciutadania i el Consell Municipal d’Immigració","","text","info:eu-repo/semantics/other",""
"Districte 4. Les Corts. Consell Plenari","Barcelona. Districte 4. Les Corts | Barcelona. District 4. Les Corts | Barcelona. Distrito 4. Les Corts","","","2019-03-06","2019-03-11","","","","","application/pdf","3 p.","application/pdf","","Declaració institucional en condena per la situació de Venezuela","","districtes","Mandat 2015-2019","http://hdl.handle.net/11703/112706","","spa","","","","","Reproducció digital del document en suport original","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Drets humans | Servei d'Atenció als Immigrants Estrangers i Refugiats (Barcelona) | Veneçuela | Human rights | Servei d'Atenció als Immigrants Estrangers i Refugiats (Barcelona) | Venezuela | Derechos humanos | Servei d'Atenció als Immigrants Estrangers i Refugiats (Barcelona) | Venezuela","","declaracions institucionalsdocuments digitalitzats","","Declaración institucional en condena por la situación de Venezuela","","text","info:eu-repo/semantics/other",""
"Acord Ciutadà per una Barcelona Inclusiva. Consell de Govern","Barcelona | Barcelona | Barcelona","","","2014-06-18","2014","A la portada: Jornada Anual 2014. 18 de Juny de 2014","","","","application/pdf","4 p.","application/pdf","13881","","","","Mandat 2011-2015","http://hdl.handle.net/11703/89730","","cat","Ajuntament de Barcelona","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Integració social | Serveis socials | Social integration | Human services | Integración social | Servicios sociales","Societat i benestar","declaracions institucionals","Pla per a la Inclusió Social de Barcelona 2012-2015","Compromís del Consell de Govern de l'Acord Ciutadà per impulsar l'Estratègia Compartida","","text","info:eu-repo/semantics/other",""
"Projecte Educatiu de Ciutat (Barcelona). Consell Directiu","Barcelona | Barcelona | Barcelona","","","2009-12-01","2009","","","","","application/pdf | application/pdf","4 p.","application/pdf | application/pdf","3669","","","","Mandat 2007-2011","http://hdl.handle.net/11703/89770","","cat","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Educació | Participació ciutadana | Education | Citizen participation | Educación | Participación ciudadana","Educació","declaracions institucionals","Projecte Educatiu de Ciutat (Barcelona)","Barcelona democràcia, educació i participació ciutadana : declaració de les X Jornades del Projecte Educatiu de Ciutat,  30 de novembre i 1 de desembre de 2009.","","text","info:eu-repo/semantics/other",""
"Milan Urban Food Policy Pact | Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","","2015-10-15","2015","Referenciat per l'Estratègia d'impuls de la política alimentària 2016-2019 [http://hdl.handle.net/11703/112690]","","","","application/pdf","6 p.","application/pdf","","","","","","http://hdl.handle.net/11703/116044","","spa","","","","","","http://hdl.handle.net/11703/112690","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Política alimentària | Consum responsable | Ciutats | Nutrition policy | Responsible consumption | Cities and towns | Política alimentaria | Consumo responsable | Ciudades","Societat i benestar","declaracions institucionals","","Pacto de Milán de política alimentaria urbana","","text","info:eu-repo/semantics/other",""
"Comissió de Govern","Barcelona | Barcelona | Barcelona","","Si","1992-05-08","1992-06-10","Aprovada per la Comissió de Govern de 08-05-1992 | S'aprova també la bonificació d'una ordenança fiscal","","","","application/pdf","1 p.","application/pdf","","","Gaseta Municipal de Barcelona, núm. 19 (10-06-1992), p. 611","","Mandat 1991-1995","http://hdl.handle.net/11703/105898","","cat","","","","","Reproducció digital del document en suport original","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Fires | Fairs | Ferias","Cultura i oci | Comerç","documents digitalitzatsdeclaracions institucionals","","Declaració de diverses fires tradicionals de Barcelona","","text","info:eu-repo/semantics/other",""
"Districte 4. Les Corts. Consell Plenari","Barcelona | Barcelona | Barcelona","","","2016-04-26","2016-04-26","Presentada al Consell Plenari del Districte de les Corts de 26-04-2016","","","","application/pdf","2 p.","application/pdf","","","","districtes","Mandat 2015-2019","http://hdl.handle.net/11703/101781","","cat","","","","","Reproducció digital del document  en suport original","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Guàrdia Urbana de Barcelona | Guàrdia Urbana de Barcelona | Guàrdia Urbana de Barcelona","Seguretat","declaracions institucionals | documents digitalitzats","","Declaració Institucional de suport i reconeixement institucional al cos de la Guàrdia Urbana de Barcelona del Districte de les Corts","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","","2010-12-17","2010","","","","","application/pdf","13 p.","application/pdf","7141","","","","Mandat 2007-2011","http://hdl.handle.net/11703/89720","","cat","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Drets polítics | Ciutadania | Political rights | Citizenship | Derechos políticos | Ciudadanía","Legislació i justícia","declaracions institucionals","","Carta de ciutadania. Carta de drets i deures de Barcelona","","text","info:eu-repo/semantics/other",""
"Consorci d'Educació de Barcelona","Barcelona | Barcelona | Barcelona","","","2009-03-26","2009","","","","","application/pdf","3 p.","application/pdf","1780218336","","","consorcis","Mandat 2007-2011","http://hdl.handle.net/11703/89777","","cat","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Educació | Medi ambient | Education | Environment | Educación | Medio ambiente","","declaracions institucionals","","El Consorci d'Educació de Barcelona : el nostre compromís amb l'educació de la ciutat","","text","info:eu-repo/semantics/other",""
"Districte 4. Les Corts. Consell Plenari","Barcelona. Districte 4. Les Corts | Barcelona. District 4. Les Corts | Barcelona. Distrito 4. Les Corts","","","2016-07-07","2016-07-07","Presentada al Plenari del Consell del Districte de Les Corts de  07-07-2016","","Digitalitzat pel Districte de Les Corts","","application/pdf","4 p.","application/pdf","","","","districtes","Mandat 2015-2019","http://hdl.handle.net/11703/102318","","cat","","","","","Reproducció digital del document en suport original","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Lesbianes | Gais | Homosexuals | Transsexuals | Bisexuals | LGTBI | Lesbians | Gay men | Gays | Transsexuals | Bisexuals | LGTBI | Lesbianas | Gais | Homosexuales | Transexuales | Bisexuales | LGTBI","Societat i benestar","declaracions institucionals | documents digitalitzats","","Declaració Institucional dia de l'alliberament lesbia, gai, trans, bisexual  i intesexual  (LGTBI)","","text","info:eu-repo/semantics/other",""
