"dcAccrualPeriodicity","dcAccrualPolicy","dccontributorauthor","dccontributorother","dccoveragespatial","dccoveragetemporal","dccoveragevigencia","dcdatecreated","dcdateissued","dcdatevalidinici","dcdescription","dcdescriptionLegislationChangedBy","dcdescriptiontableofcontents","dcformat","dcformatextent","dcformatmimetype","dcidentifierBG","dcidentifierab","dcidentifiercitation","dcidentifierentitat","dcidentifiermandat","dcidentifieruri","dclanguage","dcpublisher","dcrelation","dcrelationhasversion","dcrelationisbasedon","dcrelationisbasisfor","dcrelationisformatof","dcrelationisrequiredby","dcrelationisversionof","dcrelationrequires","dcrights","dcrightsaccessrights","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dctitle","dctitlealternative","dctype","dctypedriver","Unnamed: 43"
"Anual","","Turisme de Barcelona","","Barcelona | Barcelona | Barcelona","2012","No","41152","2012-10-01","","Requerit pel Pressupost anual 2012 [http://hdl.handle.net/11703/107567]","","","application/pdf","12 p.","application/pdf","","","","consorcis","Mandat 2011-2015","http://hdl.handle.net/11703/107564","cat","","http://hdl.handle.net/11703/107562","","","","Reproducció digital del document en suport original","http://hdl.handle.net/11703/107567","","","CC-BY","info:eu-repo/semantics/openAccess","Turisme de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Turisme de Barcelona | Pressupost | Turisme de Barcelona | Budget | Turisme de Barcelona | Presupuestos","Economia","pressupostos | documents digitalitzats | informes altres","Informe seguiment del pressupost 2012 de Barcelona Turisme","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other | info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"Anual","","Consorci Mercat de les Flors","","Barcelona | Barcelona | Barcelona","2010","No","2009-09-09","2009","","Aprovació definitiva pel Consell General del Consorci de 09-09-2009","","","application/pdf","72 p.","application/pdf","","","","consorcis","Mandat 2007-2011","http://hdl.handle.net/11703/107453","cat","","","","","","Reproducció digital del document en suport original","","","","CC-BY","info:eu-repo/semantics/openAccess","Consorci Mercat de les Flors","http://creativecommons.org/licenses/by/4.0/deed.ca","Consorci Mercat de les Flors | Pressupost | Consorci Mercat de les Flors | Budget | Consorci Mercat de les Flors | Presupuestos","Economia | Cultura i oci","pressupostos | documents digitalitzats","Pressupost anual 2010 del Consorci Mercat de les Flors / Centre de les Arts de Moviment","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"bianual","","Gran Teatre del Liceu. Consorci","","Barcelona | Barcelona | Barcelona","2013 | 2014","No","2012","2012","","","","","application/pdf","1 p.","application/pdf","","","","consorcis","Mandat 2011-2015","http://hdl.handle.net/11703/109509","cat","","","","","","Reproducció digital del document en suport original","","","","CC-BY","info:eu-repo/semantics/openAccess","Gran Teatre del Liceu. Consorci","http://creativecommons.org/licenses/by/4.0/deed.ca","Pressupost | Gran Teatre del Liceu. Consorci | Budget | Gran Teatre del Liceu. Consorci | Presupuestos | Gran Teatre del Liceu. Consorci","Economia","pressupostos | documents digitalitzats","Pressupost del 2013-2014 del Consorci del Gran Teatre del Liceu","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Anual","","Agència d'Ecologia Urbana de Barcelona","","Barcelona | Barcelona | Barcelona","2012","No","2011-11-14","2011","","Aprovació inicial pel President del Consorci el 07-10-2011 | Aprovació definitiva per l'Assemblea General del Consorci de 14-11-2011","","","application/pdf","91 p.","application/pdf","","","","consorcis","Mandat 2011-2015","http://hdl.handle.net/11703/107436","cat","","","","","","Reproducció digital del document en suport original","","","","CC-BY","info:eu-repo/semantics/openAccess","Agència d'Ecologia Urbana de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Agència d'Ecologia Urbana de Barcelona | Pressupost | Agència d'Ecologia Urbana de Barcelona | Budget | Agència d'Ecologia Urbana de Barcelona | Presupuestos","Economia","pressupostos | documents digitalitzats","Pressupost anual 2012 de l'Agència d'Ecologia Urbana de Barcelona","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"anual","","Fundació Privada Institut d'Economia de Barcelona","","Barcelona | Barcelona | Barcelona","2013","No","2013-01-14","2013","","Aprovat pel Comité Executiu de la Fundació Privada Institut d'Economia de Barcelona el 14-01-2013","","","application/pdf","2 documents","application/pdf","","","","fundacions","Mandat 2011-2015","http://hdl.handle.net/11703/110058","cat","","","","","","Reproducció digital del document en suport original","","","","CC-BY","info:eu-repo/semantics/openAccess","Fundació Privada Institut d'Economia de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Pressupost | Fundació Privada Institut d'Economia de Barcelona | Budget | Fundació Privada Institut d'Economia de Barcelona | Presupuestos | Fundació Privada Institut d'Economia de Barcelona","Economia","pressupostos | documents digitalitzats","Pressupost anual 2013 de la Fundació Privada Institut d'Economia de Barcelona","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"anual","","Xarxa Formació Professional","","Barcelona | Barcelona | Barcelona","2017","No","2016","2016","","","","","application/pdf","1 p.","application/pdf","","","","associacions","Mandat 2015-2019","http://hdl.handle.net/11703/110222","cat","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Xarxa Formació Professional","http://creativecommons.org/licenses/by/4.0/deed.ca","Pressupost | Xarxa Formació Professional | Budget | Xarxa Formació Professional | Presupuestos | Xarxa Formació Professional","Economia","pressupostos","Pressupost anual 2017 de la Xarxa Formació Professional","","text","info:eu-repo/semantics/other",""
"anual","","Ciudades y Gobiernos Locales Unidos","","Barcelona | Barcelona | Barcelona","2013","No","2012","2012","","","","","application/pdf","1 p.","application/pdf","","","","associacions","Mandat 2011-2015","http://hdl.handle.net/11703/110129","spa","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ciudades y Gobiernos Locales Unidos","http://creativecommons.org/licenses/by/4.0/deed.ca","Pressupost | Ciudades y Gobiernos Locales Unidos | Budget | Ciudades y Gobiernos Locales Unidos | Presupuestos | Ciudades y Gobiernos Locales Unidos","Economia","pressupostos","Presupuesto anual 2013 de las Ciudades y Gobiernos Locales Unidos","","text","info:eu-repo/semantics/other",""
"anual","","Intervenció general","","Barcelona | Barcelona | Barcelona","2014","No","2015-02-28","2015","","És requerit per la Liquidació del pressupost 2014 del Consorci el Far (Barcelona) [http://hdl.handle.net/11703/110458]","","","application/pdf","8 p.","application/pdf","","","","consorcis","Mandat 2011-2015","http://hdl.handle.net/11703/110459","cat","","","","","","Reproducció digital del document en suport original","http://hdl.handle.net/11703/110458","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Pressupost | Consorci el Far (Barcelona) | Budget | Consorci el Far (Barcelona) | Presupuestos | Consorci el Far (Barcelona)","Economia","pressupostos | documents digitalitzats","Informe de la liquidació del pressupost de l'exercici 2014 Consorci el Far Centre dels Treballs del Mar","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"anual","","Centro Iberoamericano de Desarrollo Estratégico Urbano (CIDEU)","","Barcelona | Barcelona | Barcelona","2014","No","2015-01-29","2015","","","","","application/pdf","2 documents","application/pdf","","","","associacions","Mandat 2011-2015","http://hdl.handle.net/11703/110141","spa","","","","","","Reproducció digital del document en suport original","","","","CC-BY","info:eu-repo/semantics/openAccess","Centro Iberoamericano de Desarrollo Estratégico Urbano (CIDEU)","http://creativecommons.org/licenses/by/4.0/deed.ca","Pressupost | Centro Iberoamericano de Desarrollo Estratégico Urbano (CIDEU) | Budget | Centro Iberoamericano de Desarrollo Estratégico Urbano (CIDEU) | Presupuestos | Centro Iberoamericano de Desarrollo Estratégico Urbano (CIDEU)","Economia","pressupostos | documents digitalitzats","Presupuesto anual 2014 del Centro Iberoamericano de Desarrollo Estratégico Urbano (CIDEU)","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"anual","","Foment de Ciutat Vella, S.A.","","Barcelona | Barcelona | Barcelona","2001","No","2000-11","2000","","","","","application/pdf","8 p.","application/pdf","","","","societats mercantils","Mandat 1999-2003","http://hdl.handle.net/11703/110478","cat","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Foment de Ciutat Vella, S.A.","http://creativecommons.org/licenses/by/4.0/deed.ca","Pressupostos municipals | Foment de Ciutat Vella, S.A. | Municipal budgets | Foment de Ciutat Vella, S.A. | Presupuestos municipales | Foment de Ciutat Vella, S.A.","Economia","pressupostos","Pressupost anual 2001 de Foment de Ciutat Vella, S.A.","","text","info:eu-repo/semantics/other",""
