"dcAccrualPeriodicity","dcAccrualPolicy","dccontributorauthor","dccontributorother","dccoveragespatial","dccoveragetemporal","dccoveragevigencia","dcdatecreated","dcdateissued","dcdatevalidinici","dcdescription","dcdescriptionLegislationChangedBy","dcdescriptiontableofcontents","dcformat","dcformatextent","dcformatmimetype","dcidentifierBG","dcidentifierab","dcidentifiercitation","dcidentifierentitat","dcidentifiermandat","dcidentifieruri","dclanguage","dcpublisher","dcrelation","dcrelationhasversion","dcrelationisbasedon","dcrelationisbasisfor","dcrelationisformatof","dcrelationisrequiredby","dcrelationisversionof","dcrelationrequires","dcrights","dcrightsaccessrights","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dctitle","dctitlealternative","dctype","dctypedriver","Unnamed: 43"
"anual","","Consorci de les Drassanes Reials i Museu Marítim de Barcelona","","Barcelona | Barcelona | Barcelona","2014","No","2014-12-02","2014","","Aprovat pel Consell General del Consorci de les Drassanes Reials i Museu Marítim de Barcelona de 02-12-2014 | Podeu consultar el Pressupost anual 2014 del Consorci de les Drassanes Reials i Museu Marítim de Barcelona a: http://hdl.handle.net/11703/109541","","","application/pdf","14 p.","application/pdf","","","","consorcis","Mandat 2011-2015","http://hdl.handle.net/11703/109543","cat","","http://hdl.handle.net/11703/109541","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Consorci de les Drassanes Reials i Museu Marítim de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Pressupost | Consorci de les Drassanes Reials i Museu Marítim de Barcelona | Budget | Consorci de les Drassanes Reials i Museu Marítim de Barcelona | Presupuestos | Consorci de les Drassanes Reials i Museu Marítim de Barcelona","Economia","pressupostos","Informe de l'Estat d'execució del pressupost anual 2014 del Consorci de les Drassanes Reials i Museu Marítim de Barcelona","","text","info:eu-repo/semantics/other",""
"anual","","Fundació Privada Museu Marítim i Drassanes Reials de Barcelona","","Barcelona | Barcelona | Barcelona","2013","No","2012-11-27","2012","","Aprovat pel Patronat de la Fundació de 27-11-2012","","Memòria justificativa del pressupost 2013","application/pdf","4 p.","application/pdf","","","","fundacions","Mandat 2011-2015","http://hdl.handle.net/11703/110199","cat","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Fundació Privada Museu Marítim i Drassanes Reials de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Pressupost | Fundació Privada Museu Marítim i Drassanes Reials de Barcelona | Budget | Fundació Privada Museu Marítim i Drassanes Reials de Barcelona | Presupuestos | Fundació Privada Museu Marítim i Drassanes Reials de Barcelona","Economia","pressupostos","Pressupost anual 2013 de la Fundació Privada Museu Marítim i Drassanes Reials de Barcelona","Pressupost 2013 : memòria","text","info:eu-repo/semantics/other",""
"Anual","","Cementiris de Barcelona, S.A.","","Barcelona | Barcelona | Barcelona","2018","Si","2017-09-15","2017","","Aprovat pel Consell d'Administració de 15-09-2017","","","application/pdf","15 p.","application/pdf","","","","societats mercantils","Mandat 2015-2019","http://hdl.handle.net/11703/110720","cat","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Cementiris de Barcelona, S.A.","http://creativecommons.org/licenses/by/4.0/deed.ca","Pressupostos municipals | Cementiris de Barcelona, S.A. | Municipal budgets | Cementiris de Barcelona, S.A. | Presupuestos municipales | Cementiris de Barcelona, S.A.","Economia","pressupostos | documents digitalitzats","Pressupost anual 2018 de Cementiris de Barcelona, S.A.","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Anual","","Consorci del Museu d'Art Contemporani de Barcelona","","Barcelona | Barcelona | Barcelona","2010","No","2009-12-24","2009","","Aprovat pel Consell General del Consorci de 24-12-2009","","","application/pdf","65 p.","application/pdf","","","","consorcis","Mandat 2007-2011","http://hdl.handle.net/11703/110744","cat","","","","","","Reproducció digital del document en suport original","","","","CC-BY","info:eu-repo/semantics/openAccess","Consorci del Museu d'Art Contemporani de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Pressupostos municipals | Consorci del Museu d'Art Contemporani de Barcelona | Municipal budgets | Consorci del Museu d'Art Contemporani de Barcelona | Presupuestos municipales | Consorci del Museu d'Art Contemporani de Barcelona","Economia","pressupostos | documents digitalitzats","Pressupost anual 2010 de MACBA","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"anual","","Consorci Institut Ramon Llull","","Barcelona | Barcelona | Barcelona","2014","No","2013","2013","","És requerit pel Pressupost 2014 de l'Institut Ramon Llull [http://hdl.handle.net/11703/109515]","","","application/pdf","13 p.","application/pdf","","","","consorcis","Mandat 2011-2015","http://hdl.handle.net/11703/109516","cat","","","","","","Reproducció digital del document en suport original","http://hdl.handle.net/11703/109515","","","CC-BY","info:eu-repo/semantics/openAccess","Consorci Institut Ramon Llull","http://creativecommons.org/licenses/by/4.0/deed.ca","Pressupost | Consorci Institut Ramon Llull | Budget | Consorci Institut Ramon Llull | Presupuestos | Consorci Institut Ramon Llull","Economia","pressupostos | documents digitalitzats","Bases d'execució del pressupost anual del 2014 de l'Institut Ramon Llull","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"anual","","Patronat Municipal de l'Habitatge de Barcelona","","Barcelona | Barcelona | Barcelona","2017","No","2016","2016","","","","","application/vnd.ms-excel","2 fitxers","application/vnd.ms-excel","","","","entitats públiques empresarials","Mandat 2015-2019","http://hdl.handle.net/11703/110545","cat","","","","","","","","","","CC0","info:eu-repo/semantics/openAccess","","https://creativecommons.org/choose/zero/?lang=ca","Pressupostos municipals | Patronat Municipal de l'Habitatge de Barcelona | Municipal budgets | Patronat Municipal de l'Habitatge de Barcelona | Presupuestos municipales | Patronat Municipal de l'Habitatge de Barcelona","Economia","pressupostos","Pressupost anual 2017 del Patronat Municipal de l'Habitatge de Barcelona","","dataset","info:eu-repo/semantics/other",""
"anual","","Consorci del Besòs (Barcelona)","","Barcelona | Barcelona | Barcelona","2017","No","2016","2016","","","","","application/vnd.ms-excel","2 fitxers","application/vnd.ms-excel","","","","consorcis","Mandat 2015-2019","http://hdl.handle.net/11703/110272","cat","","","","","","","","","","CC0","info:eu-repo/semantics/openAccess","","https://creativecommons.org/choose/zero/?lang=ca","Pressupost | Consorci del Besòs (Barcelona) | Budget | Consorci del Besòs (Barcelona) | Presupuestos | Consorci del Besòs (Barcelona)","Economia","pressupostos","Pressupost anual 2017 del Consorci del Besòs (Barcelona)","","dataset","info:eu-repo/semantics/other",""
"anual","","Fundació Centre d'Estudis Internacionals (CEI)","","Barcelona | Barcelona | Barcelona","2012","No","2011","2011","","","","","application/pdf","2 p.","application/pdf","","","","fundacions","Mandat 2011-2015","http://hdl.handle.net/11703/110043","spa","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Fundació Centre d'Estudis Internacionals (CEI)","http://creativecommons.org/licenses/by/4.0/deed.ca","Pressupost | Fundació Centre d'Estudis Internacionals (CEI) | Budget | Fundació Centre d'Estudis Internacionals (CEI) | Presupuestos | Fundació Centre d'Estudis Internacionals (CEI)","Economia","pressupostos","Presupuesto anual 2012 de la Fundació Centre d'Estudis Internacionals (CEI)","","text","info:eu-repo/semantics/other",""
"Anual","","Associació Catalana de Municipis i Comarques","","Barcelona | Barcelona | Barcelona","2017","No","2016-10-08","2016","","Aprovat per la XVIII Assemblea de l'Associació Catalana de Municipis i Comarques de 08-10-2016","","","application/pdf","2 documents","application/pdf","","","","","Mandat 2015-2019","http://hdl.handle.net/11703/110763","cat","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Associació Catalana de Municipis i Comarques","http://creativecommons.org/licenses/by/4.0/deed.ca","Pressupost | Associació Catalana de Municipis i Comarques | Budget | Associació Catalana de Municipis i Comarques | Presupuestos | Associació Catalana de Municipis i Comarques","Economia","pressupostos","Pressupost anual 2017 de l'Associació Catalana de Municipis i Comarques","","text","info:eu-repo/semantics/other",""
"anual","","Institut Municipal d'Educació (Barcelona)","","Barcelona | Barcelona | Barcelona","2017","No","2016","2016","","","","","application/vnd.ms-excel","2 fitxers","application/vnd.ms-excel","","","","organismes autònoms","Mandat 2015-2019","http://hdl.handle.net/11703/110509","cat","","","","","","","","","","CC0","info:eu-repo/semantics/openAccess","","https://creativecommons.org/choose/zero/?lang=ca","Pressupostos municipals | Institut Municipal d'Educació (Barcelona) | Municipal budgets | Institut Municipal d'Educació (Barcelona) | Presupuestos municipales | Institut Municipal d'Educació (Barcelona)","Economia","pressupostos","Pressupost anual 2017 de l'Institut Municipal d'Educació","","dataset","info:eu-repo/semantics/other",""
"anual","","Consorci per a la Defensa de la Conca del Besòs","","Barcelona | Barcelona | Barcelona","2012","No","2012-01-31","2012","","Aprovat per la Junta General del CDCRB de 31-01-2012 | Requereix les Bases d'execució del pressupost anual del 2012 del Consorci per a la Defensa de la Conca del Besòs [http://hdl.handle.net/11703/109547]","","","application/pdf","2 documents","application/pdf","","","","consorcis","Mandat 2011-2015","http://hdl.handle.net/11703/109548","cat","","","","","","","","","http://hdl.handle.net/11703/109547","CC-BY","info:eu-repo/semantics/openAccess","Consorci per a la Defensa de la Conca del Besòs","http://creativecommons.org/licenses/by/4.0/deed.ca","Pressupost | Consorci per a la Defensa de la Conca del Besòs | Budget | Consorci per a la Defensa de la Conca del Besòs | Presupuestos | Consorci per a la Defensa de la Conca del Besòs","Economia","pressupostos","Pressupost anual 2012 del Consorci per a la Defensa de la Conca del Besòs","","text","info:eu-repo/semantics/other",""
"anual","","Fundació Privada Museu Marítim i Drassanes Reials de Barcelona","","Barcelona | Barcelona | Barcelona","2011","No","2010","2010","","","","","application/pdf","1 p.","application/pdf","","","","fundacions","Mandat 2007-2011 | Mandat 2011-2015","http://hdl.handle.net/11703/110196","cat","","","","","","Reproducció digital del document en suport original","","","","CC-BY","info:eu-repo/semantics/openAccess","Fundació Privada Museu Marítim i Drassanes Reials de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Pressupost | Fundació Privada Museu Marítim i Drassanes Reials de Barcelona | Budget | Fundació Privada Museu Marítim i Drassanes Reials de Barcelona | Presupuestos | Fundació Privada Museu Marítim i Drassanes Reials de Barcelona","Economia","pressupostos | documents digitalitzats","Pressupost anual 2011 de la Fundació Privada Museu Marítim i Drassanes Reials de Barcelona","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"anual","","Fundació Centre Informació i Documentació Internacional Barcelona (CIDOB)","","Barcelona | Barcelona | Barcelona","2012","No","2011-12-01","2011","","Aprovat pel Patronat de la Fundació de 01-12-2011","","","application/pdf","2 documents","application/pdf","","","","fundacions","Mandat 2011-2015","http://hdl.handle.net/11703/110107","cat","","","","","","Reproducció digital del document en suport original","","","","CC-BY","info:eu-repo/semantics/openAccess","Fundació Centre Informació i Documentació Internacional Barcelona (CIDOB)","http://creativecommons.org/licenses/by/4.0/deed.ca","Pressupost | Fundació Centre Informació i Documentació Internacional Barcelona (CIDOB) | Budget | Fundació Centre Informació i Documentació Internacional Barcelona (CIDOB) | Presupuestos | Fundació Centre Informació i Documentació Internacional Barcelona (CIDOB)","Economia","pressupostos | documents digitalitzats","Pressupost anual 2012 de la Fundació Centre Informació i Documentació Internacional Barcelona (CIDOB)","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"anual","","Institut de Cultura de Barcelona","","Barcelona | Barcelona | Barcelona","2016","No","2015","2015","","","","","application/pdf","6 p.","application/pdf","","","","entitats públiques empresarials","Mandat 2015-2019","http://hdl.handle.net/11703/110240","cat","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Institut de Cultura de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Pressupostos municipals | Institut de Cultura de Barcelona | Municipal budgets | Institut de Cultura de Barcelona | Presupuestos municipales | Institut de Cultura de Barcelona","Economia","pressupostos","Pressupost anual 2016 de l'Institut de Cultura de Barcelona : pròrroga","Pròrroga pressupostària per a l’exercici 2016 de l'Institut de Cultura de Barcelona","text","info:eu-repo/semantics/other",""
"Anual","","Ajuntament de Barcelona","","Barcelona | Barcelona | Barcelona","2013","No","2012-10-17","2012","","Presentat a la Comissió d’Economia, Empresa i Ocupació el 17-10-2012","","Llibre verd:   Pressupost general 2014.   Bases d’execució.  Proposta de plantilla.  Programa d'Inversions Municipals (2013-2015).  Programa financer consolidat.  Estat de previsió del deute.  Liquidació del Pressupost de l’any 2011.  Estat de liquidació del Pressupost 2012 a 31 de juliol. | Resum executiu | Memòria explicativa","application/pdf","","application/pdf","17383 | 17380 | 17381","","","","Mandat 2011-2015","http://hdl.handle.net/11703/88937","cat","","","","","http://hdl.handle.net/11703/88907","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Pressupostos municipals | Municipal budgets | Presupuestos municipales","Economia","pressupostos","Pressupost general 2013","","text","info:eu-repo/semantics/other",""
"anual","","Fundació Barcelona Cultura","","Barcelona | Barcelona | Barcelona","2017","No","2016","2016","","","","","application/vnd.ms-excel","2 fitxers","application/vnd.ms-excel","","","","fundacions","Mandat 2015-2019","http://hdl.handle.net/11703/110427","cat","","","","","","","","","","CC0","info:eu-repo/semantics/openAccess","","https://creativecommons.org/choose/zero/?lang=ca","Pressupost | Fundació Barcelona Cultura | Budget | Fundació Barcelona Cultura | Presupuestos | Fundació Barcelona Cultura","Economia","pressupostos","Pressupost anual 2017 de la Fundació Barcelona Cultura","","dataset","info:eu-repo/semantics/other",""
"anual","","Agència Local d'Energia de Barcelona | Intervenció general","","Barcelona | Barcelona | Barcelona","2015","No","2014-09-29","2014","","Aprovació inicial per l'Assemblea General de l'Agència Local d'Energia de Barcelona de 29-09-2014 | No s'han presentat al·legacions, per tant, està definitivament aprovat","","Informe d'intervenció de la liquidació del pressupost de l'exercici 2013 | Informe d'intervenció a l'avanç de la liquidació del pressupost 2014","application/pdf","70 p.","application/pdf","","NIF núm.: P-0800115-H","","consorcis","Mandat 2011-2015 | Mandat 2015-2019","http://hdl.handle.net/11703/110436","cat","","","","","","Reproducció digital del document en suport original","","","","CC-BY","info:eu-repo/semantics/openAccess","Agència Local d'Energia de Barcelona | Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Pressupostos municipals | Agència Local d'Energia de Barcelona | Municipal budgets | Agència Local d'Energia de Barcelona | Presupuestos municipales | Agència Local d'Energia de Barcelona","Economia","pressupostos | documents digitalitzats","Pressupost anual 2015 de l'Agència Local d'Energia de Barcelona","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"anual","","Fundació BCN Formació Professional","","Barcelona | Barcelona | Barcelona","2009","No","2008","2008","","","","","application/pdf","3 p.","application/pdf","","","","fundacions","Mandat 2007-2011","http://hdl.handle.net/11703/109603","cat","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Fundació BCN Formació Professional","http://creativecommons.org/licenses/by/4.0/deed.ca","Pressupostos municipals | Fundació BCN Formació Professional | Fundació BCN Formació Professional | Fundació BCN Formació Professional","Economia","pressupostos","Pressupost anual 2009 de la Fundació BCN Formació Professional","","text","info:eu-repo/semantics/other",""
"anual","","Fundació Privada de l'Hospital de la Santa Creu i Sant Pau","","Barcelona | Barcelona | Barcelona","2013","No","2012","2012","","","","","application/pdf","1 p.","application/pdf","","","","fundacions","Mandat 2011-2015","http://hdl.handle.net/11703/109580","cat","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Fundació Privada de l'Hospital de la Santa Creu i Sant Pau","http://creativecommons.org/licenses/by/4.0/deed.ca","Pressupost | Fundació Privada de l'Hospital de la Santa Creu i Sant Pau | Budget | Fundació Privada de l'Hospital de la Santa Creu i Sant Pau | Presupuestos | Fundació Privada de l'Hospital de la Santa Creu i Sant Pau","Economia","pressupostos","Pressupost anual 2013 de la Fundació Privada de l'Hospital de la Santa Creu i Sant Pau","","text","info:eu-repo/semantics/other",""
"Anual","","Foment de Ciutat, S.A.","","Barcelona | Barcelona | Barcelona","2018","Si","2017-09","2017","","","","","application/pdf","33 p.","application/pdf","","","","societats mercantils","Mandat 2015-2019","http://hdl.handle.net/11703/110732","cat","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Foment de Ciutat, S.A.","http://creativecommons.org/licenses/by/4.0/deed.ca","Pressupostos municipals | Foment de Ciutat, S.A. | Municipal budgets | Foment de Ciutat, S.A. | Presupuestos municipales | Foment de Ciutat, S.A.","Economia","pressupostos","Pressupost anual 2018 de Foment de Ciutat, S.A.","","text","info:eu-repo/semantics/other",""
"anual","","Institut Municipal de Persones amb Discapacitat (Barcelona)","","Barcelona | Barcelona | Barcelona","2017","No","2016","2016","","","","","application/pdf","6 p.","application/pdf","","","","organismes autònoms","Mandat 2015-2019","http://hdl.handle.net/11703/110519","cat","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Institut Municipal de Persones amb Discapacitat (Barcelona)","http://creativecommons.org/licenses/by/4.0/deed.ca","Pressupostos municipals | Institut Municipal de Persones amb Discapacitat (Barcelona) | Municipal budgets | Institut Municipal de Persones amb Discapacitat (Barcelona) | Presupuestos municipales | Institut Municipal de Persones amb Discapacitat (Barcelona)","Economia","pressupostos","Pressupost anual 2016 de l'Institut Municipal de Persones amb Discapacitat : pròrroga","Pròrroga pressupostària per a l’exercici 2017 de l'Institut Municipal de Persones amb Discapacitat","text","info:eu-repo/semantics/other",""
"Anual","","Consorci de l'Auditori i l'Orquestra","","Barcelona | Barcelona | Barcelona","2010","No","2009-12-10","2009","","Aprovat pel Consell Rector del Consorci de 10-12-2009 | És base per la Liquidació del pressupost 2010 del Consorci de l'Auditori i l'Orquestra [http://hdl.handle.net/11703/110689]","","","application/pdf","2 documents","application/pdf","","Núm. Exp. 09-F101-01","","consorcis","Mandat 2007-2011","http://hdl.handle.net/11703/110688","cat","","","","","http://hdl.handle.net/11703/110689","Reproducció digital del document en suport original","","","","CC-BY","info:eu-repo/semantics/openAccess","Consorci de l'Auditori i l'Orquestra","http://creativecommons.org/licenses/by/4.0/deed.ca","Pressupost | Consorci de l'Auditori i l'Orquestra | Budget | Consorci de l'Auditori i l'Orquestra | Presupuestos | Consorci de l'Auditori i l'Orquestra","Economia","pressupostos | documents digitalitzats","Pressupost anual 2010 del Consorci de l'Auditori i l'Orquestra","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Anual","","Turisme de Barcelona","","Barcelona | Barcelona | Barcelona","2015","No","2014-12-15","2014","","Aprovat pel Consell General del Consorci de 15-12-2014","","","application/pdf","16 p.","application/pdf","","","","consorcis","Mandat 2011-2015 | Mandat 2015-2019","http://hdl.handle.net/11703/107568","cat","","","","","","Reproducció digital del document en suport original","","","","CC-BY","info:eu-repo/semantics/openAccess","Turisme de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Turisme de Barcelona | Pressupost | Turisme de Barcelona | Budget | Turisme de Barcelona | Presupuestos","Economia","pressupostos | documents digitalitzats","Pressupost anual 2015 de Barcelona Turisme","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Anual","","Consorci Mercat de les Flors","","Barcelona | Barcelona | Barcelona","2012","No","2011-09-21","2011","","Aprovat pel Consell General del Consorci de 21-09-2011","","","application/pdf","108 p.","application/pdf","","Núm. Exp. 09/2011","","consorcis","Mandat 2011-2015","http://hdl.handle.net/11703/107455","cat","","","","","","Reproducció digital del document en suport original","","","","CC-BY","info:eu-repo/semantics/openAccess","Consorci Mercat de les Flors","http://creativecommons.org/licenses/by/4.0/deed.ca","Consorci Mercat de les Flors | Pressupost | Consorci Mercat de les Flors | Budget | Consorci Mercat de les Flors | Presupuestos","Economia | Cultura i oci","pressupostos | documents digitalitzats","Pressupost anual 2012 del Consorci Mercat de les Flors / Centre de les Arts de Moviment","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Anual","","Consorci del Barri de la Mina (Barcelona)","","Barcelona | Barcelona | Barcelona","2013","No","2012-12-20","2012","","Aprovat pel Consell de Govern del Consorci de 20-12-2012","","","application/pdf","49 p.","application/pdf","","","","consorcis","Mandat 2011-2015","http://hdl.handle.net/11703/107479","cat","","","","","","Reproducció digital del document en suport original","","","","CC-BY","info:eu-repo/semantics/openAccess","Consorci del Barri de la Mina (Barcelona)","http://creativecommons.org/licenses/by/4.0/deed.ca","Consorci del Barri de la Mina (Barcelona) | Pressupost | Consorci del Barri de la Mina (Barcelona) | Budget | Consorci del Barri de la Mina (Barcelona) | Presupuestos","Economia","pressupostos | documents digitalitzats","Pressupost anual 2013 del Consorci del Barri de la Mina","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Anual","","Turisme de Barcelona","","Barcelona | Barcelona | Barcelona","2010","No","2009-12-15","2009","","Aprovat pel Consell General del Consorci de 15-12-2009","","","application/pdf","5 p.","application/pdf","","","","consorcis","Mandat 2007-2011","http://hdl.handle.net/11703/107569","cat","","","","","","Reproducció digital del document en suport original","","","","CC-BY","info:eu-repo/semantics/openAccess","Turisme de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Turisme de Barcelona | Pressupost | Turisme de Barcelona | Budget | Turisme de Barcelona | Presupuestos","Economia","pressupostos | documents digitalitzats","Pressupost anual 2010 de Barcelona Turisme","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Anual","","Consorci del Parc de Collserola (Catalunya)","","Barcelona. Districte 5. Sarrià-Sant Gervasi | Collserola, Serra de (Catalunya) | Collserola, Parc (Barcelona) | Barcelona. District 5. Sarrià-Sant Gervasi | Collserola, Serra de (Catalonia) | Collserola, Park (Barcelona) | Barcelona. Distrito 5. Sarrià-Sant Gervasi | Collserola, Serra de (Cataluña) | Collserola, Parque (Barcelona)","2013","No","2013-07-30","2013","","Aprovació inicial per l'Assemblea General del Consorci de 04-04-2013 | Aprovació definitiva per l'Assemblea General del Consorci de 30-07-2013","","Annex. Plantilla de personal del Consorci del Parc Natural de la Serra de Collserola: 2013","application/pdf","34 p.","application/pdf","","","","consorcis","Mandat 2011-2015","http://hdl.handle.net/11703/107558","cat","","","","","","Reproducció digital del document en suport original","","","","CC-BY","info:eu-repo/semantics/openAccess","Consorci del Parc de Collserola (Catalunya)","http://creativecommons.org/licenses/by/4.0/deed.ca","Consorci del Parc de Collserola (Catalunya) | Pressupost | Consorci del Parc de Collserola (Catalunya) | Budget | Consorci del Parc de Collserola (Catalunya) | Presupuestos","Economia","pressupostos | documents digitalitzats","Pressupost anual 2013 del Consorci del Parc Natura de la Serra  de Collserola","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"anual","","Consorci Localret","","Barcelona | Barcelona | Barcelona","2013","No","2014","2014-02-23","","Es basa en el Pressupost anual 2013 del Consorci Localret [http://hdl.handle.net/11703/110250]","","","application/pdf","31 p.","application/pdf","","","","consorcis","Mandat 2011-2015","http://hdl.handle.net/11703/110251","cat","","","","http://hdl.handle.net/11703/110250","","Reproducció digital del document en suport original","","","","CC-BY","info:eu-repo/semantics/openAccess","Consorci Localret","http://creativecommons.org/licenses/by/4.0/deed.ca","Pressupost | Consorci Localret | Budget | Consorci Localret | Presupuestos | Consorci Localret","Economia","pressupostos | documents digitalitzats","Liquidació del pressupost 2013 del Consorci Localret","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Anual","","Àrea d'Economia, Empresa i Ocupació | Direcció de Pressupostos i Política Fiscal","","Barcelona | Barcelona | Barcelona","2014","","2015","2015","","","","","application/pdf","","application/pdf","18189 | 18321","","","","Mandat 2011-2015","http://hdl.handle.net/11703/88926","cat","","","","http://hdl.handle.net/11703/88916 | http://hdl.handle.net/11703/85309","","Reproducció digital del document en suport original","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Pressupostos municipals | Municipal budgets | Presupuestos municipales","Economia","pressupostos | documents digitalitzats","Liquidació del pressupost 2014","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"anual","","Fundació Privada Urbs i Territori Ildelfons Cerdà","","Barcelona | Barcelona | Barcelona","2009","No","2008","2008","","","","Pressupost Exposició Ildefons Cerdà 2009","application/vnd.ms-excel","1 fitxer","application/vnd.ms-excel","","","","fundacions","Mandat 2007-2011","http://hdl.handle.net/11703/110079","cat","","","","","","","","","","CC0","info:eu-repo/semantics/openAccess","","https://creativecommons.org/choose/zero/?lang=ca","Pressupost | Fundació Privada Urbs i Territori Ildelfons Cerdà | Budget | Fundació Privada Urbs i Territori Ildelfons Cerdà | Presupuestos | Fundació Privada Urbs i Territori Ildelfons Cerdà","Economia","pressupostos","Pressupost anual 2009 de la Fundació Privada Urbs i Territori Ildelfons Cerdà","","dataset","info:eu-repo/semantics/other",""
"anual","","Fundació Privada Casa Amèrica a Catalunya","","Barcelona | Barcelona | Barcelona","2011","No","2010-11-18","2010","","Aprovat pel Patronat de la Fundació de 18-11-2010","","","application/pdf","2 documents","application/pdf","","","","fundacions","Mandat 2007-2011 | Mandat 2011-2015","http://hdl.handle.net/11703/109617","cat","","","","","","Reproducció digital del document en suport original","","","","CC-BY","info:eu-repo/semantics/openAccess","Fundació Privada Casa Amèrica a Catalunya","http://creativecommons.org/licenses/by/4.0/deed.ca","Pressupost | Fundació Privada Casa Amèrica a Catalunya | Budget | Fundació Privada Casa Amèrica a Catalunya | Presupuestos | Fundació Privada Casa Amèrica a Catalunya","Economia","pressupostos | documents digitalitzats","Pressupost anual 2011 de la Fundació Privada Casa Amèrica a Catalunya","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"anual","","Institut Municipal d'Hisenda (Barcelona)","","Barcelona | Barcelona | Barcelona","2017","No","2016","2016","","","","","application/vnd.ms-excel","2 fitxers","application/vnd.ms-excel","","","","organismes autònoms","Mandat 2015-2019","http://hdl.handle.net/11703/110513","cat","","","","","","","","","","CC0","info:eu-repo/semantics/openAccess","","https://creativecommons.org/choose/zero/?lang=ca","Pressupostos municipals | Institut Municipal d'Hisenda (Barcelona) | Municipal budgets | Institut Municipal d'Hisenda (Barcelona) | Presupuestos municipales | Institut Municipal d'Hisenda (Barcelona)","Economia","pressupostos","Pressupost anual 2017 de l'Institut Municipal d'Hisenda","","dataset","info:eu-repo/semantics/other",""
"anual","","Informació i Comunicació de Barcelona, S.A.","","Barcelona | Barcelona | Barcelona","2017","No","2016","2016","","","","","application/pdf","7 p.","application/pdf","","","","societats mercantils","Mandat 2015-2019","http://hdl.handle.net/11703/110485","cat","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Informació i Comunicació de Barcelona, S.A.","http://creativecommons.org/licenses/by/4.0/deed.ca","Pressupostos municipals | Informació i Comunicació de Barcelona, S.A. | Municipal budgets | Informació i Comunicació de Barcelona, S.A. | Presupuestos municipales | Informació i Comunicació de Barcelona, S.A.","Economia","pressupostos","Pressupost anual 2016 d'Informació i Comunicació de Barcelona, S.A. : pròrroga","Pròrroga pressupostària per a l’exercici 2017 d'Informació i Comunicació de Barcelona, S.A.","text","info:eu-repo/semantics/other",""
"anual","","Fundació Institut d'Humanitats de Barcelona","","Barcelona | Barcelona | Barcelona","2008","No","2009","2009","","","","","application/vnd.ms-excel","1 fitxer","application/vnd.ms-excel","","","","fundacions","Mandat 2007-2011","http://hdl.handle.net/11703/110094","cat","","","","","","","","","","CC0","info:eu-repo/semantics/openAccess","","https://creativecommons.org/choose/zero/?lang=ca","Pressupost | Fundació Institut d'Humanitats de Barcelona | Budget | Fundació Institut d'Humanitats de Barcelona | Presupuestos | Fundació Institut d'Humanitats de Barcelona","Economia","pressupostos","Liquidació del pressupost anual 2008 de la Fundació Institut d'Humanitats de Barcelona","","dataset","info:eu-repo/semantics/other",""
