"dcAccrualPeriodicity","dcAccrualPolicy","dccontributorauthor","dccontributorother","dccoveragespatial","dccoveragetemporal","dccoveragevigencia","dcdatecreated","dcdateissued","dcdescription","dcdescriptionabstract","dcdescriptionsponsorship","dcdescriptiontableofcontents","dcdescriptionversion","dcformat","dcformatextent","dcformatmimetype","dcidentifierBG","dcidentifierab","dcidentifierentitat","dcidentifierisbn","dcidentifiermandat","dcidentifieruri","dclanguage","dcpublisher","dcrelation","dcrelationhasversion","dcrelationisbasedon","dcrelationisbasisfor","dcrelationisformatof","dcrelationisreferencedby","dcrelationisversionof","dcrelationreferences","dcrelationreplaces","dcrelationrequires","dcrights","dcrightsaccessrights","dcrightsnotes","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dcsubjectprogramme","dctitle","dctitlealternative","dctype","dctypedriver","Unnamed: 48"
"","","Gabinet Tècnic de Programació | Oficina Municipal de Dades | Raymond Bara, José Luis | Universitat Autònoma de Barcelona | Galletto, Vittorio | Aguilera, Sandra | Fíguls, Marc | Institut d'Estudis Regionals i Metropolitans de Barcelona | Cotrina, Dolors | Costa, Àlex | Puig Paronella, Enric | Gerència Municipal","","Barcelona | Barcelona | Barcelona | Espanya | España | Spain","","","2018","2018-12","","","","","","application/pdf","24 p.","application/pdf","","","","","","http://hdl.handle.net/11703/116548","cat","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona | Raymond Bara, José Luis | Universitat Autònoma de Barcelona | Institut d'Estudis Regionals i Metropolitans de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Producte Interior Brut | Producto interior bruto | Gross domestic product | Indicadors econòmics | Indicadores económicos | Economic indicators","Economia","informes altres","","Els deflactors del PIB territorial : resultats per a les CCAA de l'economia espanyola : aplicació del VAB sectorial de Barcelona","","text","info:eu-repo/semantics/report",""
"","","Barcelona Activa, S.A.","","Barcelona | Barcelona | Barcelona","","","2011-12","2011-12","A la portada: Capital humà","","","","","application/pdf","15 p.","application/pdf","9906","","societats mercantils","","","http://hdl.handle.net/11703/90025","cat","Barcelona Activa, S.A.","","","","","","","","","","","Tots els drets reservats","info:eu-repo/semantics/openAccess","L'Ajuntament de Barcelona no pot donar autorització sobre l'ús d'aquest document ni facilitar-ne còpies. La utilització i/o reproducció d'aquest document fora de l'àmbit municipal representa l'incompliment de la legislació vigent sobre propietat intel·lectual","Barcelona Activa, S.A.","","Arts de l'espectacle | Performing arts | Artes escénicas","Economia | Cultura i oci","informes altres","","Informe sectorial: arts escèniques","Arts escèniques: informe sectorial","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Àrea d'Economia, Empresa i Ocupació","","Barcelona | Barcelona | Barcelona","2014","","2014","2014-03","","","","","","application/pdf","13 p.","application/pdf","18154","","","","","http://hdl.handle.net/11703/86832","eng","Ajuntament de Barcelona","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Empreses | Estadístiques | Business enterprises | Statistics | Empresas | Estadísticas","Economia","informes altres","","Business activity in Barcelona 2013: report","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Ajuntament de Barcelona | Barcelona Cicle de l'Aigua, S.A.","","","","","2019-09-10","2019-09","","","","","","application/pdf","","application/pdf","","","societats mercantils","","","http://hdl.handle.net/11703/115476","cat","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona | Barcelona Cicle de l'Aigua","http://creativecommons.org/licenses/by/4.0/deed.ca","Dipòsits d'aigua | Depósitos de agua | Water tanks | Aigua de pluja | Agua de lluvia | Rain-water","Medi ambient","informes altres","","Informe de pluja i dipòsits [versió resumida] : període del 10 al 11 de setembre de 2019","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Gerència de Política Econòmica i Desenvolupament Local | Barcelona Activa, S.A.","","Barcelona | Barcelona | Barcelona","2018","","2018-02","2018-04","Les mencions de responsabilitat s'han basat en els crèdits facilitats per l'àrea responsable | Podeu consultar la versió en català a: http://hdl.handle.net/11703/109489 | Podeu consultar la versió en castellà a: http://hdl.handle.net/11703/109490","","","","","application/pdf","22 p.","application/pdf","","","societats mercantils","","","http://hdl.handle.net/11703/109491","eng","","http://hdl.handle.net/11703/109489 | http://hdl.handle.net/11703/109490","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.en","Barcelona Activa, S.A. | Indústria manufacturera | Tecnologia de la informació | Creativitat en els negocis | Economia ambiental | Salut | Economia social | Barcelona Activa, S.A. | Manufacturing industries | Information technology | Creative ability in business | Environmental economics | Health | Social economy | Barcelona Activa, S.A. | Industria de manufactura | Tecnología de la información | Creatividad en las organizaciones | Economía ambiental | Salud | Economía social","Economia | Indústria | Ciència i tecnologia | Salut","informes altres","","Strategic sectors in Barcelona : data for 2018","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Institut Infància i Adolescència de Barcelona | Institut Municipal d'Educació (Barcelona) | Institut d'Estudis Regionals i Metropolitans de Barcelona | Truñó Salvadó, Maria | Castejón Company, Alba | Zancajo, Adrià","","Barcelona | Barcelona | Barcelona","2018 | 2019","","2019","2019-02","","","","","","application/pdf","186 p.","application/pdf","","","consorcis | organismes autònoms","","","http://hdl.handle.net/11703/117045","cat","","","","","","","","","","","","CC-BY-NC-SA","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by-nc-sa/4.0/deed.ca","Educació infantil | Educació primària | Educació secundària obligatòria | Política educativa | Preschool education | Primary education | Mandatory Secondary education | Educational policy | Educación infantil | Educación primaria | Educación Secundaria Obligatoria | Política educativa","Educació","informes altres","","Oportunitats educatives de la infància i l'adolescència a Barcelona 2018-2019","","text","info:eu-repo/semantics/report",""
"Anual","Obert","Agència de Salut Pública de Barcelona | Consorci Sanitari de Barcelona","","Barcelona | Barcelona | Barcelona","","","2010","2010","","","","","","application/pdf","","application/pdf","3743","","","","","http://hdl.handle.net/11703/92321","cat","Agència de Salut Pública de Barcelona","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Agència de Salut Pública de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Salut pública | Serveis sanitaris | Public health | Health services | Salud pública | Servicios de salud","Salut","revistes i anuaris | informes altres","","La Salut a Barcelona. 2008","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Àrea de Drets de Ciutadania, Participació i Transparència | Gerència de Drets de Ciutadania, Participació i Transparència | Direcció de Serveis de Feminismes i LGTBI | Garaizabal, Cristina | Almirall, Rosa | Vega, Soraya","","Barcelona | Barcelona | Barcelona","","","2016-12","2016-12","Podeu consultar la versió en castellà a: http://hdl.handle.net/11703/105919 | Podeu consultar la versió en anglès a: http://hdl.handle.net/11703/105920","","","","","application/pdf","76 p.","application/pdf","","","","","Mandat 2015-2019","http://hdl.handle.net/11703/113868","cat","","http://hdl.handle.net/11703/105919 | http://hdl.handle.net/11703/105920","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Transsexuals | Serveis sanitaris | Transsexuals | Health services | Transexuales | Servicios de salud","","informes altres","Pla Municipal per la Diversitat Sexual i de Gènere 2016-2020 (Barcelona)","Informe de model d’acompanyament i assistència a persones trans a la ciutat de Barcelona","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"Anual","Oberta","Consell Municipal de Benestar Social (Barcelona)","","Barcelona | Barcelona | Barcelona","2013 | 2014","No","2015","2015","","","","","","application/pdf","","application/pdf","18285","","consells","","Mandat 2011-2015","http://hdl.handle.net/11703/87579","cat","Consell Municipal de Benestar Social (Barcelona)","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Consell Municipal de Benestar Social (Barcelona)","http://creativecommons.org/licenses/by/4.0/deed.ca","Consell Municipal de Benestar Social (Barcelona) | Assistència social | Serveis socials | Assistència social | Participació ciutadana | Consell Municipal de Benestar Social (Barcelona) | Public welfare | Human services | Public welfare | Citizen participation | Consell Municipal de Benestar Social (Barcelona) | Bienestar social | Servicios sociales | Asistencia social | Participación ciudadana","Sector públic | Societat i benestar","informes altres","","Síntesi de l'Informe participatiu 2013-2014","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Direcció de Serveis d'Estratègia i Cultura de Sostenibilitat | Gerència d'Ecologia, Urbanisme i Mobilitat | Franquesa, Teresa | Ventayol, Irma | Pujol, Toni","","Barcelona | Barcelona | Barcelona","2013 | 2014 | 2015 | 2016 | 2017","","2019","2019-05","Podeu consultar la versió en català a: http://hdl.handle.net/11703/114511 | Podeu consultar la versió en anglès a: http://hdl.handle.net/11703/114926","","","","","application/pdf","158 p.","application/pdf","","","","","Mandat 2015-2019","http://hdl.handle.net/11703/114512","spa","","http://hdl.handle.net/11703/114511 | http://hdl.handle.net/11703/114926","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Política ambiental | Política ambiental | Environmental policy | Desenvolupament sostenible | Desarrollo sostenible | Sustainable development | Indicadors ambientals | Indicadores ambientales | Environmental indicators","Medi ambient","informes altres","","Barcelona, ciudad comprometida con el medio ambiente : informe ambiental 2018","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Barcelona Activa, S.A. | Leitat Technological Center","Institut Català d'Energia | Fundació Privada b-TEC Parc Barcelona Innovació Tecnològica","Barcelona | Barcelona | Barcelona","","","2010-11","2010-11","A la portada: Capital humà","","","","","application/pdf","16 p.","application/pdf","9236","","societats mercantils","","","http://hdl.handle.net/11703/90967","cat","Barcelona Activa, S.A.","http://hdl.handle.net/11703/91179","","","","","","","","","","Tots els drets reservats","info:eu-repo/semantics/openAccess","L'Ajuntament de Barcelona no pot donar autorització sobre l'ús d'aquest document ni facilitar-ne còpies. La utilització i/o reproducció d'aquest document fora de l'àmbit municipal representa l'incompliment de la legislació vigent sobre propietat intel·lectual","Barcelona Activa, S.A.","","Indústries energètiques | Energy industries | industria energética","Energia","informes altres","","Informe sectorial: energia","Energia: informe sectorial","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Tornos Mas, Joaquim | Sindicatura de Greuges de Barcelona","","","","","2007-11","2007","Aquest informe es va presentar a la jornada Bona Administració i Administració Local, el dia 28 de novembre de 2007 | Podeu consultar la versió en castellà a: http://hdl.handle.net/11703/88772","","","","","application/pdf","72 p.","application/pdf","2949","","","","","http://hdl.handle.net/11703/89221","cat","Ajuntament de Barcelona. Departament d’Imatge i Producció Editorial","http://hdl.handle.net/11703/88772","","","","","","","","","","Tots els drets reservats","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","","Institucions públiques | Sindicatura de Greuges de Barcelona | Dret administratiu | Public institutions | Sindicatura de Greuges de Barcelona | Administrative law | Instituciones públicas | Sindicatura de Greuges de Barcelona | Derecho administrativo","Sector públic","informes altres","","El dret a una bona administració","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Ajuntament de Barcelona | Barcelona Cicle de l'Aigua, S.A.","","Barcelona | Barcelona | Barcelona","","","2020-01-22","2020-01","","","","","","application/pdf","3 p.","application/pdf","","","societats mercantils","","","http://hdl.handle.net/11703/117007","cat","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona | Barcelona Cicle de l'Aigua, S.A.","http://creativecommons.org/licenses/by/4.0/deed.ca","Dipòsits d'aigua | Depósitos de agua | Water tanks | Aigua de pluja | Agua de lluvia | Rain-water","Medi ambient","informes altres","","Informe de pluja i dipòsits [versió resumida] : període del 21 de gener al 22 de gener de 2020","","text","info:eu-repo/semantics/report",""
"","","Direcció de Serveis d'Acció Comunitària | Àrea de Drets de Ciutadania, Cultura, Participació i Transparència","","Barcelona | Barcelona | Barcelona","","","2018","2018-11","Podeu consultar la versió en castellà a: http://hdl.handle.net/11703/116978","","","","","application/pdf","22 p.","application/pdf","","","","","","http://hdl.handle.net/11703/116951","cat","","http://hdl.handle.net/11703/116978","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Treball social comunitari | Community organization | Trabajo social comunitario | Política social | Social policy | Política social | Serveis públics | Public utilities | Servicios públicos","Societat i benestar","informes altres","Pla Municipal d'Acció Comunitària 2018-2022 (Barcelona)","Cap a un sistema comunitari de polítiques socials : elements conceptuals, de diagnòstic i propostes d'acció","","text","info:eu-repo/semantics/report",""
"","","Institut de Cultura de Barcelona | Ciudades y Gobiernos Locales Unidos","","Barcelona | Barcelona | Barcelona","","","2009-06-15","2009-06-15","Podeu consultar la versió en castellà a: http://hdl.handle.net/11703/111605 | Podeu consultar la versió en anglès a: http://hdl.handle.net/11703/111607","","","","","application/pdf","54 p.","application/pdf","6134","","entitats públiques empresarials","","","http://hdl.handle.net/11703/111608","fra","","http://hdl.handle.net/11703/111607 | http://hdl.handle.net/11703/111605","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Política cultural | Cultural policy | Política cultural","Cultura i oci","informes altres","Agenda 21 de la cultura","Culture, gouvernements locaux et objectifs du millénaire pour le développement","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"Anual","","Gerència de Drets de Ciutadania, Participació i Transparència | Regidoria de Participació i Districtes | Raons Públiques, S.C.C.L.","","Barcelona. Districte 3. Sants-Montjuïc | Barcelona. Distrito 3. Sants-Montjuïc | Barcelona. District 3. Sants-Montjuïc | Hostafrancs (Barcelona : Barri) | Hostafrancs (Barcelona : Barrio) | Hostafrancs (Barcelona : Neighborhood) | Sants (Barcelona : Barri) | Sants (Barcelona : Barrio) | Sants (Barcelona : Neighborhood) | Sants-Badal (Barcelona : Barri) | Sants-Badal (Barcelona : Barrio) | Sants-Badal (Barcelona : Neighborhood) | Bordeta (Barcelona : Barri) | Bordeta (Barcelona : Barrio) | Bordeta (Barcelona : Neighborhood) | Font de la Guatlla (Barcelona : Barri) | Font de la Guatlla (Barcelona : Barrio) | Font de la Guatlla (Barcelona : Neighborhood)","2017 | 2018","","2018-07","2018","","","","","","application/pdf","38 p.","application/pdf","","","","","Mandat 2015-2019","http://hdl.handle.net/11703/115331","cat","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Participació ciutadana | Participación ciudadana | Citizen participation | Equipaments col·lectius | Equipamientos colectivos | Infrastructure (Economics)","Societat i benestar","informes altres","","Pla d'equipaments de la zona centre de Sants-Montjuic : Hostafrancs, Sants, Sants-Badal, la Bordeta i la Font de la Guatlla : informe final del procés participatiu","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Consell Econòmic i Social de Barcelona | Bayarri, Pascual | Senac, Belén | Vilaplana, Valentí","","Barcelona | Barcelona | Barcelona","2016","","2017-05-15","2017","Informe aprovat per la Comissió Executiva del Consell Econòmic i Social de Barcelona de 15-05-2017 | Podeu consultar la versió en castellà a: http://hdl.handle.net/11703/117211","","","","","application/pdf","181 p.","application/pdf","","","consells","","","http://hdl.handle.net/11703/117210","cat","Consell Econòmic i Social de Barcelona","http://hdl.handle.net/11703/117211","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Consell Econòmic i Social de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Mercat de treball | Labor market | Mercado de trabajo | Ocupació | Employment (Economic theory) | Empleo | Indicadors econòmics | Economic indicators | Indicadores económicos | Indicadors socials | Social indicators | Indicadores sociales","Ocupació","informes altres","","El treball a Barcelona 2016","","text","info:eu-repo/semantics/report",""
"","","Ajuntament de Barcelona","","Barcelona | Barcelona | Barcelona","2005 | 2006","","2006","2006","","","","","","application/pdf","23 p.","application/pdf","6492","","","","","http://hdl.handle.net/11703/90254","cat","Ajuntament de Barcelona","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Equipaments col·lectius | Infraestructures urbanes | Participació ciutadana | Infrastructure (Economics) | Urban infrastructures | Citizen participation | Equipamientos colectivos | Infraestructuras urbanas | Participación ciudadana","Sector públic","informes altres","Pla d'Equipaments 2005-2015 (Barcelona) | Barcelona dels barris (Projecte)","Memòria participativa de la Barcelona dels Barris: nou impuls per a una ciutat més pròxima 2005-2006","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Ingewatt (Firma) | Selectives Metropolitanes, S.A. (SEMESA)","","Barcelona | Barcelona | Barcelona","","","2017-09","2017-09","","","","","","application/pdf","141 p.","application/pdf","","","","","","http://hdl.handle.net/11703/112263","spa","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Selectives Metropolitanes, S.A. (SEMESA) | Selectives Metropolitanes, S.A. (SEMESA) | Selectives Metropolitanes, S.A. (SEMESA) | Envasos | Envases | Containers | Reciclatge (Residus, etc.) | Reciclaje (Residuos, etc.) | Recycling (Waste, etc.)","Indústria","informes altres","","Estudi per l'aplicació d'un pla de manteniment integral al CTRM de SEMESA","Plan de mantenimiento de las instalaciones de producción en la planta de envases de SEMESA","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Barcelona Activa, S.A.","Col·legi d'Ambientòlegs de Catalunya","Barcelona | Barcelona | Barcelona","","","2013","2013","A la portada: Barcelona Treball","","","","","application/pdf","25 p.","application/pdf","17981","","societats mercantils","","","http://hdl.handle.net/11703/90029","cat","Barcelona Activa, S.A.","","","","","","","","","","","Tots els drets reservats","info:eu-repo/semantics/openAccess","L'Ajuntament de Barcelona no pot donar autorització sobre l'ús d'aquest document ni facilitar-ne còpies. La utilització i/o reproducció d'aquest document fora de l'àmbit municipal representa l'incompliment de la legislació vigent sobre propietat intel·lectual","Barcelona Activa, S.A.","","Indústria del medi ambient | Pollution control industry | Industria medioambiental","Economia | Medi ambient","informes altres","","Medi ambient: informe sectorial 2013","Informe sectorial: medi ambient","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Departament de Transversalitat de Gènere | Gerència de Recursos","","Barcelona | Barcelona | Barcelona","2018","","2018-07-17","2018","","","","","","application/pdf","18 p.","application/pdf","","Codi: 09IIG/2018","","","","http://hdl.handle.net/11703/117925","cat","","","","","","","","","","","<a href=""http://hdl.handle.net/11703/112552"">Premi Europeu Barcelona Ciència Hipàtia 2018</a>","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Igualtat entre els sexes | Gender equality | Igualdad de género | Premi Europeu de Ciència Hipàtia | Premi Europeu de Ciència Hipàtia | Premi Europeu de Ciència Hipàtia","Societat i benestar","informes altres","Pla per la Justícia de Gènere 2016-2020 (Barcelona)","Bases reguladores del Premi Europeu Barcelona Ciència Hipàtia primera edició (2018) : informe d'impacte de gènere","","text","info:eu-repo/semantics/report",""
"","","Institut Infància i Adolescència de Barcelona | Institut Municipal d'Educació (Barcelona) | Stinus Bru, Elisa","Sintes Pascual, Elena","Barcelona | Barcelona | Barcelona","2017","","2017","2017-11","Sol·licitant de l’informe: Institut Municipal d'Educació (Barcelona) | Fa referència a la Mesura de govern per una democratització de la cura 2017-2020 [http://hdl.handle.net/11703/102432] | Fa referència a l'Informe oportunitats educatives a Barcelona 2016 : l'educació de la infància i l'adolescència a la ciutat [http://hdl.handle.net/11703/101885]","","","","","application/pdf","39 p.","application/pdf","","","consorcis","","Mandat 2015-2019","http://hdl.handle.net/11703/108124","cat","Institut Infància i Adolescència de Barcelona","","","","","","","","http://hdl.handle.net/11703/102432 | http://hdl.handle.net/11703/101885","","","CC-BY-NC-SA","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona | Institut Infància i Adolescència de Barcelona","http://creativecommons.org/licenses/by-nc-sa/4.0/deed.ca","Infants | Família | Espais públics | Children | Family | Public spaces | Niños | Familia | Espacios públicos","Societat i benestar | Educació","informes altres","","Serveis socioeducatius per a la primera infància : anàlisi de models d'espais familiars : informe","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Regidoria de Participació i Districtes","","Barcelona | Barcelona | Barcelona","","","2016-06","2016-06","","","","","","application/pdf","23 p.","application/pdf","","","districtes","","Mandat 2015-2019","http://hdl.handle.net/11703/99811","cat","","","","http://hdl.handle.net/11703/99393","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Participació ciutadana | Associacions, institucions, etc. | Districtes municipals | Citizen participation | Associations, institutions, etc. | Local districts | Participación ciudadana | Asociaciones, instituciones, etc. | Distritos municipales","Societat i benestar | Sector públic","informes altres","","Materials de debat per a l'elaboració de les normes de participació ciutadana","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Barcelona Activa, S.A.","Biofusa","Barcelona | Barcelona | Barcelona","","","2013","2013","A la portada: Barcelona Treball","","","","","application/pdf","31 p.","application/pdf","17458","","societats mercantils","","","http://hdl.handle.net/11703/91179","cat","Barcelona Activa, S.A.","http://hdl.handle.net/11703/90967","","","","","","","","","","Tots els drets reservats","info:eu-repo/semantics/openAccess","L'Ajuntament de Barcelona no pot donar autorització sobre l'ús d'aquest document ni facilitar-ne còpies. La utilització i/o reproducció d'aquest document fora de l'àmbit municipal representa l'incompliment de la legislació vigent sobre propietat intel·lectual","Barcelona Activa, S.A.","","Indústries energètiques | Energy industries | industria energética","Energia","informes altres","","Energia: informe sectorial 2013","Informe sectorial: energia","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Universitat Autònoma de Barcelona. Institut de Govern i Polítiques Públiques | Àrea d'Acció Social i Ciutadania","","","","","2010-06","2010","","","","","","application/pdf","93 p.","application/pdf","8123","","","","","http://hdl.handle.net/11703/88779","cat","","","","","","","","","","","","Tots els drets reservats","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","","Equipaments col·lectius | Serveis socials | Infrastructure (Economics) | Human services | Equipamientos colectivos | Servicios sociales","Societat i benestar","informes altres","","Accions d’atenció col·lectiva de serveis socials : Informe 2009","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"Anual","Oberta","Consell Municipal de Benestar Social (Barcelona)","","Barcelona | Barcelona | Barcelona","2013 | 2014","No","2015","2015","","","","","","application/pdf","","application/pdf","18283","","consells","","Mandat 2011-2015","http://hdl.handle.net/11703/87571","cat","Consell Municipal de Benestar Social (Barcelona)","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Consell Municipal de Benestar Social (Barcelona)","http://creativecommons.org/licenses/by/4.0/deed.ca","Consell Municipal de Benestar Social (Barcelona) | Assistència social | Serveis socials | Assistència social | Participació ciutadana | Consell Municipal de Benestar Social (Barcelona) | Public welfare | Human services | Public welfare | Citizen participation | Consell Municipal de Benestar Social (Barcelona) | Bienestar social | Servicios sociales | Asistencia social | Participación ciudadana","Sector públic | Societat i benestar","informes altres","","Informe participatiu 2013-2014","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Barcelona Activa, S.A. | Centre d'Estudis i Assessorament Metal·lúrgic","","Barcelona | Barcelona | Barcelona","","","2010-11","2010-11","A la portada: Capital humà","","","","","application/pdf","16 p.","application/pdf","9232","","societats mercantils","","","http://hdl.handle.net/11703/90963","cat","Barcelona Activa, S.A.","http://hdl.handle.net/11703/91181","","","","","","","","","","Tots els drets reservats","info:eu-repo/semantics/openAccess","L'Ajuntament de Barcelona no pot donar autorització sobre l'ús d'aquest document ni facilitar-ne còpies. La utilització i/o reproducció d'aquest document fora de l'àmbit municipal representa l'incompliment de la legislació vigent sobre propietat intel·lectual","Barcelona Activa, S.A.","","Automòbils | Automobiles | Automóviles","Indústria","informes altres","","Informe sectorial: automoció","Automoció: informe sectorial","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Departament de Transversalitat de Gènere | Gerència de Recursos","","Barcelona | Barcelona | Barcelona","2018","","2017-12-12","2017","","","","","","application/pdf","43 p.","application/pdf","","Codi: 03IIG/2017","","","","http://hdl.handle.net/11703/117919","cat","","","","","","","","","","","<a href=""http://hdl.handle.net/11703/106902"">Preus públics per a l'any 2018 i successius : serveis dels equipaments dels districtes i les instal·lacions esportives municipals</a>","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Igualtat entre els sexes | Gender equality | Igualdad de género | Preus públics | Public prices | Precios públicos | Equipaments col·lectius | Infrastructure (Economics) | Equipamientos colectivos | Instal·lacions esportives | Sports facilities | Instalaciones deportivas","Economia | Societat i benestar","informes altres","Pla per la Justícia de Gènere 2016-2020 (Barcelona)","Informe d'impacte de gènere dels preus públics 2018 d'equipaments de districte i instal·lacions esportives municipals","","text","info:eu-repo/semantics/report",""
"Anual","","Oficina Estratègica de l'Àmbit Litoral | Barcelona Regional Agència Metropolitana de Desenvolupament Urbanístic i d'Infraestructures, S.A. | Gerència Municipal","","Barcelona | Barcelona | Barcelona","","","2019-03","2019","","","","","","application/pdf","296 p.","application/pdf","","","","","Mandat 2015-2019","http://hdl.handle.net/11703/115358","cat","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Platges | Playas | Beaches | Litoral | Costas | Seashore | Educació ambiental | Educación ambiental | Environmental education","Societat i benestar","informes altres | plans estratègics","Pla Estratègic dels Espais Litorals de la Ciutat 2018-","Pla Litoral : Pla estratègic dels espais litorals de la ciutat","Pla estratègic dels espais litorals de la ciutat : Memòria de síntesi","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Barcelona Activa, S.A.","Facultat de Comunicació Blanquerna","Barcelona | Barcelona | Barcelona","","","2011-12","2011-12","A la portada: Capital humà","","","","","application/pdf","17 p.","application/pdf","9103","","societats mercantils","","","http://hdl.handle.net/11703/90913","cat","Barcelona Activa, S.A.","","","","","","","","","","","Tots els drets reservats","info:eu-repo/semantics/openAccess","L'Ajuntament de Barcelona no pot donar autorització sobre l'ús d'aquest document ni facilitar-ne còpies. La utilització i/o reproducció d'aquest document fora de l'àmbit municipal representa l'incompliment de la legislació vigent sobre propietat intel·lectual","Barcelona Activa, S.A.","","Periodisme | Comunicació audiovisual | Mitjans de comunicació de massa | Journalism | Broadcasting | Mass media | Periodismo | Comunicación audiovisual | Medios de comunicación social","Indústria | Cultura i oci","informes altres","","Informe sectorial: comunicació","Comunicació: informe sectorial","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
