"dccontributorauthor","dccoveragespatial","dcdatecreated","dcdateissued","dcdescription","dcdescriptiontableofcontents","dcformat","dcformatextent","dcidentifierab","dcidentifieruri","dclanguage","dcrelationisrequiredby","dcrelationrequires","dcrights","dcrightsaccessrights","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dctitle","dctype","Unnamed: 22"
"Junta Arbitral de Consum de Barcelona","Barcelona","2016-09-20","2016-09-20","","","application/pdf","1 p.","Núm. Exp. 0943/16","http://hdl.handle.net/11703/99596","cat","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Contractes de serveis","Comerç","laudes","Laude 0943/2016 sobre l'enviament d'un paquet","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2017-05-16","2017-05-16","","","application/pdf","1 p.","Núm. Exp. 0753/2016","http://hdl.handle.net/11703/106017","cat","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Fisioteràpia","Comerç","laudes","Laude 0753/2016 sobre un servei de rehabilitació","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2017-05-04","2017-05-04","","","application/pdf","1 p.","Núm. Exp. 1473/16","http://hdl.handle.net/11703/105999","cas","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Ferrocarrils. Contractes de serveis","Comerç","laudes","Laudo 1473/2016 sobre el uso de una targeta personal","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2016-09-27","2016-09-27","","","application/pdf","1 p.","Núm. Exp. 0160/16","http://hdl.handle.net/11703/99601","cat","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Contractes de serveis","Comerç","laudes","Laude 0160/2016 sobre l'aplicació d'un pla de preus contractat","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2017-06-06","2017-06-06","","","application/pdf","1 p.","Núm. Exp. 1553/16","http://hdl.handle.net/11703/106287","cat","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Factures","Comerç","laudes","Laude 1553/2016 sobre una factura amb un compromís de permanència","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2016-05-18","2016-05-18","","","application/pdf","1 p.","Núm. Exp. 0014/16","http://hdl.handle.net/11703/98853","cat","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Telefonia mòbil","Comerç","laudes","Laude 0014/2016 sobre un terminal controvertit","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2016-01-26","2016-01-26","","","application/pdf","1 p.","Núm. Exp. 1391/15","http://hdl.handle.net/11703/97904","cas","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Contractes de serveis","Comerç","laudes","Laude 1391/2015 sobre unos suministros controvertides","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2017-01-12","2017-01-12","","","application/pdf","1 p.","Núm. Exp. 0832/16","http://hdl.handle.net/11703/100490","cas","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Contractes de serveis. Ferrocarrils","Comerç","laudes","Laudo 0832/2016 sobre unos billetes de tren","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2017-10-19","2017-10-19","","","application/pdf","1 p.","Núm. Exp. 1635/16","http://hdl.handle.net/11703/107989","cat","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Telefonia mòbil. Factures","Comerç","laudes","Laude 1635/2016 sobre unes factures controvertides","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2016-03-01","2016-03-01","","","application/pdf","1 p.","Núm. Exp. 0166/13","http://hdl.handle.net/11703/99076","cat","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Telefonia mòbil. Telefonia per internet","Comerç","laudes","Laude 0166/2013 sobre unes factures controvertides","text",""
